Case #,Incident Type,Date/Time Reported,Occurred Range,Location,Disposition
25-00450,10852: VC; Tamper With Vehicle; Misdemeanor,2/16/25 13:23,"02/08/2025  00:00 - 2/16/25
12:41",2601 Warring St; CKC Southwest Parking Lot,Active
25-00451,261(A)(2): PC; Rape By Force/Fear/Etc; Felony SUPP: Supplemental Reports *DV: Domestic Violence *Stalking *261(A): Rape *261(A): Rape *261(A): Rape *261(A): Rape *261(A): Rape *261(A): Rape *261(A): Rape *261(A): Rape,2/16/25 15:28,"09/04/2023  00:00 - 12/31/24
 0:00 - *09/04/23 - 12/31/24 - *09/04/23 - 12/31/24 - *09/04/23 - 12/31/24 - *09/04/23 - 12/31/24 - *09/04/23 - 12/31/24 - *09/04/23 - 12/31/24 - *09/04/23 - 12/31/24 - *09/04/23 - 12/31/24",**2400 block of Channing Wy,Active
25-00452,Caslty: Injury/Illness,2/16/25 16:36,"02/16/2025  16:35 - 2/16/25
16:36",Sutardja Dai Hall; SDH,Inactive
25-00453,Lost Prop.: Lost Property,2/16/25 14:55,"02/16/2025  00:00 - 2/16/25
 1:00",2650 Haste St; Unit-2 Wada,Inactive
25-00454,WILDLIFE: Wildlife Sighting / Encounter,2/16/25 17:15,2/16/25 17:15,OLAC FIELD STATION,Active
25-00455,484(A): PC; Theft Of Personal Property; Misdemeanor SUPP: Supplemental Reports,2/16/25 19:23,2/16/25 17:00,2301 Bancroft Wy; RSF,Inactive
25-00456,OA-BPD: Outside Assist - BPD OA-ROBBERY: Outside Assist - Robbery,2/16/25 21:34,"02/16/2025  20:50 - University of California PD, Berkeley - Daily Crime Log - 02/16/2025  00:00  -  02/16/2025  23:59",College Av  & Parker St,Inactive
25-00484,INFO: Information Only Report,2/16/25 13:32,"02/15/2025  20:27 - 2/16/25
13:33","Campus (Unspecified Campus Location); Campus, Unspecified",Inactive
25-00486,415(1): PC; Fight/Challenge Fight Public Place; Misdemeanor,2/16/25 0:42,"02/16/2025  00:42 - 2/16/25
 4:50",Buchanan St  & Jackson St,Inactive
** - VAWA Protection,,nan,02/17/2025  00:00  -  02/17/2025  23:59,nan,Unknown
25-00457,459: PC; Burglary: Second Degree; Felony,2/17/25 1:56,"02/17/2025  01:56 - 2/17/25
 2:20",Memorial Stadium,Active
25-00458,626.6(A): PC; Nnstdnt Refuse Leave Univ; Misdemeanor 148.9(A): PC; Give False Id To Po; Misdemeanor,2/17/25 8:39,"02/17/2025  08:09 - 2/17/25
 8:09",2121 Berkeley Wy; BWW,Closed
25-00459,459: PC; Burglary: Second Degree; Felony *484(A): PC; Theft Of Personal Property; Misdemeanor,2/17/25 13:51,"02/14/2025  17:00 - 2/17/25
13:51",2650 Durant Av #L01; Unit-1,Inactive
25-00460,484(A): PC; Theft Of Personal Property; Misdemeanor,2/17/25 17:26,"02/17/2025  16:45 - 2/17/25
17:30",2301 Bancroft Wy; RSF,Inactive
25-00461,484(A): PC; Petty Theft; Misdemeanor,2/17/25 18:01,"02/17/2025  11:30 - 2/17/25
15:00",1950 Oxford St; Anchor House,Inactive
25-00462,484(A): PC; Theft Of Personal Property; Misdemeanor,2/17/25 18:54,"02/11/2025  11:00 - 2/11/25
16:00",Cheit Hall,Inactive
25-00463,10851(A): VC; Take Vehicle Without Owner's Consent; Misdemeanor,2/17/25 20:17,"02/17/2025  16:15 - 2/17/25
20:15",2227 Piedmont Av; Simpson Center,Inactive
25-00464,"978.5: PC; Bench Warrant/Failure To Appear On Misdemeanor Charge; Misdemeanor 14601.2(A): VC; Driving W/Lic Susp/Revoked For Dui Violation; Misdemeanor OUT WRTM: Other Agency Warrant, Misd 24400 (a): VC; Two Headlamps Required; Infraction",2/18/25 0:24,"02/18/2025  00:24 - 2/18/25
 0:53",Hearst Av  & Le Roy Av,Closed
25-00466,459: PC; Burglary: Second Degree; Felony,2/18/25 2:26,"02/18/2025  00:44 - 2/18/25
 2:46",Memorial Stadium,Active
25-00467,626: Exclusion Order Issued,2/18/25 6:02,"02/18/2025  06:02 - 2/18/25
 6:32",Memorial Glade,Active
25-00468,459: PC; Burglary:second Degree; Misdemeanor,2/18/25 8:59,"02/07/2025  13:00 - 2/18/25
 8:59",Giannini Hall,Inactive
25-00469,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,2/18/25 9:20,"02/17/2025  16:57 - 2/17/25
16:58",2227 Piedmont Av; Simpson Center,Inactive
25-00470,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,2/18/25 8:56,"02/17/2025  16:00 - 2/18/25
 8:30",1070 Jackson St #703,Active
25-00471,20002: VC; Hit and Run; Misdemeanor PRODAM: Property Damage,2/18/25 10:07,"02/18/2025  09:55 - 2/18/25
10:00",Stadium Rim Wy  & Gayley Rd,Inactive
25-00472,PRODAM: Property Damage,2/18/25 10:52,"02/18/2025  10:52 - *10:53
2/18/25",LBNL-80,Inactive
*25-00473,*148.4(A)(2): PC; Send/Etc False Fire Alarm By Any Method; Misdemeanor,*02/18/2025  *11:56,"*02/18/2025  *11:55 - *2/18/25
*11:56",*RSF Garage,*Active
25-00474,459: PC; Burglary:first Degree; Felony 484G: PC; Theft By Use Of Access Card Information; Misdemeanor 594(A)(1): PC; Vandalism:deface Property; Felony,2/18/25 14:21,"02/18/2025  10:30 - 2/18/25
13:20 - 02/18/2025  00:00  -  02/18/2025  23:59",2645 Haste St; Underhill Parking Structure,Inactive
25-00475,487(A): PC; Grand Theft:money/Labor/Property; Felony,2/18/25 12:21,"02/16/2025  14:00 - 2/16/25
21:00",1950 Oxford St; Anchor House,Active
25-00476,Caslty: Injury/Illness,2/18/25 15:32,"02/18/2025  15:32 - 2/18/25
15:33",Mulford Hall #36,Inactive
25-00478,OA-NON-CRIMINAL: Outside Assist - Non-Criminal Lost Prop.: Lost Property,2/18/25 15:37,"02/18/2025  06:00 - 2/18/25
6:01",San Francisco Airport,Inactive
25-00479,18 1708: US; Mail/Etc Theft/Etc; Felony,2/18/25 16:55,"02/18/2025  12:24 - 2/18/25
14:22",600 Red Oak Av; UVA-139,Active
25-00480,1203.2(A): PC; Probation Violation:rearrest/Revoke; Felony 11364(A): HS; Possess Unlawful Paraphernalia; Misdemeanor 602(M): PC; Trespass:occupy Property Without Consent; Misdemeanor,2/18/25 22:09,"02/18/2025  22:09 - 2/18/25
22:10",1051 Monroe St; Xucyun Ruwway Apartments,Closed
25-00481,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,2/18/25 23:20,"02/18/2025  14:30 - 2/18/25
23:20",2465 Bancroft Wy; Eshleman Hall,Inactive
25-00482,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,2/18/25 14:54,"02/16/2025  00:00 - 2/18/25
14:30 - 02/19/2025  00:00  -  02/19/2025  23:59",2223 Fulton St; Edwards Track Stadium,Active
25-00483,SUPP: Supplemental Reports 245(A)(1): PC; Assault W/Deadly Weapon:not F/Arm; Felony,2/19/25 9:59,"02/19/2025  09:56 - 2/19/25
10:00",Upper Sproul Plaza,Active
25-00485,459: PC; Burglary:first Degree; Felony 594(A)(1): PC; Vandalism:deface Property; Misdemeanor,2/19/25 10:43,"02/18/2025  08:00 - 2/18/25
17:30",2645 Haste St; Underhill Parking Structure,Inactive
25-00487,Caslty: Injury/Illness,2/19/25 15:35,"02/19/2025  15:35 - 2/19/25
15:36",2301 Bancroft Wy; RSF,Inactive
25-00488,INFO: Information Only Report,2/19/25 16:21,"02/19/2025  00:00 - 2/19/25
 0:01",2601 Warring St #106,Active
25-00489,653.2(A): PC; Electr Dist Harrass Matrl; Misdemeanor,2/19/25 16:55,"12/28/2024  16:55 - 2/19/25
16:01",Law Building,Inactive
25-00490,487(A): PC; Grand Theft:money/Labor/Property; Felony,2/19/25 18:20,"02/19/2025  16:50 - 2/19/25
18:10",2301 Bancroft Wy; RSF,Inactive
25-00491,Caslty: Injury/Illness,2/19/25 22:43,"02/19/2025  22:43 - 2/19/25
22:59 - 02/20/2025  00:00  -  02/20/2025  23:59",2441 Haste St; Sequoia Apartments,Inactive
25-00492,INFO: Information Only Report,2/20/25 7:59,2/20/25,Red Oak Av & West End Wy,
25-00493,Caslty: Injury/Illness,2/20/25 10:20,2/20/25,LBNL-26,
25-00494,487(A): PC; Grand Theft:money/Labor/Property; Felony,2/20/25 13:26,2/20/25,2400 Durant Av; Unit-3,
25-00495,Caslty: Injury/Illness,2/20/25 13:41,2/20/25,1050 Monroe St; UVA Residential Services Center,
25-00496,Found Property: Found Property,2/20/25 14:19,2/20/25,Valley Life Science Building,
25-00497,594(A)(1): PC; Vandalism:deface Property; Felony,2/20/25 14:30,2/20/25,2424 Channing Wy; Cleary Hall Parking Lot,
25-00498,INFO: Information Only Report,2/20/25 14:21,2/20/25,2222 Bancroft Wy; Tang Center,
25-00499,Found Property: Found Property,2/20/25 16:00,2/20/25,Alumni House,
25-00500,Lost Prop.: Lost Property,2/20/25 16:44,2/20/25,2121 Berkeley Wy; BWW,
25-00501,653M(B): PC; With Intent To Annoy Or Harass With Repeat Calls/Contact; Misdemeanor SUPP: Supplemental Reports *Stalking,2/20/25 16:37,2/20/25,**On Campus,
25-00502,Found Property: Found Property,2/20/25 19:25,2/20/25,Cory Hall #299,
25-00503,OA-NON-CRIMINAL: Outside Assist - Non-Criminal,2/20/25 17:54,"2/20/25 - University of California PD, Berkeley - Daily Crime Log - 02/20/2025  00:00  -  02/20/2025  23:59",2645 Haste St; Underhill Parking Structure,
25-00504,Caslty: Injury/Illness,2/20/25 22:18,"02/20/2025  22:18 - 2/20/25
22:46",Lower Sproul Garage,Inactive
25-00587,242: PC; Battery On Person; Misdemeanor,2/20/25 18:26,"02/20/2025  18:25 - 2/20/25
18:26",2299 Piedmont Av; I House,Inactive
25-00505,Casualty-Alcoholol Inv: Injury/Illness - Alcohol,2/21/25 0:35,"02/21/2025  00:35 - 2/21/25
 0:36",2401 Durant Av; Blackwell Hall,Inactive
25-00506,602(M): PC; Trespass:occupy Property Without Consent; Misdemeanor 626.6(A): PC; Nnstdnt Refuse Leave Univ; Misdemeanor 626: Exclusion Order Issued,2/21/25 1:08,2/21/25 1:08,Haas Pavilion,Closed
25-00507,626: Exclusion Order Issued 602(M): PC; Trespass:occupy Property Without Consent; Misdemeanor,2/21/25 8:30,"02/21/2025  08:30 - 2/21/25
 8:31",2151 Berkeley Wy; IGIB,Inactive
25-00508,11364(A): HS; Possess Unlawful Paraphernalia; Misdemeanor 626: Exclusion Order Issued 647(E): PC; Disorderly Conduct:lodge Without Owners Consent; Misdemeanor,2/21/25 9:27,"02/21/2025  09:27 - 2/21/25
 9:30",2645 Haste St; Underhill Parking Structure,Closed
25-00509,INFO: Information Only Report,2/21/25 7:16,"02/19/2025  14:30 - 2/19/25
14:31",Campus (Unspecified Campus Location),Inactive
25-00510,22651(n): VC; Posted Tow Away Zone; Infraction,2/21/25 9:54,"02/21/2025  09:54 - 2/21/25
10:37",Barrows Lane,Inactive
25-00511,SUPP: Supplemental Reports 3056: PC; Violation Parole:felony; Felony 11364(A): HS; Possess Unlawful Paraphernalia; Misdemeanor 626: Exclusion Order Issued,2/21/25 10:49,"02/21/2025  10:49 - 2/21/25
10:50",Lower Sproul Plaza,Closed
25-00512,Caslty: Injury/Illness,2/21/25 13:37,2/21/25 13:37,Morrison Hall,Inactive
25-00513,PRODAM: Property Damage,2/21/25 12:48,"02/21/2025  12:20 - 2/21/25
12:21 - 02/21/2025  00:00  -  02/21/2025  23:59",298 Ohlone Av; UVA Grounds Shop,Inactive
25-00514,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,2/21/25 12:20,"02/20/2025  17:30 - 2/20/25
23:00",Moffitt Library,Active
25-00515,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,2/21/25 15:29,"*UNK MONTH, 2024 - *2/20/25
*23:00",Moffitt Library,Inactive
25-00516,647(F): PC; Disorderly Conduct:alcohol; Misdemeanor,2/21/25 19:02,"02/21/2025  19:02 - 2/21/25
20:45",Chou Hall,Closed
25-00517,Found Property: Found Property,2/21/25 17:28,"02/21/2025  17:27 - 2/21/25
17:28",2495 Bancroft Wy; MLK Jr. Student Union,Inactive
25-00518,Caslty: Injury/Illness,2/21/25 19:56,"02/21/2025  19:55 - 2/21/25
19:56",1950 Oxford St #1310; Anchor House,Inactive
25-00519,242: PC; Battery On Person; Misdemeanor,2/21/25 21:45,"02/21/2025  21:43 - 2/21/25
21:44",Lower Sproul Garage,Inactive
25-00520,484(A): PC; Theft Of Personal Property; Misdemeanor,2/21/25 19:05,"02/21/2025  18:30 - 2/21/25
18:45 - 02/22/2025  00:00  -  02/22/2025  23:59",Lower Sproul Plaza,Inactive
25-00521,148.4(A)(1): PC; Tamper/Etc With Fire Alarm/Etc; Misdemeanor,2/22/25 1:06,"02/22/2025  01:05 - 2/22/25
 1:06",2601 Warring St; CKC-12,Inactive
25-00522,Caslty: Injury/Illness,2/22/25 10:26,"02/22/2025  10:26 - 2/22/25
10:34",2223 Fulton St; Edwards Track Stadium,Inactive
25-00523,22651(n): VC; Posted Tow Away Zone; Infraction,2/22/25 10:23,"02/22/2025  10:23 - 2/22/25
10:24",Law Building Lot,Inactive
25-00524,242: PC; Battery On Person; Misdemeanor,2/22/25 11:56,"02/22/2025  11:40 - 2/22/25
11:45",2155 Center St; Berkeley Art Museum,Closed
25-00525,INFO: Information Only Report *DV: Domestic Violence,2/22/25 14:55,"02/22/2025  02:20 - 2/22/25
 2:20",**Unknown,Inactive
25-00526,DEMO: Demonstration,2/22/25 15:59,"02/22/2025  15:59 - 2/22/25
22:30",Zellerbach Hall,Inactive
25-00527,484(A): PC; Theft Of Personal Property; Misdemeanor,2/22/25 16:02,"02/22/2025  14:00 - 2/22/25
15:30",Witter Field Lot,Inactive
25-00528,10851(A): VC; Take Vehicle Without Owner's Consent; Misdemeanor,2/22/25 16:20,"02/22/2025  14:00 - 2/22/25
15:30",Bancroft Library,Inactive
25-00529,242: PC; Battery On Person; Misdemeanor 422.6(A): PC; Violate Civil Rights By Force Or Threat Of Force; Misdemeanor,2/22/25 20:49,"02/22/2025  20:45 - 2/22/25
20:46",Lower Sproul Plaza,Active
25-00530,Caslty: Injury/Illness,2/22/25 20:52,"02/22/2025  20:52 - 2/22/25
21:13",Zellerbach Hall,Inactive
25-00531,INFO: Information Only Report,2/22/25 21:23,"02/22/2025  20:00 - 2/22/25
20:01",Lower Sproul Plaza,Inactive
25-00532,OA-NON-CRIMINAL: Outside Assist - Non-Criminal *Missing Person,2/22/25 21:24,"02/22/2025  12:30 - 2/22/25
21:24 - University of California PD, Berkeley - Daily Crime Log - 02/22/2025  00:00  -  02/22/2025  23:59",2025 Durant Av,Inactive
25-00533,Caslty: Injury/Illness,2/22/25 22:27,2/22/25,2503 Haste St; Enclave Housing,
25-00534,WELFARE: Welfare Check,2/22/25 22:28,2/22/25,1950 Oxford St #703; Anchor House,
25-00535,INFO: Information Only Report,2/22/25 23:38,2/22/25,2495 Bancroft Wy; MLK Jr. Student Union,
25-00536,Casualty-Alcoholol Inv: Injury/Illness - Alcohol,2/23/25 0:25,"02/23/2025  00:25 - 2/23/25
 0:26",2650 Durant Av; Unit-1 Deutsch,Inactive
25-00537,Caslty: Injury/Illness,2/23/25 0:45,"02/23/2025  00:45 - 2/23/25
 0:46",1950 Oxford St #1224 C; Anchor House,Inactive
25-00538,Casualty-Alcoholol Inv: Injury/Illness - Alcohol,2/23/25 2:56,"02/23/2025  02:56 - 2/23/25
 2:57",2700 Hearst Av #8C42 I; Foothill-8,Inactive
25-00539,MISC: Miscellaneous Report,2/23/25 10:43,"02/23/2025  10:33 - 2/23/25
10:43",2700 Hearst Av; Foothill-1,Inactive
25-00540,5150: WI; 72 Hour Mental Health Hold;,2/23/25 11:24,"02/23/2025  11:24 - 2/23/25
11:24",2601 Warring St #215; CKC-4,Inactive
25-00541,DEMO: Demonstration,2/23/25 11:47,"02/23/2025  11:47 - 2/23/25
16:50",Zellerbach Hall,Inactive
25-00542,Caslty: Injury/Illness,2/23/25 14:47,"02/23/2025  14:47 - 2/23/25
14:47",Zellerbach Hall,Inactive
25-00544,HAZMAT: Hazardous Condition,2/23/25 15:45,"02/23/2025  15:31 - 2/23/25
15:31",Bancroft Wy  & Telegraph Av,Inactive
25-00545,459: PC; Burglary: Second Degree; Felony,2/23/25 14:55,"02/19/2025  15:30 - 2/23/25
14:40",2424 Channing Wy; Cleary Hall Parking Lot,Inactive
25-00546,5150: WI; 72 Hour Mental Health Hold;,2/23/25 20:43,"02/23/2025  20:40 - 2/23/25
20:43",625 West End Wy; UVA-165,Inactive
25-00547,INFO: Information Only Report,2/23/25 22:01,*Unknown - 02/24/2025  00:00  -  02/24/2025  23:59,786 Red Oak Av; UVA-136,Inactive
25-00548,594(B)(1): PC; Vandalism ($400 Or More); Felony,2/24/25 5:47,"02/22/2025  15:30 - 2/24/25
 5:00",Bechtel Center,Inactive
25-00549,INFO: Information Only Report,2/24/25 6:29,"02/24/2025  06:33 - 2/24/25
 6:39",735 Gooding Wy,Inactive
25-00550,Caslty: Injury/Illness,2/24/25 6:54,2/24/25 6:54,2650 Haste St; Unit-2 Ehrman,Inactive
25-00551,290 - REG: PC; Registration For A  Sex Offender;,2/24/25 10:24,2/24/25 10:24,Sproul Hall; UCPD,Inactive
25-00553,Found Property: Found Property,2/24/25 11:51,2/24/25 11:51,1301 S. 46th St; RFS,Inactive
25-00555,Found Property: Found Property,2/24/25 12:41,"02/24/2025  12:41 - 2/24/25
12:41",Dwinelle Hall,Inactive
25-00556,626.9(B): PC; Have Firearm At Public/Etc School; Felony,2/24/25 14:11,2/24/25 14:11,LHS Vista Lot,Inactive
25-00557,470(A): PC; Forgery; Felony,2/24/25 15:58,2/24/25 15:58,1608 Fourth St; Shared Services,Active
25-00558,Lost Prop.: Lost Property,2/24/25 16:32,"02/24/2025  16:32 - 2/24/25
16:33",2220 Piedmont Av; Haas School Of Business,Inactive
25-00559,OA-OTHER CRIME: Outside Assist - Other Crime OA-BPD: Outside Assist - BPD *Vandalism,2/24/25 17:19,"02/24/2025  13:30 - 2/24/25
13:31",Telegraph Av  & Haste St,Inactive
25-00560,INFO: Information Only Report,2/24/25 18:53,"02/24/2025  18:53 - 2/24/25
20:00",2222 Bancroft Wy; Tang Center,Inactive
25-00561,10851(A): VC; Take Vehicle Without Owner's Consent; Misdemeanor,2/24/25 20:04,"02/24/2025  16:15 - 2/24/25
19:45 - University of California PD, Berkeley - Daily Crime Log - 02/24/2025  00:00  -  02/24/2025  23:59",O'Brien Hall,Inactive
25-00562,INFO: Information Only Report,2/24/25 21:48,"02/24/2025  21:44 - 2/24/25
21:50",2400 Durant Av; Unit-3,Inactive
25-00564,459: PC; Burglary: Second Degree; Felony,2/24/25 20:12,"02/24/2025  00:00 - 2/24/25
20:13",2424 Channing Wy; Cleary Hall Parking Lot,Active
25-00563,12500 (A): VC; Drive Without Licence; Misdemeanor 4462 (A): VC; Fail to Provide Vehicle Registration:peace Officer Request; Infrac 21657: VC; Wrong Way Driver; Infraction 16028 (A): VC; Failure to Provide Financial Responsibility; Infraction,2/25/25 1:51,"02/25/2025  01:51 - 2/25/25
 3:13",Durant Av  & Telegraph Av,Closed
25-00565,Found Property: Found Property,2/25/25 8:33,2/25/25 8:33,"Campus (Unspecified Campus Location); Campus, Unspecified",Inactive
25-00566,INFO: Information Only Report,2/25/25 9:49,"02/21/2025  11:32 - 2/21/25
11:32",Grinnell Path,Active
25-00567,484(A): PC; Theft Of Personal Property; Misdemeanor,2/25/25 11:54,"02/24/2025  16:00 - 2/25/25
19:30",2301 Bancroft Wy; RSF,Inactive
25-00568,211: PC; Robbery:second Degree; Felony *Assault,2/25/25 12:37,"02/25/2025  12:25 - 2/25/25
12:25",Grinnell Path,Inactive
25-00569,INFO: Information Only Report,2/25/25 15:32,2/25/25 15:32,1 Cyclotron Rd; LBNL,Inactive
25-00570,594(A)(1): PC; Vandalism:deface Property; Felony,2/25/25 16:15,"01/01/2025  00:00 - 1/8/25
*23:59",2601 Warring St; CKC-21,Inactive
25-00571,484(A): PC; Theft Of Personal Property; Misdemeanor,2/25/25 16:46,"02/23/2025  13:00 - 2/23/25
17:45",2301 Bancroft Wy; RSF,Active
25-00572,SUPP: Supplemental Reports 5150: WI; 72 Hour Mental Health Hold;,2/25/25 19:24,"02/25/2025  19:24 - 2/25/25
19:25",**Anchor House,Inactive
25-00573,Caslty: Injury/Illness,2/25/25 22:23,"02/25/2025  22:23 - 2/25/25
22:24 - 02/26/2025  00:00  -  02/26/2025  23:59",1898 Le Roy Av #314b; Soda Hall,Inactive
25-00574,Caslty: Injury/Illness,2/26/25 0:02,"02/26/2025  00:02 - 2/26/25
 0:35",2299 Piedmont Av; I House,Inactive
25-00575,OA-BATTERY: Outside Assist - Battery,2/26/25 7:23,"02/22/2025  00:00 - 2/25/25
 0:00",*San Jose,Inactive
25-00576,484(A): PC; Theft Of Personal Property; Misdemeanor,2/26/25 9:54,"*02/15/2025  09:54 - *2/15/25
 9:54",1051 Monroe St #990; Xucyun Ruwway Apartments,Inactive
25-00577,594(B)(2)(A): PC; Vandalism Less Than $400; Misdemeanor,2/26/25 10:39,"02/19/2025  10:00 - 2/26/25
10:00",Dwinelle Hall,Inactive
25-00578,148.4(A)(1): PC; Tamper/Etc With Fire Alarm/Etc; Misdemeanor,2/26/25 11:28,"02/26/2025  11:28 - 2/26/25
11:29",2700 Hearst Av; Stern Hall,Inactive
25-00579,Caslty: Injury/Illness,2/26/25 12:17,"02/26/2025  12:17 - 2/26/25
12:18",2300 Hearst Av; Gateway,Inactive
25-00580,"SUPP: Supplemental Reports 10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony 148(A)(1): PC; Obstruct/Resist/Etc Public/Peace Officer/Emergency Med Tech; Misde 12022.1: PC; Commit Felony While On Bail Or Own Recognizance; Felony OUT WRTF: Other Agency Warrant, Fel *978.5: PC; Bench Warrant/Failure To Appear On Felony Charge",2/26/25 12:38,2/26/25 12:38,3800 San Pablo Av; Intersection Apartments,Closed
25-00581,Caslty: Injury/Illness,2/26/25 13:32,"02/26/2025  13:32 - 2/26/25
14:00",2601 Warring St; CKC-10,Inactive
25-00582,Caslty: Injury/Illness,2/26/25 14:36,"02/26/2025  14:36 - 2/26/25
15:08",980 Ohlone Av #990; UVA-117,Inactive
25-00583,Lost Prop.: Lost Property,2/26/25 16:16,"12/20/2024  08:00 - 12/20/24 
17:00 - University of California PD, Berkeley - Daily Crime Log - 02/26/2025  00:00  -  02/26/2025  23:59",Davis Hall,Inactive
25-00584,DEMO: Demonstration,2/26/25 6:02,"02/26/2025  06:02 - 2/26/25
15:25",Upper Sproul Plaza,Inactive
25-00585,148.4(A)(1): PC; Tamper/Etc With Fire Alarm/Etc; Misdemeanor,2/26/25 19:16,"02/26/2025  19:16 - 2/26/25
19:17",2000 Carleton St; Facilities Services,Active
25-00586,Caslty: Injury/Illness,2/26/25 19:51,"02/26/2025  12:20 - 2/26/25
13:00 - 02/27/2025  00:00  -  02/27/2025  23:59",3800 San Pablo Av; Intersection Apartments,Inactive
25-00588,OA-THEFT: Outside Assist - Theft OA-BPD: Outside Assist - BPD,2/27/25 3:20,"02/27/2025  03:10 - 2/27/25
 3:20",2400 Bancroft Wy,Inactive
25-00589,DEMO: Demonstration,2/27/25 6:56,"02/27/2025  06:56 - 2/27/25
14:56",Upper Sproul Plaza,Inactive
25-00590,314(1): PC; Indecent Exposure; Misdemeanor SUPP: Supplemental Reports,2/27/25 8:12,2/27/25 8:12,"2309 Haste St; Ellsworth Parking Structure, 2309 Haste St; Structure C",Active
25-00591,12500 (A): VC; Drive Without Licence; Misdemeanor 4000 (a)(1): VC; No Registration: Vehicle/Trailer/Etc; Infraction 16028 (A): VC; Failure to Provide Financial Responsibility; Infraction,2/27/25 9:38,"02/27/2025  09:38 - 2/27/25
 9:40",University Av  & West FRONTAGE,Closed
25-00592,SUPP: Supplemental Reports 242: PC; Battery On Person; Misdemeanor 11364(A): HS; Possess Unlawful Paraphernalia; Misdemeanor 1203.2(A): PC; Probation Violation:rearrest/Revoke; Felony 69(A): PC; Obstruct/Resist Exec Ofcr; Felony 148(A)(1): PC; Obstruct/Resist/Etc Public/Peace Officer/Emergency Med Tech; Misde 243(B): PC; Battery On Peace Officer/Emergency Personnel/Etc; Misdemeanor,2/27/25 11:00,"02/27/2025  11:00 - 2/27/25
13:00",Upper Sproul Plaza,Closed
25-00593,647(A): PC; Solicit Lewd Act In Public; Misdemeanor,2/27/25 10:45,"02/27/2025  10:45 - 2/27/25
11:00",2650 Durant Av; Unit-1 Freeborn,Inactive
25-00594,Lost Prop.: Lost Property,2/27/25 11:23,"01/01/2022  11:23 - 12/31/22
12:00",1898 Le Roy Av; Soda Hall,Inactive
25-00595,Caslty: Injury/Illness,2/27/25 13:04,"02/27/2025  13:04 - 2/27/25
13:05 - 02/27/2025  00:00  -  02/27/2025  23:59",Davis Hall,Inactive
25-00603,Caslty: Injury/Illness,2/28/25 1:21,"02/28/2025  01:20 - 2/28/25
 1:21",2195 Hearst Av; Warren Hall,Inactive
25-00604,SUPP: Supplemental Reports 23152(G): VC; Dui Combined Alcohol And Drug; Misdemeanor,2/28/25 1:17,"02/28/2025  01:17 - 2/28/25
 1:18",Allston Wy  & Oxford Ln,Closed
25-00605,12500 (A): VC; Drive Without Licence; Misdemeanor 4000 (a)(1): VC; No Registration: Vehicle/Trailer/Etc; Infraction 16028 (A): VC; Failure to Provide Financial Responsibility; Infraction 5200 (a): VC; Improper Display of License Plates; Infraction,2/28/25 8:57,"02/28/2025  08:57 - 2/28/25
 9:00",Seventh St  & Harrison St,Closed
25-00606,12500 (A): VC; Drive Without Licence; Misdemeanor 4000 (a)(1): VC; No Registration: Vehicle/Trailer/Etc; Infraction,2/28/25 11:58,"02/28/2025  11:58 - 2/28/25
12:00",Telegraph Av S Bancroft Wy,Closed
25-00607,Caslty: Injury/Illness,2/28/25 12:10,"02/28/2025  12:10 - 2/28/25
12:11",Chou Hall,Inactive
25-00608,Found Property: Found Property,2/28/25 13:56,"02/28/2025  13:40 - 2/28/25
13:56",Evans Hall,Inactive
25-00609,INFO: Information Only Report,2/28/25 14:04,*Unknown,2710 Bancroft Wy,Inactive
25-00610,DEMO: Demonstration,2/28/25 7:40,"02/28/2025  07:40 - 2/28/25
14:27",Upper Sproul Plaza,Inactive
25-00611,INFO: Information Only Report,2/28/25 16:01,"02/28/2025  13:20 - 2/28/25
13:25",North Gate,Inactive
25-00612,Lost Prop.: Lost Property,2/28/25 17:26,"02/28/2025  09:15 - 2/28/25
16:00 - University of California PD, Berkeley - Daily Crime Log - 02/28/2025  00:00  -  02/28/2025  23:59",Campus (Unspecified Campus Location),Inactive
25-00613,Caslty: Injury/Illness,2/28/25 18:42,2/28/25,2503 Haste St; Enclave Housing,
25-00001,SUPP: Supplemental Reports OA-BPD: Outside Assist - BPD Casualty-Alcoholol Inv: Injury/Illness - Alcohol,1/1/25 11:17,01/01/2025  11:17 - *01/01/25  11:18 - 01/02/2025  00:00  -  01/02/2025  23:59,2500 Bancroft Wy,Inactive
25-00002,647(H): PC; Disorderly Conduct:loiter/Etc Private Property; Misdemeanor,1/2/25 8:27,"01/02/2025  08:00 - 1/2/25
 8:30",University Village; UVA,Inactive
25-00003,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,1/2/25 9:45,1/2/25 9:45,Haas Pavilion,Inactive
25-00004,SUPP: Supplemental Reports 626: Exclusion Order Issued,1/2/25 11:58,01/02/2025  11:58 - 1/2/25 - 12:00,2333 College Av; Ida Jackson House,Inactive
