Incident Type,Location,Date/Time Reported,Date/Time Occurred,Comments / Nature of Fire,Disposition,UCPDI#
Found Property,850 E. 61st St. (UCPD HQ),3/8/25 0:36,3/8/25 0:35,An iPhone found by UC Rideshare turned over to UCPD for safekeeping,Closed,25-00265
Criminal Trespass to Land,1526 E. 55th St. (Trader Joe's),3/8/25 12:25,3/8/25 12:24,A subject disregarded multiple previous warnings and was arrested for trespass,Arrest,25-00266
Mental Health Transport,5656 S. Maryland (UCMED),3/8/25 13:09,3/8/25 13:09,A person was assisted into UCMED for evaluation,Closed,25-00267
Warrant Arrest,6115 S. University (Public Way),3/8/25 14:01,3/8/25 13:55,UCPD officers arrested a subject wanted on an active warrant from Cook County Sheriff's Office,Arrest,25-00268
Assault,1530 E. 53rd St. (Starbucks),3/8/25 17:48,3/8/25 17:40,A subject verbally assaulted employees and patrons of the off-campus shop / Suspect arrested by UCPD,Arrest,25-00269
Non-Criminal Property Damage,5501 S. Ellis (Student Disability Center),3/9/25 3:14,3/9/25 3:14,Plumbing problem resulted in sewage backup / Facilities notified,Closed,25-00270
Battery,5656 S. Maryland (UCMED),3/9/25 7:22,3/9/25 3:28,Patient struck UCM staff member during treatment / Victim declined charges,Ex. Cleared,25-00271
Traffic Crash / Property Damage,5235 S. Harper (Parking Garage),3/9/25 13:36,3/9/25 13:15,A motorist struck entry/exit gate and also damaged pay box,Closed,25-00272
Theft,5530 S. Ellis (Ratner A.C.),3/9/25 16:27,3/9/25 3:00 PM to 4:15 PM,Bookbag taken from unsecured locker,Open,25-00273
Medical Call,1100 E. 57th St. (Regenstein Library),3/9/25 17:33,3/9/25 17:33,A person became ill but refused medical attention,Closed,25-00274
Found Property,850 E. 61st St. (UCPD HQ),3/9/25 17:37,3/9/25 16:36,A debit card was found and turned over to UCPD for safekeeping,Closed,25-00275
Aggravated Assault / Impersonating a Police Officer,5300 S. Woodlawn (Public Way),3/9/25 21:02,3/9/25 21:02,Subsequent to a traffic stop two suspects were arrested by UCPD for Impersonating a police officer / Aggravated assault / Felony Weapons charges / Traffic violations,Arrest,25-00276
Information / Armed Robbery,4600 S. Lake Park (Public Way),3/10/25 3:40,3/10/25 3:25,"A victim walking off-campus was approached by two suspects, one armed with a knife / Suspects took the victim's car keys, entered the victim's car and drove off",CPD,2025-010259
Information / Theft,1346 E. 53rd St. (Target),3/10/25 8:50,3/10/25 8:45,Two unknown subjects took merchandise from the off-campus store without paying / Referred to CPD,Referred,2025-010285
Criminal Damage to Property,1025 E. 58th St. (Main Quad),3/10/25 9:29,3/3/25 to 3/7/25 3:00 PM to 1:00 PM,An authorized student display was damaged,Open,25-00277
Information,5730 S. Drexel (Comer Hospital),3/10/25 6:35,3/10/25 6:35,Unauthorized patient discharge documented,Closed,25-00278
Aggravated Assault / Criminal Damage to Vehicle,1525 E. 53rd St. (Public Way),3/10/25 12:30,3/10/25 12:29,A suspect menaced a victim with a knife and damaged a sideview mirror and door of the victim's car / Suspect arrested by UCPD officers,Arrest,25-00279
Mental Health Transport,1115 E. 58th St. (Walker Museum),3/10/25 14:50,3/10/25 14:45,A person was transported to UCMED by UCPD for evaluation,Closed,25-00280
Deceptive Practice / Impersonation,5525 S. Ellis (Maroon Financial),3/10/25 15:54,3/10/25 15:50,A suspect was arrested by UCPD officers for attempting to withdraw funds using a fraudulent ID,Arrest,25-00281
Found Property,850 E. 61st St. (UCPD HQ),3/10/25 15:46,3/10/25 15:07,A vehicle fob was found and turned over to UCPD for safekeeping,Closed,25-00282
Information / Criminal Damage to Vehicle,5310 S. Dorchester (Public Way),3/10/25 18:18,3/8/25 to 3/10/25 9:00 PM to 5:43 PM,Window smashed in 2014 Ford parked on the street off-campus / Referred to CPD,Referred,2025-010354
Battery,5300 S. Blackstone (Public Way),3/11/25 7:41,3/11/25 7:39,"A subject, without cause, struck a person with his fist / Suspect arrested by UCPD officer",Arrest,25-00283
Medical Call,1100 E. 57th St. (Regenstein Library),3/11/25 8:54,3/11/25 8:54,A person in need of medical attention was transported to UCMED by CFD EMS,Closed,25-00284
Traffic Crash / Property Damage,6000 S. Cottage Grove (Public Way),3/11/25 11:12,3/11/25 11:12,"A UC owned vehicle was struck by another vehicle / Property damage only, no injuries reported",Closed,25-00285
Information / Theft,5424 S. Drexel (Public Way),3/11/25 15:15,3/10/25 to 3/11/25 time unknown,Rear license plate taken from vehicle parked on the street off-campus / Referred to CPD,Referred,2025-010513
Found Narcotics,5656 S. Maryland (UCMED),3/11/25 21:01,3/11/25 20:58,A UCM staff member found narcotics in a patient's room / Contraband turned over to UCPD for proper disposal,Closed,25-00287
Domestic Battery,5700 S. Maryland (CCD),3/12/25 10:35,3/12/25 10:25,An argument between siblings escalated and one sibling struck the other / Suspect arrested by UCPD officer,Arrest,25-00288
Found Narcotics,5656 S. Maryland (UCMED),3/12/25 12:30,3/12/25 12:25,A UCM staff member found suspect narcotics in the possession of a patient and turned the contraband over to UCPD for proper disposal,Closed,25-00289
Information / Aggravated Battery,870 E. 63rd St. (Public Way),3/12/25 13:58,3/12/25 13:55,A person standing on the sidewalk off-campus sustained a gunshot wound to the leg / CPD case JJ178577,CPD,2025-010724
Medical Call,1101 E. 58th St. (Rosenwald Hall),3/12/25 17:20,3/12/25 17:20,A person in need of medical attention was transported to UCMED by CFD EMS,Closed,25-00290
Information,Hyde Park between 53rd & 54th,3/12/25 17:52,3/12/25 17:40,An unknown suspect attempted to use stolen property to gain entrance to victim's apartment / CPD case,CPD,2025-010753
Found Narcotics,5656 S. Maryland (UCMED),3/13/25 6:11,3/13/25 6:11,A UCM staff member found narcotics in the possession of a patient / Contraband turned over to UCPD for proper disposal,Closed,25-00291
Theft,5656 S. Maryland (UCMED),3/13/25 7:42,3/13/25 2:45 AM to 7:40 AM,"An unattended, unsecured phone was taken from waiting room",Open,25-00292
Void,Void,Void,Void,Number generated in error,Void,25-00293
Found Property,850 E. 61st St. (UCPD HQ),3/13/25 11:16,3/13/25 11:05,A credit card found on a UC Shuttle bus was turned over to UCPD for safekeeping,Closed,25-00294
Battery,5721 S. Maryland (Comer Hospital),3/13/25 11:29,3/13/25 11:26,A person pushed a UCM staff member and was arrested by UCPD,Arrest,25-00295
Mental Health Transport,860 E. 59th St. (Goldblatt),3/13/25 12:08,3/13/25 12:06,A person was transported to UCMED for evaluation,Closed,25-00296
Information / Aggravated Battery,813 E. 46th St.,3/14/25 3:23,3/14/25 3:00,CPD responded to a call of a person stabbed / Victim transported to UCMED by CPD / CPD case JJ180614,CPD,2025-010951
Information / Theft,1346 E. 53rd St. (Target),3/14/25 7:42,3/14/25 7:40,Three unknown subjects took merchandise from the off-campus store without paying / Referred to CPD,Referred,2025-010972
Theft,1554 E. 55th St. (Walgreens),3/14/25 8:02,3/14/25 8:01,A subject took merchandise from the off-campus store without paying / Suspect located and arrested by UCPD officer,Arrest,25-00297
Found Property,850 E. 61st St. (UCPD HQ),3/14/25 15:19,3/14/25 15:19,A wallet found on a UC Shuttle bus was turned over to UCPD for safekeeping / Owner notified,Closed,25-00298
Found Property,5656 S. Maryland (UCMED),3/14/25 15:40,3/14/25 15:35,A UCM staff member found marijuana in the possession of a patient / Marijuana turned over to UCPD,Closed,25-00299
Theft,6011 S. Ingleside (Public Way),3/14/25 16:14,3/14/257:00 AM to 4:00 PM,Unknown suspect smashed window of vehicle parked on the street and took cell phone,Open,25-00300
Found Property,850 E. 61st St. (UCPD HQ),3/14/25 17:17,3/14/25 16:55,Set of three keys found and turned over to UCPD for safekeeping,Closed,25-00301
Medical Call,5630 S. University (Max Palevsky RC),3/15/25 5:05,3/15/25 5:05,A person in need of medical attention was transported to UCMED by CFD EMS,Closed,25-00302
Found Narcotics,5700 S. Maryland (CCD),3/15/25 11:55,3/15/25 11:35,A UCM staff member found marijuana in the possession of a patient / Substance turned over to UCPD for proper disposal,Closed,25-00303
Found Property,1309 E. 57th St. (Public Way),3/15/25 14:10,3/15/25 14:10,Wallet found on the sidewalk / Property returned to owner,Closed,25-00304
Information / Armed Robbery,5311 S. Lake Park (Parking Lot),3/15/25 19:27,3/15/25 19:05,"Two unknown suspects, one armed with a handgun, took property from a victim off-campus / CPD case JJ182898",CPD,2025-011272
Medical Call,5630 S. University (Max Palevsky RC),3/15/25 21:48,3/15/25 21:47,A person in need of medical attention was transported to UCMED by CFD EMS,Closed,25-00305
Information / Domestic Battery,825 E. 61st St. (Vehicle),3/15/25 23:16,3/15/25 23:15,Ex-boyfriend struck victim before fleeing the scene / CPD case JJ183024,CPD,2025-011316
Mental Health Transport,6031 S. Ellis (Granville-Grossman RC),3/16/25 1:06,3/16/25 0:45,A person was transported to UCMED by UCPD for evaluation,Closed,25-00306
Battery,5656 S. Maryland (UCMED),3/16/25 11:08,3/16/25 11:08,A patient pushed a UCM staff member and was arrested by UCPD officer,Arrest,25-00307
Traffic Crash / Property Damage,6054 S. Drexel (Garage),3/17/25 7:34,3/17/25 7:15,A UC owned vehicle damaged in traffic crash,Closed,25-00308
Theft,5840 S. Maryland (Parking Structure),3/17/25 14:41,3/17/25 12:58 PM to 1:15 PM,"An unattended, unsecured iPad left on the pay station was taken",Open,25-00309
Found Property,5656 S. Maryland (UCMED),3/17/25 23:11,3/17/25 23:11,A UCM staff member found a firearm in the possession of a patient / Weapon turned over to UCPD for safekeeping,Closed,25-00310
Criminal Damage to Vehicle,5717 S. Cottage Grove (Public Way),3/18/25 7:28,3/17/25 to 3/18/25 10:50 PM to 7:25 AM,Window smashed in a 2016Chevy parked on the street,Open,25-00311
Theft,5717 S. Cottage Grove (Public Way),3/18/25 11:04,3/17/25 to 3/18/25 6:00 PM to 11:00 AM,Window smashed and property taken from vehicle parked on the street,Open,25-00312
Information,4646 S. Drexel (UC Clinic),3/18/25 10:47,3/18/25 10:42,An unauthorized person causing a disturbance was removed from the premises and warned of trespassing,Closed,25-00313
Information,5700 S. Maryland (CCD),3/17/25 8:51,3/15/25 8:50,Information related to a CPD investigation documented,Closed,25-00314
Found Property,1212 E. 59th St. (Ida Noyes),3/18/25 14:46,3/18/25 14:45,Multiple found items turned over to UCPD by Ida Noyes staff,Closed,25-00315
Battery,1346 E. 53rd St. (Target),3/18/25 17:22,3/18/25 17:21,A person battered an employee in the off-campus business and was arrested by UCPD,Arrest,25-00316
Information,5730 S. Drexel (Comer Hospital),3/19/25 10:23,3/19/25 10:23,Restricted visitation placed due to parental disturbance,Closed,25-00317
Medical Call,1100 E. 57th St. (Regenstein Library),3/19/25 11:29,3/19/25 11:22,A person in need of medical attention was transported to UCMED by CFD EMS,Closed,25-00318
Found Property,850 E. 61st St. (UCPD HQ),3/19/25 10:29,3/19/25 10:29,A debit card was found and turned over to UCPD for safekeeping,Closed,25-00319
Information / Theft,1554 E. 55th St. (Walgreens),3/19/25 11:35,3/19/25 11:33,An unknown person took merchandise from the off-campus store without paying / Referred to CPD,Referred,2025-011872
Theft from Motor Vehicle,900 E. Midway Pl. (Public Way),3/19/25 12:04,3/14/25 7:00 AM to 3:00 PM,Catalytic converter taken from 2007 Honda parked on the street,Open,25-00320
Traffic Crash,6030 S. Ellis (Public Way),3/19/25 13:04,3/19/25 13:00,A UC owned vehicle was involved in a property damage traffic crash,Closed,25-00321
Information / Theft,1554 E. 55th St. (Walgreens),3/19/25 13:56,3/19/25 13:55,UCPD officer assisted Cook County Sheriff's Officer by detaining a suspect wanted for theft / Suspect turned over to CCSP,Closed,2025-011886
Found Property,850 E. 61st St. (UCPD HQ),3/19/25 14:35,3/19/25 14:35,A wallet was found and turned over to UCPD for safekeeping / Owner contacted,Closed,25-00322
Theft,5815 S. Maryland (Mitchell Hospital),3/20/25 10:04,3/19/25 to 3/20/25 9:00 AM to 11:05 AM,"Unsecured, unattended wallet taken from patient's room",Open,25-00323
Theft,5841 S. Maryland (Hospital),3/20/25 13:20,3/18/25 to 3/20/25 1:20 PM to 9:00 AM,21-gift cards taken from unsecured cabinet in secured office,Open,25-00324
Information / Theft,1554 E. 55th St. (Walgreens),3/20/25 13:52,3/20/25 13:50,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,2025-012049
Found Property,5460 S. University (Public Way),3/20/25 17:59,3/20/25 17:55,A UC lanyard with 5 keys found and turned over to UCPD for safekeeping,Closed,25-00325
Found Property,5235 S. Harper (Public Way),3/20/25 9:26,3/20/25 9:26,A wallet was found and turned over to UCPD for safekeeping / Owner located,Closed,25-00326
Theft,6040 S. Drexel (Public Way),3/21/25 8:21,3/20/25 to 3/21/25 6:00 PM to 7:50 AM,Window shattered and property taken from vehicle parked on the street,Open,25-00327
Found Property,6021 S. Kimbark (Parking Garage),3/21/25 17:20,3/21/25 17:20,A set of keys found and turned over to UCPD for safekeeping,Closed,25-00328
Traffic Crash / Property Damage / Hit & Run,1528 E. 55th St. (Parking Lot),3/21/25 17:34,3/16/25 10:00 AM to 6:00 PM,A vehicle parked in the lot was struck by another vehicle / Motorist left the scene without making a report,Open,25-00329
Interference with Police Officer,6024 S. Stony Island (Public Way),3/21/25 17:17,3/21/25 17:17,"Subsequent to traffic violations, motorist refused to cooperate with police and was taken into custody",Arrest,25-00330
Theft,915 E. 60th St. (Logan Center),3/21/25 19:38,3/11/25 to 3/21/25 12:00 PM to 7:30 PM,Art prints taken from unsecured cabinet in secured room,Open,25-00331
Motor Vehicle Theft,5727 S. University (Parking Lot),3/21/25 20:05,3/21/25 18:25,An unknown suspect took 2022 Honda from the parking lot,Open,25-00332
Battery,5721 S. Maryland (Public Way),3/21/25 23:01,3/21/25 22:50,One person was observed battering another,Open,25-00333
Information,5730 S. Drexel (Comer Hospital),3/21/25 22:11,3/21/25 22:09,A registered handgun was handed over to UCPD by owner / Weapon inventoried at UCPD HQ,Closed,25-00334
Theft,1214 E. 53rd St. (Liquor Store),3/21/25 23:15,3/21/25 23:15,A person took merchandise from the off-campus store without paying / Suspect located and arrested by UCPD,Arrest,25-00335
Information,6300 S. University (Woodlawn Charter School),3/21/25 23:38,3/21/25 23:35,UCPD assisted CPD with missing person investigation,CPD,25-00337
Domestic Battery,5730 S. Drexel (Public Way),3/22/25 1:23,3/22/25 1:22,Boyfriend / girlfriend involved in an argument when boyfriend struck victim with his fist / Suspect arrested by UCPD,Arrest,25-00336
Information,5700 S. Maryland (CCD),3/22/25 7:59,3/22/25 6:00,UCM staff member reported inappropriate behavior of a patient,Closed,25-00338
Criminal Damage to Vehicle,6030 S. Ellis (Public Way),3/22/25 10:43,3/21/25 to 3/22/25 10:00 PM to 10:43 AM,Window broken and steering column damaged in vehicle parked on the street,Open,25-00339
Armed Robbery,1235 E. 58th St. (Public Way),3/22/25 11:00,3/22/25 10:50,"Three unknown suspects, armed with handguns, took property from two victims on the sidewalk",Open,25-00340
Accidental Injury,5600 S. Woodlawn (Public Way),3/22/25 10:40,3/22/25 10:40,Staff member injured hand,Closed,25-00341
Found Property,850 E. 61st St. (UCPD HQ),3/23/25 17:55,3/23/25 17:38,A ride share driver turned over a cell phone to UCPD for safekeeping,Closed,25-00342
Traffic Crash / Property Damage / Hit & Run,4700 S. Lake Park (Public Way),3/23/25 19:32,3/23/25 19:29,A motorist rear ended a vehicle stopped in traffic and drove off without making a report or exchanging information,Open,25-00343
Information / Criminal Damage to Vehicle,4904 S. Lake Park (Public Way),3/23/25 21:06,3/22/25 to 3/23/25 2:00 AM to 9:00 PM,Window smashed in 2023 Nissan parked on the street off-campus / Referred to CPD,Referred,2025-012484
Domestic Battery,1455 E. 57th St. (Public Way),3/23/25 22:27,3/23/25 22:15,A boyfriend struck girlfriend during a domestic argument / Suspect arrested by UCPD officers,Arrest,25-00344
Public Indecency,5656 S. Maryland (UCMED),3/24/25 8:26,3/23/25 14:07,Delayed Report - A patient being examined performed a lewd act in the presence of a UCM staff member,Arrest,25-00345
Assist Other Agency,1352 E. 53rd St. (Public Way),3/24/25 11:07,3/24/25 11:07,"UCPD officer stopped a vehicle that had been reported stolen to CPD / Investigation revealed vehicle was not stolen, subject released",Closed,25-00346
Information / Theft,1554 E. 55th St. (Walgreens),3/24/25 12:34,3/24/25 12:30,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,2025-012557
Theft / Resist Police Officer,850 E. 61st St. (UCPD HQ),3/24/25 22:33,3/24/25 22:31,A subject was observed taking mail from the lobby / Suspect resisted and attempted to disarm officer / Charged with felony,Arrest,25-00347
Information / Theft,1554 E. 55th St. (Walgreens),3/25/25 6:54,3/25/25 6:50,An unknown subject took merchandise from the off-campus store without paying / Referred to PD,Referred,2025-012655
Burglary,1525 E. 55th St. (Office Building),3/25/25 11:40,3/25/25 3:15,Unknown person unlawfully entered an office and took property,Closed,25-00348
Information,1155 E. 60th St. (IMSI),3/25/25 14:07,3/18/25 to 3/25/25 11:00 AM to 2:00 PM,Suspicious behavior of a person was documented,Closed,25-00349
Information,850 E. 61st St. (UCPD HQ),3/25/25 18:56,3/25/25 18:55,Taser testing documented,Closed,25-00350
Found Narcotics,5656 S. Maryland (UCMED),3/25/25 20:19,3/25/25 20:19,A UCM staff member found suspect narcotics in the possession of a patient / Contraband turned over to UCPD for proper disposal,Closed,25-00351
Information,5700 S. Stony Island (CTA Bus),3/25/25 22:22,3/25/25 21:31,Street stop of 4 suspicious individuals documented,Closed,25-00352
Void,Void,Void,Void,Number generated in error,Void,25-00353
Medical Call,6031 S. Ellis (Granville-Grossman RC),3/26/25 0:25,3/26/25 0:25,A person in need of medical attention was transported to UCMED by CFD EMS,Closed,25-00354
Information / Theft,5533 S. Blackstone,3/26/25 10:46,3/23/25 to 3/25/25 times unknown,Bicycle taken from storage area / CPD case JJ195216,CPD,2025-012810
Found Property,1362 E. 59th St. (UC Lab School),3/26/25 16:09,3/26/25 16:00,A wallet was turned over to UCPD for safekeeping,Closed,25-00355
Battery,5730 S. Drexel (Comer Hospital),3/26/25 17:56,3/26/25 17:56,A subject struck a UCM staff member and was arrested by UCPD officers,Arrest,25-00356
Battery,5700 S. Maryland (CCD),3/26/25 18:57,3/26/25 18:57,Two subjects involved in a physical altercation / Peace restored,Closed,25-00357
Possession of Stolen Motor Vehicle,1375 E. 60th St. (Public Way),3/26/25 23:51,3/26/25 23:51,UCPD officers arrested a motorist for possessing a motor vehicle reported stolen in Downers Grove IL,Arrest,25-00359
Medical Call,1101 E. 56th St. (Max Palevsky RC),3/27/25 0:21,3/27/25 0:21,A person experienced a medical problem but declined to be transported to UCMED,Closed,25-00358
Information / Theft,1454 E. 54th St. (Public Way),3/27/25 5:43,3/26/25 to 3/27/25 5:00 PM to 5:45 AM,Unknown person(s) smashed window of a vehicle parked on the street off-campus and took property / Referred to CPD,Referred,2025-012930
Medical Call,5500 S. University (Campus North RH),3/27/25 8:52,3/27/25 8:45,A person in need of medical attention was transported to UCMED by CFD EMS,Closed,25-00360
Criminal Damage to Property,5706 S. University (Reynolds Club,3/27/25 9:27,3/25/25 8:00 PM to 11:00 PM,During an event unknown people damaged tables,Open,25-00361
Accidental Injury,5500 S. University (Campus North Dining Hall),3/28/25 12:25,3/28/25 12:25,A contract worker fell and injured arm / Transported to UCMED by CFD EMS,Closed,25-00362
Information / Theft,1554 E. 55th St. (Walgreens),3/28/25 15:56,3/28/25 15:55,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,2025-013165
Found Property,1155 E. 60th St. (CTS),3/28/25 19:58,3/28/25 19:56,Wallet found and returned to owner,Closed,25-00363
Liquor Law Violation,1414 E. 59th St. (I-House),3/29/25 2:40,3/29/25 2:38,An underage individual became ill after consuming alcoholic beverages and was transported to UCMED by CFD EMS,Referred,25-00364
Mental Health Transport,Hyde Park between 54th & 55th,3/29/25 13:46,3/29/25 13:45,A person was transported to UCMED by UCPD for evaluation,Closed,25-00365
Criminal Damage to Vehicle,1306 E. 61st St. (Kimbark Parking Garage),3/29/25 16:00,3/29/25 16:00,Two subjects smashed windows in a car parked in the garage / UCPD officers located and arrested 2 suspects,Arrest,25-00366
Found Property,5700 S. Lake Park (Public Way),3/29/25 12:59,3/29/25 12:59,A cell phone was found on a bench and turned over to UCPD for safekeeping,Closed,25-00367
Non Criminal-Damage to Property,850 E. 61st St. (UCPD HQ),3/29/25 18:58,3/29/25 18:56,Minor damage found on UC owned vehicle documented,Closed,25-00368
Liquor Law Violation,1414 E. 59th St. (I-House),3/29/25 18:37,3/29/25 18:37,An underage individual became ill after consuming alcoholic beverages and was transported to UCMED by CFD EMS,Referred,25-00369
Information / Criminal Damage to Vehicle,5548 S. Cornell (Public Way),3/29/25 19:03,3/28/25 to 3/29/25 5:30 PM to 12:45 PM,Window smashed in Toyota parked on the street off-campus / Referred to CPD,Referred,2025-013373
Found Property,5656 S. Maryland (UCMED),3/29/25 21:18,3/29/25 20:20,A UCM staff member found drug paraphernalia in a patient's belongings / Contraband turned over to UCPD for proper disposal,Closed,25-00370
Liquor Law Violation,1156 E. 61st St. (Woodlawn R.C.),3/30/35 2:20,3/30/25 2:20,A person became ill after consuming alcoholic beverages and was transported to UCMED by CFD EMS,Referred,25-00371
Information / Theft,Greenwood between 49th & 50th,3/30/25 12:20,3/30/25 11:55,An unknown suspect took a package from the front porch of an off-campus residence / Referred to CPD,Referred,2025-013476
Theft,1156 E. 61st St. (Woodlawn R.C. Bike Rack),3/30/25 19:01,3/28/25 to 3/29/25 5:45 PM to 4:00 PM,Secured bicycle taken from bike rack / Bicycle found secured to another nearby rack / Unfounded,Unfounded,25-00372
Information,1228 E. 53rd St. (CVS),3/31/25 1:01,3/31/25 1:00,UCPD officer documented a complaint involving a known subject bothering staff and other customers,Closed,25-00373
Harassment by Telephone,5751 S. Woodlawn (Plein Air Caf�),3/31/25 7:36,3/31/25 5:40,Harassing phone calls documented,Open,25-00374
Information / Theft,1346 E. 53rd St. (Target),3/31/25 7:10,3/31/25 7:05,A known subject took merchandise from the off-campus store without paying / CPD case,CPD,2025-013563
Information / Theft,1554 E. 55th St. (Walgreens),3/31/25 11:45,3/31/25 11:43,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,2025-013609
Information / Theft,4608 S. Greenwood (Public Way),3/31/25 14:03,3/31/25 14:00,4 suspects smashed window of a car parked on the street off-campus and took property / Suspects located and arrested by CPD officers / CPD case JJ201256,CPD,2025-013631
Deceptive Practice,5812 S. Ellis,3/31/25 16:53,3/23/25 to 3/27/25 10:00 AM to 5:30 PM,Check fraud incident documented,Open,25-00375
Information / Theft,5451 S. Woodlawn (Public Way),3/31/25 17:39,3/31/2025 8:30 AM to 5:35 PM,An Illinois license plate was taken from vehicle parked on the street off-campus / Referred to CPD,Referred,2025-013670
Motor Vehicle Theft,Midway Pl. between Drexel & Ellis (Public Way),3/31/25 19:53,3/31/25 6:50 AM to 5:05 PM,A parked and secured 2018 Infinity was taken,Open,25-00376
Traffic Crash / Hit & Run / Property Damage,5100 S. Dorchester (Public Way),3/31/25 21:04,3/30/25 6:00 PM to 10:50 PM,A vehicle parked on the street was struck by a motorist that did not stop and file a report,Open,25-00377
Theft,1100 E. 57th St. (Regenstein Bike Rack),4/1/25 10:17,3/17/25 8:00 AM to 6:00 PM,Secured bicycle taken from bike rack,Open,25-00378
Information / Criminal Damage to Vehicle,5024 S. Ellis (Public Way),4/1/25 11:29,3/31/25 to 4/1/25 7:00 PM to 10:00 AM,Window smashed in vehicle parked on the street off-campus / Referred to CPD,Referred,2025-013837
Accidental Injury,6000 S. Drexel (Wells Parking Lot),4/1/25 14:59,4/1/25 8:45,A person tripped and fell to the ground / Declined medical attention,Closed,25-00379
Information / Burglary,Harper between 53rd & 54th,4/1/25 20:49,4/1/25 7:45 AM to 8:00 PM,Unknown suspect(s) unlawfully entered off-campus and took property / Referred to CPD,Referred,2025-013904
Non-Criminal Property Damage,860 E. 59th St. (Public Way),4/2/25 10:11,4/2/25 10:11,Damage to shuttle bus documented,Closed,25-00380
Violation of Order of Protection,5730 S. Drexel (Comer Hospital),4/2/25 12:16,4/2/25 12:16,A subject was arrested by UCPD officer for violating a court issued order of protection,Arrest,25-00381
Domestic Battery,5730 S. Drexel (Comer Hospital),4/2/25 17:35,4/2/25 17:30,"During a disagreement, one family member struck another / Suspect arrested by UCPD officer",Arrest,25-00382
Criminal Trespass to Property,5656 S. Maryland (UCMED),4/2/25 22:39,4/2/25 22:35,An unauthorized subject ignored repeated warnings to leave property and was arrested by UCPD officers,Arrest,25-00383
Mental Health Transport,1700 E. 56th St.,4/3/25 5:25,4/3/25 5:22,A person was transported to UCMED for evaluation,Closed,25-00384
Information / Theft,1554 E. 55th St. (Walgreens),4/3/25 8:10,4/3/25 8:05,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,2025-014130
Found Property,5800 S. University (Main Quad),4/3/25 11:05,4/3/25 11:05,A wallet was found in the Quad and turned over to UCPD for safekeeping,Closed,25-00385
Theft,1414 E. 59th St. (I-House),4/3/25 11:15,4/3/25 11:15,"Unknown subject(s) took a ""donor bench"" from the west entrance to the building / Subsequent to investigation, no theft occurred / Bench was removed for repairs",Unfounded,25-00386
Warrant Arrest,1555 E. 55th St. (Public Way),4/3/25 11:43,4/3/25 11:43,UCPD officer arrested a person wanted in an active warrant from Cook County,Arrest,25-00387
Information / Theft,5230 S. University (Residence Porch),4/3/25 14:19,4/2/25 2:00 PM to 6:00 PM,A package was taken from the porch of an off-campus residence / Referred to CPD,Referred,2025-014168
Information / Theft,1346 E. 53rd St. (Target),4/3/25 14:47,4/3/25 14:45,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,2025-014172
Found Property,5500 S. Ellis,4/3/25 14:58,4/3/25 14:58,A wallet was found and turned over to UCPD for safekeeping,Closed,25-00388
Found Property,5656 S. Maryland (UCMED),4/3/25 15:11,4/3/25 15:00,A UCM staff member found marijuana in the possession of a patient / Turned over to UCPD for proper disposal,Closed,25-00389
Information,5656 S. Maryland (UCMED),4/3/25 16:41,3/18/25 time unknown,Unwanted email messages from a known person documented,Closed,25-00390
Traffic Crash / Hit & Run / Property Damage,812 E. 52nd St. (Public Way),4/1/25 18:50,3/29/25 to 3/31/25 12:00 PM to 10:00 AM,Delayed report of hit & run traffic crash documented,Open,25-00391
Damage to Property,850 E. 61st St. (UCPD HQ),4/4/25 16:05,4/4/25 7:30,Minor damage to a UC owned vehicle documented,Closed,25-00392
Traffic Crash / Hit & Run / Minor Injury,5600 S. Ellis (Public Way),4/5/25 10:47,4/5/25 10:45,A vehicle struck a pedestrian in the crosswalk but did not stop / Victim declined medical attention,Open,25-00393
Warrant Arrest,1228 E. 57tSt. (Public Way),4/5/25 14:32,4/5/25 14:32,"Subsequent to a traffic stop, a UCPD officer arrested a motorist for an active warrant from Livingston County, IL",Arrest,25-00394
Information / Theft,1554 E. 55th St. (Walgreens),4/5/25 14:24,4/5/25 14:20,An unknown subject took merchandise from the off-campus store without paying / Referred to CPD,Referred,2025-014468
Information / Robbery,5465 S. Ellis (Public Way),4/6/25 1:18,4/6/25 1:05,Three unknown suspects took property from a victim walking on the sidewalk off-campus / CPD case,CPD,2025-014535
Mental Health Transport,5500 S. University (Campus North RH),4/6/25 1:45,4/6/25 1:45,A person was transported to UCMED for evaluation,Closed,25-00395
Information / Armed Robbery,1155 E. 54th St. (Public Way),4/6/25 2:11,4/6/25 1:15,"Four unknown suspects, armed with handguns, took property from a victim walking on the sidewalk off-campus / CPD case",CPD,2025-014542
Found Narcotics,5815 S. Maryland (Mitchell Hospital),4/6/25 7:48,4/6/25 7:40,A UCM staff member found suspect narcotics among a patient's belongings / Contraband turned over to UCPD for proper disposal,Closed,25-00396
Assault,5700 S. Maryland (CCD),4/6/25 7:30,4/6/25 1:00,A UCM staff member reported they felt threatened during a confrontation with another staff member,Closed,25-00397
