Incident Type,Case Number,Date/Time Reported,Date/Time Occurred,Location,Disposition
Cso Services,2502240133,2/24/25 22:24,,"Glen Mor Housing, 400 Block Of Big Springs Rd",Completed
Cso Services,2502240132,2/24/25 22:23,,"Falkirk Apartments, 3400 Block Of Canyon Crest Dr",Completed
Information,2502240122,2/24/25 21:01,,"Uc Path-intellicenter (Ucpd Respond), 14300 Block Of Meridian Pkwy",Completed
Traffic Stop,2502240121,2/24/25 21:00,,"The Barn, 1500 Block Of W Campus Dr",Cite Issued
Hit & Run Prop Damage:locate/etc,25-0259,2/24/25 20:28,2/24/25 19:06,,Suspended/pending Further Leads
With Intent To Annoy Or Harass With Repeat Calls/contact - Disorderly Conduct (M),25-0258,2/24/25 19:18,2/18/2025 2:55 PM - 2/24/2025 5:28 PM,"Dundee Residence Hall, 600 Block Of Linden St",Suspended/pending Further Leads
Parking Problem,2502240113,2/24/25 18:35,,"Parking Lot 1, 900 Block Of University Ave",Log Note Only
Information,2502240103,2/24/25 17:25,,"Police Building, 3500 Block Of Canyon Crest Dr",Completed
Call Boxes-blue Phones,2502240100,2/24/25 16:59,,"Pentland Hills, 0 Block Of Pentland Way",Completed
Call Boxes-blue Phones,2502240099,2/24/25 16:56,,"Lothian Residence Hall, 500 Block Of Big Springs Rd",Completed
Call Boxes-blue Phones,2502240098,2/24/25 16:49,,"Glenmor Market, 400 Block Of Big Springs Rd",Completed
Call Boxes-blue Phones,2502240097,2/24/25 16:48,,"Lothian Residence Hall, 500 Block Of Big Springs Rd",Completed
Call Boxes-blue Phones,2502240096,2/24/25 16:42,,"Glen Mor Housing, 400 Block Of Big Springs Rd",Completed
Information,2502240094,2/24/25 16:35,,"Police Building, 3500 Block Of Canyon Crest Dr",Completed
Call Boxes-blue Phones,2502240095,2/24/25 16:35,,"Glen Mor Housing, 400 Block Of Big Springs Rd",Completed
Call Boxes-blue Phones,2502240093,2/24/25 16:31,,"Big Springs Parking Structure #1, 400 Block Of Big Springs Rd",Completed
Call Boxes-blue Phones,2502240091,2/24/25 16:30,,"Big Springs Parking Structure #1, 400 Block Of Big Springs Rd",Completed
Call Boxes-blue Phones,2502240090,2/24/25 16:29,,"Big Springs Parking Structure #1, 400 Block Of Big Springs Rd",Completed
Call Boxes-blue Phones,2502240079,2/24/25 16:00,,"Uc  Botanic Gardens, 0 Block Of Botanic Gardens Dr",Completed
Call Boxes-blue Phones,2502240071,2/24/25 15:33,,,Completed
Battery On Person - Simple (M),25-0257,2/24/25 15:25,2/24/2025 3:15 PM - 2/24/2025 3:30 PM,"Alumni And Visitors Center, 3700 Block Of Canyon Crest Dr",Refer To District Attorneys Office
Welfare Check,2502240067,2/24/25 15:21,,"Glen Mor Housing, 400 Block Of Big Springs Rd",Completed
Petty Theft - All Other Larceny (M),25-0256,2/24/25 13:10,2/24/2025 9:57 AM - 2/24/2025 12:54 PM,"Life Sciences, 900 Block Of University Ave",Suspended/pending Further Leads
Burglary - Burglary/breaking And Entering (F),25-0255,2/24/25 12:22,2/20/2025 7:00 PM - 2/24/2024 12:00 PM,"Marlan & Rosemary Bourns Hall, 900 Block Of University Ave",Suspended/pending Further Leads
Panic Alarm,2502240043,2/24/25 11:32,,"Student Health And Counseling Center, 300 Block Of Linden St",False Alarm: Unknown Reason
Burglary - Burglary/breaking And Entering (F),25-0253,2/24/25 10:51,2/14/2025 3:30 PM - 2/18/2025 7:00 AM,"North Dist Phase 2 Const, 3400 Block Of Canyon Crest Dr",Suspended/pending Further Leads
Burglary - Burglary/breaking And Entering (F),25-0254,2/24/25 10:51,2/21/2025 3:30 PM - 2/24/2025 7:30 AM,"North Dist Phase 2 Const, 3400 Block Of Canyon Crest Dr",Suspended/pending Further Leads
Information,2502240032,2/24/25 9:17,,"Motte Rimrock Reserve, 3500 Block Of Canyon Crest Dr",Report Taken
Area Check,2502240020,2/24/25 4:44,,"Life Sciences, 900 Block Of University Ave",Completed
Unwanted Subject,2502240019,2/24/25 4:20,,"Biological Sciences, 900 Block Of University Ave",Gone On Arrival
Possess Unlawful Paraphernalia (M),25-0251,2/24/25 3:04,2/24/25 3:04,,Cleared By Arrest
Building Check,2502240013,2/24/25 2:50,,"Robert Gordon Sproul Hall, 900 Block Of University Ave",Completed
Building Check,2502240007,2/24/25 1:33,,"Vivarium 2 (Spieth Hall Basement), 900 Block Of University Ave",Completed
Building Check,2502230080,2/23/25 23:52,,"Ivan Hinderaker Hall, 900 Block Of University Ave",Completed
Public Service,2502230079,2/23/25 23:47,,"Parking Lot 19, 900 Block Of University Ave",Completed
Area Check,2502230075,2/23/25 23:12,,"1420 Iowa-ucr Pd To Respond, 1400 Block Of Iowa Ave",Completed
Cso Services,2502230072,2/23/25 22:56,,"Pentland Hills, 0 Block Of Pentland Way",Completed
Cso Services,2502230070,2/23/25 22:55,,"Lothian Residence Hall, 500 Block Of Big Springs Rd",Completed
Cso Services,2502230071,2/23/25 22:55,,"Aberdeen-inverness Residence Hall, 100 Block Of Aberdeen Dr",Completed
Cso Services,2502230065,2/23/25 22:10,,"Glen Mor Housing, 400 Block Of Big Springs Rd",Completed
Cso Services,2502230066,2/23/25 22:10,,"Glen Mor Housing, 400 Block Of Big Springs Rd",Completed
Cso Services,2502230067,2/23/25 22:10,,"Big Springs Parking Structure #1, 400 Block Of Big Springs Rd",Completed
Cso Services,2502230061,2/23/25 22:09,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Completed
Cso Services,2502230062,2/23/25 22:09,,"Oban Apartments, 900 Block Of Linden St",Completed
Cso Services,2502230063,2/23/25 22:09,,"Falkirk Apartments, 3400 Block Of Canyon Crest Dr",Completed
Suspicious Circumstances,2502230059,2/23/25 21:50,,"Police Building, 3500 Block Of Canyon Crest Dr",Report Taken
Public Service,2502230057,2/23/25 21:22,,"Coffee Bean & Tea Leaf, 900 Block Of University Ave",Completed
Traffic Stop,2502230056,2/23/25 21:16,,Lot 21,Cite Issued
Pedestrian Check,2502230053,2/23/25 20:32,,"Outside 7/11, 1200 Block Of University Ave",Completed
Building Check,2502230051,2/23/25 19:51,,"Vivarium 2 (Spieth Hall Basement), 900 Block Of University Ave",Completed
Public Service,2502230049,2/23/25 17:25,,"Insectary And Quarantine Facility, 900 Block Of University Ave",Completed
Area Check,2502230043,2/23/25 15:35,,"Interior Mall, 900 Block Of University Ave",Completed
Information,2502230041,2/23/25 14:35,,,Completed
Suspicious Circumstances,2502230035,2/23/25 12:33,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Log Note Only
Fire Alarm,2502230032,2/23/25 11:47,,"University Plaza Apartments, 1000 Block Of Linden St",False Alarm: Unknown Reason
Building Check,2502230019,2/23/25 5:26,,"John W. Olmsted Hall, 900 Block Of University Ave",Completed
Area Check,2502230017,2/23/25 5:25,,"Interior Mall, 900 Block Of University Ave",Completed
Area Check,2502230018,2/23/25 5:25,,"Science Laboratories 1, 900 Block Of University Ave",Completed
Area Check,2502230015,2/23/25 5:24,,"Highlander Union Building, 900 Block Of University Ave",Completed
Area Check,2502230016,2/23/25 5:24,,"W. Conway Pierce Hall, 900 Block Of University Ave",Completed
Building Check,2502230004,2/23/25 1:16,,"Multidisciplinary Research Building 1, 900 Block Of University Ave",Completed
Medical Aid,2502230001,2/23/25 0:06,,"Aberdeen-inverness Residence Hall, 100 Block Of Aberdeen Dr",Report Taken
Cso Services,2502220100,2/22/25 23:49,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Completed
Building Check,2502220099,2/22/25 23:43,,"Ivan Hinderaker Hall, 900 Block Of University Ave",Completed
Traffic Stop,2502220093,2/22/25 22:51,,,Warning (Verbal)
Traffic Stop,2502220090,2/22/25 22:28,,,Warning (Verbal)
Cso Services,2502220089,2/22/25 22:18,,"Lothian Residence Hall, 500 Block Of Big Springs Rd",Completed
Cso Services,2502220086,2/22/25 22:04,,"Glen Mor Housing, 400 Block Of Big Springs Rd",Completed
Cso Services,2502220082,2/22/25 22:03,,"Big Springs Parking Structure #2, 900 Block Of University Ave",Completed
Cso Services,2502220083,2/22/25 22:03,,"Aberdeen-inverness Residence Hall, 100 Block Of Aberdeen Dr",Completed
Cso Services,2502220084,2/22/25 22:03,,"Oban Apartments, 900 Block Of Linden St",Completed
Cso Services,2502220085,2/22/25 22:03,,"Falkirk Apartments, 3400 Block Of Canyon Crest Dr",Completed
Traffic Stop,2502220077,2/22/25 21:44,,,Warning (Verbal)
Traffic Stop,2502220076,2/22/25 21:29,,,Warning (Verbal)
Call Boxes-blue Phones,2502220071,2/22/25 21:06,,"Housing Administration, 3500 Block Of Canyon Crest Dr",Completed
Traffic Stop,2502220070,2/22/25 21:05,,,Warning (Verbal)
Building Check,2502220063,2/22/25 20:34,,"Student Success Center, 900 Block Of University Ave",Completed
Traffic Stop,2502220062,2/22/25 20:31,,,Warning (Verbal)
Information,2502220059,2/22/25 19:49,,"Glen Mor Housing, 400 Block Of Big Springs Rd",Log Note Only
Building Check,2502220058,2/22/25 19:26,,"W. Conway Pierce Hall, 900 Block Of University Ave",Completed
Building Check,2502220057,2/22/25 18:33,,"Herman T. Spieth Hall, 900 Block Of University Ave",Completed
Information,2502220056,2/22/25 18:31,,"Glenmor Market, 400 Block Of Big Springs Rd",Log Note Only
Fire Alarm,2502220055,2/22/25 18:20,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",False Alarm: Human Activation
Building Check,2502220050,2/22/25 17:24,,"Ivan Hinderaker Hall, 900 Block Of University Ave",Completed
Fire Alarm,2502220041,2/22/25 15:46,,"Lothian Residence Hall, 500 Block Of Big Springs Rd",False Alarm: Human Activation
Information,2502220037,2/22/25 14:39,,,Log Note Only
Public Service,2502220033,2/22/25 12:45,,"Student Support Services Building, 900 Block Of University Ave",Completed
Silent Burglary Alarm,2502220030,2/22/25 10:44,,"Life Sciences, 900 Block Of University Ave",False Alarm: Human Activation
Possess Unlawful Paraphernalia (M),25-0247,2/22/25 10:04,2/22/25 10:04,"Downs Energy, 1600 Block Of Columbia Ave",Cleared By Arrest
Vehicle Check,2502220004,2/22/25 2:36,,,Referred To Other Agency
Petty Theft - All Other Larceny (M),25-0246,2/21/25 22:46,2/21/2025 10:00 PM - 2/21/2025 10:30 PM,"Stonehaven Apartments, 3200 Block Of Canyon Crest Dr",Suspended/pending Further Leads
Vehicle Check,2502210107,2/21/25 22:33,,"Uc Path-intellicenter (Ucpd Respond), 14300 Block Of Meridian Pkwy",Completed
Cso Services,2502210101,2/21/25 22:01,,"Falkirk Apartments, 3400 Block Of Canyon Crest Dr",Completed
Cso Services,2502210102,2/21/25 22:01,,"Big Springs Parking Structure #2, 900 Block Of University Ave",Completed
Cso Services,2502210103,2/21/25 22:01,,"Oban Apartments, 900 Block Of Linden St",Completed
Cso Services,2502210104,2/21/25 22:01,,"Glen Mor Housing, 400 Block Of Big Springs Rd",Completed
Cso Services,2502210100,2/21/25 21:59,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Completed
Public Service,2502210098,2/21/25 21:35,,"Multidisciplinary Research Building 1, 900 Block Of University Ave",Public Assist
Assist Other Department,2502210097,2/21/25 21:06,,Moreno Valley,Completed
,2502210096,2/21/25 20:16,,"Falkirk Apartments, 3400 Block Of Canyon Crest Dr",Completed
Information,2502210094,2/21/25 19:05,,"Aberdeen-inverness Residence Hall, 100 Block Of Aberdeen Dr",Log Note Only
Silent Burglary Alarm,2502210092,2/21/25 18:14,,"Raymond L. Orbach Science Library, 900 Block Of University Ave",False Alarm: Unknown Reason
Found Property,2502210080,2/21/25 16:08,,"Parking Lot 1, 900 Block Of University Ave",Report Taken
Public Service,2502210067,2/21/25 13:09,,"Parking Lot 13, 900 Block Of University Ave",Completed
Possess Controlled Substance (M),25-0244,2/21/25 5:36,2/21/2025 5:36 AM - 2/21/2025 6:05 AM,"Oban Apartments, 900 Block Of Linden St",Cleared By Arrest
Call Boxes-blue Phones,2502210025,2/21/25 3:38,,"Alfred M. Boyce Hall, 900 Block Of University Ave",Completed
Building Check,2502210024,2/21/25 3:05,,"Ivan Hinderaker Hall, 900 Block Of University Ave",Completed
Vehicle Check,2502210022,2/21/25 3:02,,"Parking Lot 26, 1000 Block Of Blaine St",Completed
Pedestrian Check,2502210019,2/21/25 2:38,,"Ivan Hinderaker Hall, 900 Block Of University Ave",Completed
Traffic Stop,2502210011,2/21/25 1:43,,Ifo Staters,Cite Issued
Public Service,2502210008,2/21/25 0:50,,,Public Assist
Building Check,2502210006,2/21/25 0:34,,"Robert Gordon Sproul Hall, 900 Block Of University Ave",Completed
Traffic Stop,2502200107,2/20/25 23:56,,,Warning (Verbal)
Cso Services,2502200101,2/20/25 23:07,,"Pentland Hills, 0 Block Of Pentland Way",Completed
Cso Services,2502200099,2/20/25 23:06,,"Lothian Residence Hall, 500 Block Of Big Springs Rd",Completed
Cso Services,2502200100,2/20/25 23:06,,"Aberdeen-inverness Residence Hall, 100 Block Of Aberdeen Dr",Completed
Building Check,2502200098,2/20/25 22:54,,"Herman T. Spieth Hall, 900 Block Of University Ave",Completed
Area Check,2502200096,2/20/25 22:45,,"Big Springs Parking Structure #2, 900 Block Of University Ave",Completed
Cso Services,2502200089,2/20/25 21:59,,"Glen Mor Housing, 400 Block Of Big Springs Rd",Completed
Cso Services,2502200090,2/20/25 21:59,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Completed
Cso Services,2502200091,2/20/25 21:59,,"Oban Apartments, 900 Block Of Linden St",Completed
Cso Services,2502200092,2/20/25 21:59,,"Big Springs Parking Structure #1, 400 Block Of Big Springs Rd",Completed
Cso Services,2502200093,2/20/25 21:59,,"Falkirk Apartments, 3400 Block Of Canyon Crest Dr",Completed
Traffic Stop,2502200084,2/20/25 21:37,,,Warning (Verbal)
Public Service,2502200074,2/20/25 19:03,,"Facilities Services, 3400 Block Of Watkins Dr",Completed
911 Call,2502200071,2/20/25 18:44,,"The Barn, 1500 Block Of W Campus Dr",Completed
Reckless Driving,2502200062,2/20/25 16:58,,"Pentland Hills, 0 Block Of Pentland Way",Completed
Fire Alarm,2502200060,2/20/25 16:06,,"Glen Mor Housing, 400 Block Of Big Springs Rd",False Alarm: Human Activation
Suspicious Circumstances,2502200059,2/20/25 15:57,,"Falkirk Apartments, 3400 Block Of Canyon Crest Dr",Completed
Suspicious Circumstances,2502200058,2/20/25 15:32,,"Police Building, 3500 Block Of Canyon Crest Dr",Report Taken
Vehicle Check,2502200057,2/20/25 14:40,,"Parking Lot 26, 1000 Block Of Blaine St",Completed
Medical Aid,2502200056,2/20/25 13:52,,"Chass Interdisciplinary North, 900 Block Of University Ave",Report Taken
Medical Aid,2502200053,2/20/25 13:19,,"John W. Olmsted Hall, 900 Block Of University Ave",Completed
Area Check,2502200050,2/20/25 12:45,,"R Garden-lot 30, 900 Block Of University Ave",Completed
911 Call,2502200047,2/20/25 11:26,,"Pentland Hills, 0 Block Of Pentland Way",Cancelled
Petty Theft - All Other Larceny (M),25-0241,2/20/25 10:54,2/19/2025 9:00 PM - 2/20/2025 9:30 AM,"North District Bldg A, 700 Block Of Linden St",Suspended/pending Further Leads
Area Check,2502200039,2/20/25 9:59,,"Riparian Area, 900 Block Of University Ave",Completed
Vandalism:deface Property (F),25-0240,2/20/25 9:41,2/19/2025 7:30 AM - 2/19/2025 10:00 AM,"Robert Gordon Sproul Hall, 900 Block Of University Ave",Suspended/pending Further Leads
Pedestrian Check,2502200026,2/20/25 8:24,,"Farmer Boys, 2900 Block Of Iowa Ave",Completed
Building Check,2502200009,2/20/25 2:06,,"Ivan Hinderaker Hall, 900 Block Of University Ave",Completed
Public Service,2502200003,2/20/25 0:34,,"Coffee Bean & Tea Leaf, 900 Block Of University Ave",Public Assist
Building Check,2502200001,2/20/25 0:11,,"Life Sciences 1500, 900 Block Of University Ave",Completed
Area Check,2502190115,2/19/25 23:30,,"Big Springs Parking Structure #1, 400 Block Of Big Springs Rd",Completed
Area Check,2502190114,2/19/25 23:29,,"Big Springs Parking Structure #1, 400 Block Of Big Springs Rd",Completed
Cso Services,2502190111,2/19/25 23:24,,"Aberdeen-inverness Residence Hall, 100 Block Of Aberdeen Dr",Completed
Area Check,2502190112,2/19/25 23:24,,"Lothian Residence Hall, 500 Block Of Big Springs Rd",Completed
Cso Services,2502190110,2/19/25 23:22,,"Pentland Hills, 0 Block Of Pentland Way",Completed
Fire Alarm,2502190107,2/19/25 22:48,,"Glen Mor Housing, 400 Block Of Big Springs Rd",False Alarm: Unknown Reason
Area Check,2502190106,2/19/25 22:39,,"Herman T. Spieth Hall, 900 Block Of University Ave",Completed
Area Check,2502190104,2/19/25 22:21,,"Police Building, 3500 Block Of Canyon Crest Dr",Completed
Area Check,2502190100,2/19/25 22:20,,"Falkirk Apartments, 3400 Block Of Canyon Crest Dr",Completed
Area Check,2502190101,2/19/25 22:20,,"Oban Apartments, 900 Block Of Linden St",Completed
Area Check,2502190102,2/19/25 22:20,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Completed
Area Check,2502190103,2/19/25 22:20,,"Glen Mor Housing, 400 Block Of Big Springs Rd",Completed
Medical Aid,2502190098,2/19/25 21:01,,"Pentland Hills, 0 Block Of Pentland Way",Completed
Information,2502190097,2/19/25 20:59,,"Pentland Hills, 0 Block Of Pentland Way",Completed
Robbery (F),25-0239,2/19/25 20:18,2/9/2025 1:13 PM - 2/9/2025 8:18 PM,"Glen Mor Parking Structur, 400 Block Of Big Springs Rd",Refer To District Attorneys Office
Assault With Firearm On Person - Aggravated (F),25-0239,2/19/25 20:18,2/9/2025 1:13 PM - 2/9/2025 8:18 PM,"Glen Mor Parking Structur, 400 Block Of Big Springs Rd",Refer To District Attorneys Office
Threaten Crime With Intent To Terrorize (F),25-0239,2/19/25 20:18,2/9/2025 1:13 PM - 2/9/2025 8:18 PM,"Glen Mor Parking Structur, 400 Block Of Big Springs Rd",Refer To District Attorneys Office
Conspiracy:commit Crime (F),25-0239,2/19/25 20:18,2/9/2025 1:13 PM - 2/9/2025 8:18 PM,"Glen Mor Parking Structur, 400 Block Of Big Springs Rd",Refer To District Attorneys Office
Petty Theft - All Other Larceny (M),25-0238,2/19/25 18:25,2/19/25 16:00,"School Of Business, 900 Block Of University Ave",Suspended/pending Further Leads
Hit & Run Prop Damage:locate/etc,25-0237,2/19/25 18:12,2/19/25 18:00,"Parking Lot 1, 900 Block Of University Ave",Suspended/pending Further Leads
Building Check,2502190086,2/19/25 17:54,,"Student Health And Counseling Center, 300 Block Of Linden St",Completed
Suspicious Circumstances,2502190084,2/19/25 17:42,,"Gordon S. Watkins Hall, 900 Block Of University Ave",Completed
Petty Theft - All Other Larceny (M),25-0236,2/19/25 15:54,2/18/2025 10:20 AM - 2/18/2025 4:00 PM,"Physics Building, 900 Block Of University Ave",Suspended/pending Further Leads
Silent Burglary Alarm,2502190068,2/19/25 14:36,,"Arts Building, 900 Block Of University Ave",False Alarm: Unknown Reason
Public Service,2502190065,2/19/25 13:44,,"Leon Dexter Batchelor Hall, 900 Block Of University Ave",Completed
Unwanted Subject,2502190064,2/19/25 13:42,,"Alumni And Visitors Center, 3700 Block Of Canyon Crest Dr",Completed
Misc Alarms - Simplex Etc.,2502190062,2/19/25 12:53,,"Highlander Union Building, 900 Block Of University Ave",Completed
Hit & Run Prop Damage:notify/etc,25-0235,2/19/25 12:08,2/7/2025 3:00 PM - 2/7/2025 5:00 PM,"Parking Lot 30, 900 Block Of University Ave",Suspended/pending Further Leads
Traffic Stop,2502190059,2/19/25 11:45,,,Warning (Verbal)
Unwanted Subject,2502190058,2/19/25 11:25,,"Housing Administration, 3500 Block Of Canyon Crest Dr",Subject Advised Of 626
Suspicious Circumstances,2502190057,2/19/25 11:14,,"Highlander Union Building, 900 Block Of University Ave",Report Taken
Pedestrian Check,2502190056,2/19/25 11:13,,"Parking Lot 27, 900 Block Of University Ave",Completed
Public Service,2502190054,2/19/25 10:53,,"Leon Dexter Batchelor Hall, 900 Block Of University Ave",Completed
Panic Alarm,2502190052,2/19/25 10:46,,"Transportation Services (Taps), 600 Block Of Linden St",False Alarm: Human Activation
Medical Aid,2502190050,2/19/25 10:37,,"Belltower, 900 Block Of University Ave",Completed
911 Call,2502190049,2/19/25 10:35,,"Green House 1-3, 900 Block Of University Ave",Completed
Pedestrian Check,2502190038,2/19/25 9:19,,"Riparian Area, 900 Block Of University Ave",Completed
Grand Theft - False Pretenses/swindle/confidence Game (F),25-0233,2/19/25 8:58,2/18/2025 9:00 AM - 2/19/2025 8:58 AM,"Police Building, 3500 Block Of Canyon Crest Dr",Referred To Detective Division
Unwanted Subject,2502190027,2/19/25 7:52,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Gone On Arrival
Petty Theft - From Building (M),25-0232,2/19/25 2:00,2/17/25 12:00,"North District Bldg A, 700 Block Of Linden St",Suspended/pending Further Leads
Public Service,2502190003,2/19/25 0:37,,"Marlan & Rosemary Bourns Hall, 900 Block Of University Ave",Completed
Traffic Stop,2502180101,2/18/25 23:18,,,Cite Issued
Cso Services,2502180098,2/18/25 22:58,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Completed
Cso Services,2502180096,2/18/25 22:55,,"Aberdeen-inverness Residence Hall, 100 Block Of Aberdeen Dr",Completed
Cso Services,2502180095,2/18/25 22:54,,"Pentland Hills, 0 Block Of Pentland Way",Completed
Building Check,2502180093,2/18/25 22:37,,"Ivan Hinderaker Hall, 900 Block Of University Ave",Completed
Fire Alarm,2502180092,2/18/25 22:34,,"Pentland Hills, 0 Block Of Pentland Way",False Alarm: Unknown Reason
Possess Unlawful Paraphernalia (M),25-0231,2/18/25 22:32,2/18/25 22:32,,Cleared By Arrest
Cso Services,2502180084,2/18/25 21:56,,"Lothian Residence Hall, 500 Block Of Big Springs Rd",Completed
Cso Services,2502180085,2/18/25 21:56,,"Glen Mor Housing, 400 Block Of Big Springs Rd",Completed
Cso Services,2502180086,2/18/25 21:56,,"Falkirk Apartments, 3400 Block Of Canyon Crest Dr",Completed
Cso Services,2502180083,2/18/25 21:55,,"Big Springs Parking Structure #1, 400 Block Of Big Springs Rd",Completed
Building Check,2502180081,2/18/25 21:26,,"Life Sciences 1500, 900 Block Of University Ave",Completed
Building Check,2502180078,2/18/25 20:40,,"Gordon S. Watkins Hall, 900 Block Of University Ave",Completed
Building Check,2502180072,2/18/25 19:31,,"Ivan Hinderaker Hall, 900 Block Of University Ave",Completed
Public Service,2502180070,2/18/25 18:33,,,Completed
Building Check,2502180067,2/18/25 18:05,,"Geology Building, 900 Block Of University Ave",Completed
Silent Burglary Alarm,2502180066,2/18/25 17:49,,"W. Conway Pierce Hall, 900 Block Of University Ave",False Alarm: Unknown Reason
Theft Of Personal Property - All Other Larceny (M),25-0229,2/18/25 17:16,2/18/2025 3:45 PM - 2/18/2025 4:50 PM,"University Lecture Hall, 900 Block Of University Ave",Suspended/pending Further Leads
Building Check,2502180064,2/18/25 17:10,,"Herman T. Spieth Hall, 900 Block Of University Ave",Completed
Petty Theft - All Other Larceny (M),25-0228,2/18/25 17:07,2/18/2025 2:05 PM - 2/18/2025 4:50 PM,"University Lecture Hall, 900 Block Of University Ave",Suspended/pending Further Leads
Petty Theft - All Other Larceny (M),25-0230,2/18/25 17:03,2/18/2025 9:36 AM - 2/18/2025 5:00 PM,"Dundee Residence Hall, 600 Block Of Linden St",Unfounded
Petty Theft - All Other Larceny (M),25-0227,2/18/25 16:14,2/18/2025 11:00 AM - 2/18/2025 3:00 PM,"Glasgow Dining, 600 Block Of Linden St",Suspended/pending Further Leads
Suspicious Subject,2502180057,2/18/25 14:12,,"University Plaza Apartments, 1000 Block Of Linden St",Gone On Arrival
Violate Civil Rights By Force Or Threat Of Force - Intimidation (M),25-0226,2/18/25 13:55,2/18/25 13:55,"Gordon S. Watkins Hall, 900 Block Of University Ave",Cleared By Arrest
Assist Other Department,2502180048,2/18/25 12:43,,116600 Block Of Nb 215 Off,Completed
Petty Theft - All Other Larceny (M),25-0224,2/18/25 11:13,2/18/2025 7:40 AM - 2/18/2025 9:40 AM,"Aberdeen-inverness Residence Hall, 100 Block Of Aberdeen Dr",Unfounded
Suspicious Circumstances,2502180046,2/18/25 10:41,,"Veitch Building, 900 Block Of University Ave",Completed
Found Property,2502180044,2/18/25 9:33,,"The Barn, 1500 Block Of W Campus Dr",Report Taken
Public Service,2502180043,2/18/25 9:15,,"Police Building, 3500 Block Of Canyon Crest Dr",Completed
Petty Theft - From Building (M),25-0225,2/18/25 8:41,2/18/2025 8:41 AM - 2/18/2025 8:41 AM,"Chass Interdisciplinary North, 900 Block Of University Ave",Suspended/pending Further Leads
Burglary:first Degree - Burglary/breaking And Entering (F),25-0222,2/18/25 7:25,2/14/2025 5:00 PM - 2/18/2025 7:00 AM,"1420 Iowa-ucr Pd To Respond, 1400 Block Of Iowa Ave",Open/active
Rape By Force/fear/etc (F),25-0221,2/18/25 1:51,2/17/2025 10:38 PM - 2/18/2025 1:45 AM,"Dundee Residence Hall, 600 Block Of Linden St",Suspended/pending Further Leads
Oral Cop:by Use Of Force/injury - Sodomy (F),25-0221,2/18/25 1:51,2/17/2025 10:38 PM - 2/18/2025 1:45 AM,"Dundee Residence Hall, 600 Block Of Linden St",Suspended/pending Further Leads
Sexual Penetration W/force/fear/etc - Sexual Assault With Object (F),25-0221,2/18/25 1:51,2/17/2025 10:38 PM - 2/18/2025 1:45 AM,"Dundee Residence Hall, 600 Block Of Linden St",Suspended/pending Further Leads
Public Service,2502170091,2/17/25 23:28,,"Parking Lot 19, 900 Block Of University Ave",Completed
Traffic Stop,2502170088,2/17/25 23:05,,,Cite Issued
Cso Services,2502170087,2/17/25 22:58,,"Big Springs Parking Structure #1, 400 Block Of Big Springs Rd",Completed
Cso Services,2502170086,2/17/25 22:56,,"Lothian Residence Hall, 500 Block Of Big Springs Rd",Completed
Traffic Stop,2502170085,2/17/25 22:46,,,Warning (Verbal)
Cso Services,2502170079,2/17/25 21:56,,"Bannockburn Village, 3600 Block Of Canyon Crest Dr",Completed
Cso Services,2502170078,2/17/25 21:55,,"Aberdeen-inverness Residence Hall, 100 Block Of Aberdeen Dr",Completed
Cso Services,2502170076,2/17/25 21:54,,"Falkirk Apartments, 3400 Block Of Canyon Crest Dr",Completed
Cso Services,2502170077,2/17/25 21:54,,"Glen Mor Housing, 400 Block Of Big Springs Rd",Completed
Building Check,2502170070,2/17/25 20:17,,"Highlander Union Building, 900 Block Of University Ave",Completed
Assist Other Department,2502170061,2/17/25 18:41,,"Police Building, 3500 Block Of Canyon Crest Dr",Report Taken
Pedestrian Check,2502170058,2/17/25 17:56,,"Falkirk Apartments, 3400 Block Of Canyon Crest Dr",Completed
Petty Theft - From Building (M),25-0219,2/17/25 15:47,2/17/25 12:00,"North District Bldg A, 700 Block Of Linden St",Cleared By Arrest
Violation Parole:felony (F),25-0219,2/17/25 15:47,2/17/25 12:00,"North District Bldg A, 700 Block Of Linden St",Cleared By Arrest
Animal Complaint,2502170053,2/17/25 15:40,,115600 Block Of Linden St,Log Note Only
Public Service,2502170052,2/17/25 15:15,,"Gordon S. Watkins Hall, 900 Block Of University Ave",Public Assist
Fire Alarm,2502170051,2/17/25 14:55,,"International Village Apartments, 1100 Block Of Everton Pl",False Alarm: Human Activation
Public Service,2502170050,2/17/25 14:53,,"Chemical Sciences, 900 Block Of University Ave",Completed
911 Call,2502170047,2/17/25 11:41,,"Pentland Hills, 0 Block Of Pentland Way",Report Taken
Tamper With Vehicle - Motor Vehicle Parts/accessories (M),25-0217,2/17/25 11:28,2/17/25 11:28,1100 Block Of Spruce St,Referred To Outside Agency
Pedestrian Check,2502170044,2/17/25 11:08,,"Falkirk Apartments, 3400 Block Of Canyon Crest Dr",Completed
