Case#,Date/Time Reported,Incident Type,Location,Date/Time Occurred,Disposition
2023-00 016918,9/29/23,Underage Possession of Alcohol X 3,630 Washington St SW (Pritchard Hall),9/29/23 21:41,Inactive: Referred to Student Conduct
2023-00 016924,9/29/23,Fake ID/Underage Possession of Tobacco,217 College Ave (Squires Parking Lot),9/29/23 22:36,CBA
2023-00 016938,9/30/23,Public Intoxication/Underage Possession of Alcohol/Fake ID,140 Otey St NW,9/30/23 1:11,CBA
2023-00 016941,9/30/23,Public Intoxication X 2,620 Drillfield Dr (Torgersen Hall),9/30/23 1:51,Inactive: Referred to Student Conduct
2023-00 016942,9/30/23,Public Intoxication,115 Kent St,9/30/23 2:07,CBA
2023-00 016946,9/30/23,Underage Possession of Alcohol,560 Drillfield Dr (Newman Library),9/30/23 2:43,Inactive: Referred to Student Conduct
2023-00 016947,9/30/23,Vandalism/destruction of Property,770 Washington St SW (Cochrane Hall),9/29/23 22:30,Inactive
2023-00 016948,9/30/23,"Larceny, all Other",560 Drillfield Dr (Newman Library),9/30/23 3:04,Inactive
2023-00 016949,9/30/23,"Larceny,all other/Public Intoxication",Washington St SW/Kent St,9/30/23 3:06,Inactive: Referred to Student Conduct
2023-00 016974,9/30/23,Public Intoxication/Underage Possession of Alcohol,310 Alumni Mall (near Pearson Hall West),9/30/23 18:01,Inactive: Referred to Student Conduct
2023-00 016977,9/30/23,Public Intoxication,185 Beamer Way (Lane Stadium),9/30/23 18:57,CBA
,,,,,
2023-00,9/30/23,Public Intoxication,185 Beamer Way (Lane,9/30/23 19:00,CBA
016978 2023-00,9/30/23,Assault on LEO/Trespassing,Stadium) 185 Beamer Way (Lane,9/30/23 19:08,Inactive: Referred to
016981 2023-00,9/30/23,Public Intoxication,Stadium) 185 Beamer Way (Lane,9/30/23 19:25,Student Conduct CBA
016984 2023-00,9/30/23,Public Intoxication,Stadium) Southgate Dr/Duckpond Dr,9/30/23 19:28,CBA
016986 2023-00,9/30/23,Public Intoxication,185 Beamer Way (Lane,9/30/23 19:20,CBA
016987 2023-00,9/30/23,Public Intoxication,Stadium) 185 Beamer Way (Lane,9/30/23 19:19,CBA
016988 2023-00,9/30/23,Public Intoxication,Stadium) 21 Beamer Way (Lane,9/30/23 19:38,CBA
016989 2023-00,9/30/23,Public Intoxication,Stadium) 185 Beamer Way (Lane,9/30/23 19:45,CBA
016990 2023-00,9/30/23,Public Intoxication,Stadium) 185 Beamer Way (Lane,9/30/23 20:10,CBA
016997 2023-00,9/30/23,Public Intoxication/Underage Possession of,Stadium) 185 Beamer Way (Lane,9/30/23 20:17,CBA
017001 2023-00,9/30/23,Alcohol/Fake ID Vandalism/destruction of Property,Stadium) 700 Washington St SW (West,9/30/23 2:00,Inactive
017003 2023-00,9/30/23,Vandalism/destruction of Property,AJ) 700 Washington St SW (West,9/30/23 20:00,Inactive
017007 2023-00,9/30/23,Public Intoxication,AJ) 675 Washington St SW,9/30/23 21:09,CBA
017011 2023-00,9/30/23,Public Intoxication,185 Beamer Way (Lane,9/30/23 21:27,CBA
017012 2023-00,9/30/23,"Larceny, all Other",Stadium) 240 Kent St (Whitehurst Hall),9/30/23 18:30,Active
17015,,,,,
,,,,,
2023-00 017016,9/30/23,"Larceny, theft from Building",285 Ag Quad Ln (Dietrick Hall),9/30/23 21:55,Inactive
2023-00 017017,9/30/23,Public Intoxication,185 Beamer Way (Lane Stadium),9/30/23 22:04,CBA
2023-00 017020,9/30/23,Public Intoxication,185 Beamer Way (Lane Stadium),9/30/23 20:12,CBA
2023-00 017024,9/30/23,Aggravated Assault,150 Kent St (Owens Hall),9/30/23 20:30,Active
2023-00 017026,9/30/23,Public Intoxication,185 Beamer Way (Lane Stadium),9/30/23 22:38,CBA
2023-00 017029,9/30/23,"Larceny, all Other",185 Beamer Way (Lane Stadium),9/30/23 21:00,Inactive
2023-00 017033,9/30/23,Public Intoxication,185 Beamer Way (Lane Stadium),9/30/23 23:19,CBA
2023-00 017034,9/30/23,Public Intoxication,185 Beamer Way (Lane Stadium),9/30/23 23:22,CBA
2023-00 017042,10/1/23,Public Intoxication X 2,West  Campus Dr,10/1/23 1:17,CBA
2023-00 017043,10/1/23,Public Intoxication,290 College Ave (Squires bus stop),10/1/23 1:38,CBA
2023-00 017044,10/1/23,Underage Possession of Alcohol,155 Otey St Nw (Graduate Life Center),10/1/23 1:48,Inactive: Referred to Student Conduct
2023-00 017050,10/1/23,Threats X 2,385 West Campus Dr (Hillcrest Hall),9/30/23 3:23,Inactive: Referred to Student Conduct
2023-00 017067,10/1/23,Obtain Money by False Pretense Via Internet,720 Washington St SW (West AJ),09/28/2023- 10/1/23 04:35,Active
2024292 0,9/14/23,Underage Possession of Alcohol,570 Washington St SW (Hoge Hall),9/13/23,Inactive: Referred by Student Conduct
2023-00 017099,10/2/23,Sex Offense/Rape,720 Washington St SW (West AJ),9/24/23 0:15,Active
,,,,,
2023-00,10/2/23,Fraud/Obtaining Money by False Pretenses,185 Beamer Way (Lane,10/01/2023- 20:25,Inactive
017115 2023-00,10/2/23,"Larceny, all Other",Stadium) 765 West Campus Dr (bus,10/2/23 10/2/23 08:37,Active
017121 2023-00,10/3/23,Underage Possession of Alcohol/Underage,stop) 570 Washington St SW,10/3/23 1:13,Inactive: Referred to
17136,,Possession of  Nicotine,(between Hoge Hall and O'Shaughnessy),,Student Conduct
2024050 5,5/4/23,Underage Possession of Alcohol,770 Washington St SW (Cochrane Hall),5/4/23,Inactive: Referred by Student Conduct
2023-00 017180,10/3/23,Fraud/Obtaining Money by False Pretenses,180 Kent St (Vawter Hall,10/3/23 12:24,Inactive
2023-00 017192,10/3/23,"Larceny, all Other",290 College Ave (Squires Student Center),10/3/23 16:21,Active
2023-00 017214,10/3/23,"Larceny, theft from Building",201 Ag Quad Ln (Slusher Hall),09/27/2023- 10/3/23 00:00,Inactive
2024050 5,5/4/23,Underage Possession of Alcohol,770 Washington St SW (Cochrane Hall),5/4/23,Inactive: Referred by Student Conduct
2024270 6,9/9/23,Underage Possession of Alcohol,180 Kent St (Vawter Hall),9/9/23,Inactive: Referred by Student Conduct
2024281 7,9/10/23,Underage Possession of Alcohol,280 Stanger St (Upper Quad Hall North),9/9/23,Inactive: Referred by Student Conduct
2024292 0,9/14/23,Underage Possession of Alcohol,570 Washington St SW (Hoge Hall),9/13/23,Inactive: Referred by Student Conduct
2023-00 017242,10/4/23,Vandalism/destruction of Property,220 Gilbert St,10/2/23 10:00,Inactive
2023-00 017252,10/4/23,Hit and Run Pedestrian,1075 Life Science Circle,10/4/23 16:58,CBA
2023-00 017275,10/5/23,Public Intoxication/Underage Possession of Alcohol,3205 Oak Ln (SPH-H),10/5/2023 45,Inactive: Referred to Student Conduct
2023-00 017278,10/5/23,Underage Possession of Alcohol,320 Drillfield Dr (East Campbell Hall),10/5/23 1:47,Inactive: Referred to Student Conduct
,,,,,
2023-00,10/5/23,Vandalism/destruction of Property,225 Stanger St (outside,10/3/23 12:20,Inactive
017310 2023-00,10/5/23,"Larceny, all Other",Upper Quad Hall North) 770 Washington St SW,10/5/23 22:54,Inactive
017338 2023-00,10/5/23,Driving Under the Influence of Alcohol,(Cochrane Hall) 201 W Roanoke St,10/05/2023- 23:56,CBA
017345 2023-00,10/6/23,Public Intoxication/Underage Possession of,185 Kent St (CID Building),10/6/23 10/6/23 01:50,CBA
017350 2023-00,10/7/23,Alcohol/Fake ID/Trespassing/Simple Assault Vandalism/destruction of Property,530 Washington St SW,10/7/23 2:00,Inactive
017427 2023-00,10/8/23,Public Intoxication,(O'Shaughnessy) 190 West Campus Dr (New,10/8/23 1:00,Inactive: Referred to
017435 2023-00,10/8/23,Vandalism/destruction of Property,Hall West near dumpsters) 610 Washington St SW,10/8/23 0:00,Student Conduct Inactive
017468 2024361,9/23/23,Underage Possession of Alcohol,(Peddrew-Yates Hall) 720 Washington St SW (West,9/23/23,Inactive: Referred by
3 2024397,9/29/23,Underage Possession of Alcohol,AJ) 180 Kent St (Vawter Hall),9/29/23,Student Conduct Inactive: Referred by
9 2023-00,10/11/23,"Larceny, theft from Building",201 Draper Rd NW (Armory),09/27/2023- 18:00,Student Conduct Inactive
017615 2023-00,10/11/23,Public Intoxication/Underage Possession of,630 Washington St SW,10/9/23 10/11/2023- 23:56,CBA
017668 2023937,4/8/23,"Alcohol/Fake ID Larceny, all Other X2",(Pritchard Hall) 770 Washington St SW,10/12/23 4/8/23,Inactive: Referred by
1 2024186,8/26/23,Underage Possession of Alcohol,(Cochrane Hall) 201 Ag Quad Ln (Slusher,8/26/23,Student Conduct Inactive: Referred by
3 2024277,9/9/23,Underage Possession of Alcohol X 4,Tower) Newman Hall,9/9/23,Student Conduct Inactive: Referred by
1 2024384,9/27/23,Underage Possession of Alcohol,Oak Lane (SPH-A,9/27/23,Student Conduct Inactive: Referred by
1,,,,,Student Conduct
,,,,,
2023-00 017680,10/12/23,"Larceny,Theft from Vehicle/Tampering with Vehicle",101 Draper Rd (Media Lot),10/11/2023- 10/12/23 17:00,Inactive
2023-00 017690,10/12/23,"Larceny, theft from Building",635 Prices Fork Rd,10/11/2023- 10/12/23 16:01,Inactive
2023-00 017706,10/12/23,Fraud / Embezzlement,310 West Campus Dr,12/22/2011- 7/24/23 00:00,Active
2023-00 017709,10/12/23,Fraud,250 Drillfield Dr (College of Agriculture & Life Sciences,05/11/201/-0 5/25/23 00:00,Active
2023-00 017721,10/12/23,Vandalism/destruction of Property X 2,2740 Oak Ln (SPH-B),10/11/2023- 10/12/23 12:00,Inactive
2023-00 017723,10/12/23,Harassment by Computer,240 West Campus Dr (Harper Hall),10/12/23 8:00,Active
2023-00 017749,10/12/23,Public Intoxication,101 Draper Rd (Media Lot),10/12/23 22:58,CBA
2023-00 017751,10/12/23,Public Intoxication,201 Draper Rd NW (Armory),10/12/23 23:26,CBA
2023-00 017757,10/13/23,Public Intoxication/Underage Possession of Alcohol/Fake ID,101 Draper Rd NW (near Media Lot),10/13/23 0:20,CBA
2023-00 017758,10/13/23,Vandalism/destruction of Property,720 Washington St SW (West AJ),10/12/2023- 10/13/23 23:00,Inactive
2023-00 017760,10/13/23,Vandalism/destruction of Property,590 Washington St SW (New Residence Hall East),10/13/23 1:05,Inactive
2023-00 017763,10/13/23,"Larceny, theft from Building",720 Washington St SW (West AJ),10/13/23 1:30,Inactive
2023-00 017765,10/13/23,Public Intoxication/Underage Possession of Alcohol/Fake ID/Vandalism/destruction of,770 Washington St SW (Cochrane Hall),10/13/23 2:20,CBA
2024450,10/11/23,Property Public Intoxication/Underage Possession of,240 West Campus Dr (Harper,10/11/23,Inactive: Referred by
8 2023-00,10/13/23,"Alcohol Larceny, theft from Building",Hall) 560 Drillfield Dr (Newman,10/11/2023- 18:00,Student Conduct Inactive
17773,,,Library),10/12/23,
,,,,,
2023-00 017844,10/13/23,Vandalism/destruction of Property,630 Washington St SW (Pritchard Hall),10/13/23 20:41,Inactive
2023-00 017855,10/13/23,Vandalism/destruction of Property,201 Ag Quad Ln (Slusher Wing),10/13/23 22:25,Inactive
2023-00 017856,10/13/23,Underage Possession of Alcohol/Littering,630 Washington St SW (Pritchard Hall),10/13/23 22:30,Inactive: Referred to Student Conduct
2023-00 017857,10/13/23,Underage Possession of Alcohol,530 Washington St SW (O'Shaughnessy),10/13/23 22:31,Inactive: Referred to Student Conduct
2023-00 017861,10/13/23,"Larceny, theft from Building",770 Washington St SW (Cochrane Hall),10/13/23 8:00,Inactive
2023-00 017875,10/14/23,"Larceny, theft from Building",770 Washington St SW (Cochrane Hall),10/13/2023- 10/14/23 23:30,Inactive
2023-00 017879,10/14/23,Public Intoxication/Underage Possession of Alcohol X 2,155 Otey St Nw (between Graduate Life Center &,10/14/23 1:30,Inactive: Referred to Student Conduct
2023-00,10/14/23,Public Intoxication/Underage Possession of,Squires) 190 West Campus Dr (New,10/14/23 2:08,Inactive: Referred to
017885 2023-00,10/14/23,Alcohol Driving Under the Influence of Alcohol,Hall West ) 630 Washington St SW,10/14/23 2:17,Student Conduct Inactive
017886 2023-00,10/14/23,Public Intoxication/Fake ID,200 College Ave,10/14/23 3:20,CBA
017888 2023-00,10/14/23,"Larceny, theft from Building",285 Ag Quad Ln (Dietrick,10/13/2023- 03:00,Active
017890 2023-00,10/14/23,Public Intoxication,Hall) Green St/Harrell St,10/14/23 10/14/23 14:39,CBA
017915 2023-00,10/14/23,Public Intoxication,185 Beamer Way (Lane,10/14/23 15:00,CBA
017917 2023-00,10/14/23,Public Intoxication,Stadium) 185 Beamer Way (Lane,10/14/23 15:08,CBA
017918 2023-00,10/14/23,Public Intoxication,Stadium) 185 Beamer Way (Lane,10/14/23 15:21,CBA
17919,,,Stadium),,
,,,,,
2023-00 017920,10/14/23,Public Intoxication/Indecent Exposure,185 Beamer Way (Lane Stadium),10/14/23 15:50,CBA
2023-00 017921,10/14/23,Simple Assault,185 Beamer Way (Lane Stadium),10/14/23 15:40,Inactive
2023-00 017922,10/14/23,Public Intoxication,530 Callaghan Sheridan Way,10/14/23 16:06,CBA
2023-00 017923,10/14/23,Public Intoxication/Underage Possession of Alcohol,185 Beamer Way (Lane Stadium),10/14/23 16:08,CBA
2023-00 017925,10/14/23,"Larceny, all Other/Public Intoxication",185 Beamer Way (Lane Stadium),10/14/23 16:52,CBA
2023-00 017926,10/14/23,Public Intoxication/Underage Possession of Alcohol,185 Beamer Way (Lane Stadium),10/14/23 15:30,Inactive: Referred to Student Conduct
2023-00 017930,10/14/23,Public Intoxication,185 Beamer Way (Lane Stadium),10/14/23 17:33,CBA
2023-00 017945,10/14/23,Vandalism/destruction of Property,720 Washington St SW (West AJ),10/14/23 14:00,Inactive
2023-00 017946,10/14/23,"Larceny, theft from Auto",895 Washington St,10/14/23 15:00,Inactive
2023-00 017948,10/14/23,Vandalism/destruction of Property/Larceny/ theft from Building),821 Southgate Dr (outside Marching ns Center),10/14/23 14:00,Inactive
2023-00 017957,10/14/23,Public Intoxication/Underage Possession of Alcohol & Tobacco,100 Draper Rd SW (Media Lot),10/14/23 21:57,CBA
2023-00 017972,10/15/23,Underage Possession of Alcohol,500 Drillfield Dr (Eggleston East Wing),10/15/23 2:27,Inactive: Referred to Student Conduct
2023-00 017980,10/15/23 0,Public Intoxication/Underage Possession of Alcohol,410 Washington St SW (Miles Hall),10/15/23 2:12,Inactive: Referred to Student Conduct
2023-00 017981,10/15/23,Underage Possession of Alcohol,630 Washington St SW (Pritchard Hall),10/15/23 2:15,Inactive: Referred to Student Conduct
2023-00 017984,10/15/23,Sex Offense/Fondling,290 College Ave (Squires Student Center),10/15/23 2:35,Inactive: Referred to Title IX
,,,,,
2023-00,10/15/23,Vandalism/destruction of Property,630 Washington St SW,10/14/23 0:30,Inactive
017985 2023-00,10/15/23,Underage Possession of Alcohol,(Pritchard Hall) 180 Kent St (Vawter Hall),10/15/23 4:07,Inactive: Referred to
017987 2023-00,10/16/23,"Sex Offense/Rape,/ Forcible Sodomy, /",On Campus,10/11/23 17:00,Student Conduct Inactive: Referred to
018055 2023-00,10/16/23,"Strangulation / Burglary Larceny, theft from Building",635 Prices Fork Rd (Engle,10/10/2023- 16:00,Title IX Inactive
018068 2023-00,10/16/23,Vandalism/destruction of Property/Larceny/,Hall) 21 Beamer Way (Lane,10/11/23 10/14/23 15:30,Inactive
018070 2023-00,10/16/23,theft from Building) Vandalism/destruction of Property,Stadium) 1040 Drillfield Dr (Davidson,10/16/23 15:49,CBA
018083 2023-00,10/16/23,Vandalism/destruction of Property,Lot) Duck Pond,10/16/23 15:30,CBA
018142 2024398,9/30/23,Underage Possession of Alcohol,180 Kent St (Vawter Hall),9/30/23,Inactive: Referred by
0 2023-00,10/17/23,"Larceny, all Other",920 West Campus Dr,10/13/2023- 14:00,Student Conduct Active
018147 2023-00,10/17/23,"Larceny, all Other",(Johnston Student Center) 920 West Campus Dr,10/16/23 10/16/2023- 14:00,Active
018148 2023-00,10/17/23,Assault & Battery X 3/ Simple Assault X 2 /,(Johnston Student Center) Huckleberry Trail North MMO,10/17/23 10/17/23 17:26,CBA
018177 2023-00,10/19/23,"Larceny, all Other Fraud",(460 Underpass) 600 Washington St SW,10/18/23 8:00,Active
018298 2023-00,10/19/23,"Larceny, theft from Building",(Payne Hall) 895 Washington St,10/13/23 20:00,Inactive
018303 2023-00,10/19/23,Public Intoxication/Fake ID/ Underage,(McComas Hall) 290 College Ave(outside,10/19/23 22:12,CBA
018346 2023-00,10/20/23,"Possession of Nicotine Larceny, theft from Building",Squires Student Center) 560 Drillfield Dr (Newman,10/19/23 20:45,Inactive
18355,,,Library),,
,,,,,
2023971 3,4/15/23,Underage Possession of Alcohol,190 West Campus Dr (New Hall West),4/15/23,Inactive: Referred by Student Conduct
2024392 3,9/25/23,Underage Possession of Alcohol,285 Ag Quad Ln (Dietrick Hall),9/24/23,Inactive: Referred by Student Conduct
2024397 4,9/30/23,Underage Possession of Alcohol X 2,180 Kent St (Vawter Hall),9/30/23,Inactive: Referred by Student Conduct
2024395 5,10/1/23,Underage Possession of Alcohol,180 Kent St (Vawter Hall),10/1/23,Inactive: Referred by Student Conduct
2024437 9,10/8/23,Underage Possession of Alcohol X 3,180 Kent St (Vawter Hall),10/8/23,Inactive: Referred by Student Conduct
2023-00 018413,10/20/23,Computer Fraud,225 Stanger St (Upper Quad Hall North),10/19/23 16:36,Active
2023-00 018421,10/20/23,Simple Assault,College Ave / North Main,10/20/23 16:00,Inactive
2023-00 018455,10/20//2023,"Larceny, theft from Building/Vandalism/ destruction of Property",201 Ag Quad Ln (Slusher Wing),10/20/23 20:00,Inactive
2023-00 018467,10/20/22,Public Intoxication/Underage Possession of Alcohol,2875 Oak Ln (SPH-R),10/20/23 23:44,Inactive: Referred to Student Conduct
2023-00 018472,10/21/23,Public Intoxication/Underage Possession of Alcohol/Fake ID,101 Draper Rd NW ( Media Lot),10/21/23 0:20,CBA
2023-00 018475,10/21/23,Underage Possession of Alcohol X 9,185 Kent St (CID Building),10/21/23 1:00,Inactive: Referred to Student Conduct
2023-00 018477,10/21/23,Public Intoxication,130 Otey St NW (Media Annex),10/21/23 1:02,CBA
2023-00 018480,10/21/23,Public Intoxication/Fake ID,155 Otey St NW (near Graduate Life Center),10/21/23 1:45,CBA
2023-00 018483,10/21/23,"Larceny, all Other",285 Ag Quad Ln (Dietrick Hall),10/21/23 1:38,CBA
2023-00 018484,10/21/23,Public Intoxication/Underage Possession of Alcohol,630 Washington St SW (Pritchard Hall),10/21/23 1:57,Inactive: Referred to Student Conduct
,,,,,
2023-00,10/21/23,Underage Possession of Alcohol,770 Washington St SW,10/21/23 2:25,Inactive: Referred to
018489 2023-00,10/21/23,False Alarm/Vandalism/destruction of Property,(Cochrane Hall) 201 Ag Quad Ln (Slusher,10/21/23 6:36,Student Conduct Active
018495 2023-00,10/21/23,Vandalism/destruction of Property/Larceny/,Wing) 201 Ag Quad Ln (Slusher,10/21/23 2:00,Inactive
018497 2023-00,10/21/23,theft from Building) Underage Possession of Alcohol/Fake ID/,Wing) 240 West Campus Dr (Harper,10/21/23 12:45,CBA
018508 2023-00,10/21/23,Underage Possession of Tobacco X 3 Underage Possession of Alcohol/Fake ID,Hall) 240 West Campus Dr (Harper,10/21/23 12:45,CBA
018508 2023-00,10/21/02,Larceny/theft from Building,Hall) 570 Washington St SW (Hoge,10/21/23 14:00,Inactive
018516 2023-00,3 10/21//2023,Underage Possession of Alcohol/Fake ID,Hall) 201 Draper Rd NW (Armory),10/21/23 23:42,Inactive: Referred to
018529 2023-00,10/22/23,Public Intoxication,201 Draper Rd NW (Armory),10/21/23 23:40,Student Conduct CBA
018530 2023-00,10/22/23,Possession of Stolen Property/Underage,410 Drillfied Dr (West,10/22/23 1:12,Inactive: Referred to
018531 2023-00,10/22/23,"Possession of Alcohol X 2 Larceny, all Other",Eggleston Hall) 410 Washington St SW (Miles,10/22/23 3:00,Student Conduct CBA
018556 2023-00,10/22/23,Vandalism/destruction of Property,Hall) 280 Stanger St (Upper Quad,10/22/23 0:00,Inactive
018568 2023696,2/15/23,Underage Possession of Alcohol,Hall North) 770 Washington St SW,2/14/23,Inactive: Referred by
2 2024050,5/4/23,Underage Possession of Alcohol,(Cochrane Hall) 770 Washington St SW,5/4/23,Student Conduct Inactive: Referred by
5 2023-00,10/23/23,Arson/Burning or Destroying Personal,(Cochrane Hall) 570 Washington St SW (Hoge,10/22/23 8:20,Student Conduct Active
018606 2023-00,10/24/23,Property Simple Assault,Hall) 145 Perry St (near Bishop-,10/24/23 12:15,Inactive
18671,,,Favrao Hall),,
,,,,,
2023-00 018678,10/24/23,"Larceny, theft from Building",201 Ag Quad Ln (Slusher Wing),10/20/2023- 10/24/23 08:00,Active
2023-00 018679,10/24/23,"Larceny, theft from Building",201 Ag Quad Ln (Slusher Wing),10/20/2023- 10/24/23 14:30,Active
2023-00 018705,10/25/23,"Larceny, theft from Building",430 Old Turner St (Lavery Hall),10/11/2023- 10/24/23 00:01,Active
2023-00 018707,10/25/23,"Larceny, theft from Building",430 Old Turner St (Lavery Hall),10/17/23 11:00,Inactive
2023-00 018719,10/25/23,"Larceny, theft from Building",295 West Campus Dr (Wallace Hall),10/24/23 13:19,Unfounded
2023-00 018790,0/26/2023,Vandalism/destruction of Property,201 Ag Quad Ln (Slusher Hall outside),10/24/23 8:00,Inactive
2023-00 018793,10/26/23,Identity Theft/Obtaining Money by False Pretenses Online,225 Stanger St (McBryde Hall),10/25/2023- 10/26/23 13:55,Inactive
2023-00 018843,10/26/23,Public Intoxication,185 Beamer Way (Lane Stadium),10/26/23 18:28,CBA
2023-00 018845,10/26/23,Public Intoxication,185 Beamer Way (Lane Stadium),10/26/23 18:45,CBA
2023-00 018846,10/26/23,Public Intoxication,605 Washington St SW (outside Cassell Coliseum),10/26/23 18:46,CBA
2023-00 018847,10/26/23,Public Intoxication,185 Beamer Way (Lane Stadium),10/26/23 18:47,CBA
2023-00 018851,10/26/23,Public Intoxication,185 Beamer Way (Lane Stadium),10/26/23 19:05,CBA
2023-00 018855,10/26/23,Public Intoxication,185 Beamer Way (Lane Stadium),10/26/23 19:30,CBA
2023-00 018857,10/26/23,Public Intoxication,185 Beamer Way (Lane Stadium),10/26/23 20:00,CBA
2023-00 018858,10/26/23,Public Intoxication,185 Beamer Way (Lane Stadium),10/26/23 20:18,CBA
,,,,,
2023-00,10/26/23,Public Intoxication/Underage Possession of,720 Washington St SW (West,10/26/23 20:32,Inactive: Referred to
018859 2023-00,10/26/23,Alcohol Underage Possession of Alcohol,AJ) 720 Washington St SW (West,10/26/23 20:30,Student Conduct Inactive: Referred to
018859 2023-00,10/26/23,Public Intoxication,AJ) 708 Southgate Dr,10/26/23 19:45,Student Conduct CBA
018860 2023-00,10/26/23,Public Intoxication,185 Beamer Way (Lane,10/26/23 20:50,CBA
018861 2023-00,10/26/23,Public Intoxication,Stadium) 207 Washington St SW,10/26/23 21:07,CBA
018864 2023-00,10/26/23,Disorderly Conduct/ Public Urination,185 Beamer Way (Lane,10/26/23 19:31,Inactive: Referred to
018866 2023-00,10/26/23,Public Intoxication/Underage Possession of,Stadium) 285 Ag Quad Hall(Dietrich,10/26/23 21:34,Student Conduct Inactive: Referred to
018867 2023-00,10/26/23,Alcohol Disorderly Conduct/Spitting,Hall (Deets Place) 185 Beamer Way (Lane,10/26/23 19:31,Student Conduct Inactive: Referred to
018868 2023-00,10/26/23,"Larceny, theft from a Building",Stadium) 560 Drillfield Dr (Newman,10/26/23 17:00,Student Conduct Inactive
018869 2023-00,10/26/23,"Larceny, theft from a Building",Library) 185 Kent St (CID Building),10/12/2023- 00:00,Inactive
018870 2023-00,10/26/23,"Larceny, theft from a Building",185 Beamer Way (Lane,10/26/23 10/26/23 20:00,Inactive
018873 2023-00,10/26/23,"Larceny, theft from a Building",Stadium) 185 Beamer Way (Lane,10/26/23 20:00,Inactive
018874 2023-00,10/26/23,"Larceny, theft from a Building",Stadium) 185 Beamer Way (Lane,10/26/23 20:00,Inactive
018875 2023-00,10/26/23,Vandalism/destruction of Property,Stadium) 185 Beamer Way (Lane,10/26/23 23:22,Inactive
018876 2023-00,10/27/23,Public Intoxication/Underage Possession of,Stadium) 201 Draper Rd NW (outside,10/27/2023 34,CBA
18881,,Alcohol,Armory Building),,
,,,,,
2023-00 018882,10/27/23,Public Intoxication/Underage Possession of Alcohol/Fake ID,720 Washington St SW (West AJ),10/27/2023 49,Inactive: Referred to Student Conduct
2023-00 018883,10/27/23,Public Intoxication,901 Prices Fork Rd (Inn at  Tech),10/27/23 0:50,CBA
2023-00 018888,10/27/23,"Larceny, theft from a Building /Vandalism, destruction of Property",770 Washingtin St SW (Cochrane Hall),10/26/2023- 10/27/23 22:40,Inactive
2023-00 018889,10/27/23,"Larceny, theft from a Building /Vandalism, destruction of Property",770 Washingtin St SW (Cochrane Hall),10/27/23 22:40,Inactive
2023-00 018890,10/27/23,"Larceny, theft from a Building",570 Washington St SW (Hoge Hall),10/27/23 0:00,Inactive
2023-00 018891,10/27/23,Public Intoxication,901 Prices Fork Rd (Inn at  Tech),10/27/23 1:48,CBA
2024159 4,10/6/23,Underage Possession of Alcohol,2875 Oak Ln (SPH-R),8/21/23,Inactive: Referred by Student Conduct
2024300 5,9/15/23,"Larceny, theft from Building",185 Kent St (CID Building),9/8/23,Inactive: Referred by Student Conduct
2023-00 018902,10/27/23,Vandalism/destruction of Property,185 Beamer Way (Stadium Woods),10/08/2023- 10/16/23 00:00,Inactive
2023-00 018910,10/27/23,"Larceny, all Other",200 Kent St (near Newman Hall),10/26/23 21:54,Inactive
2023-00 018928,10/27/23,"Larceny, theft from Building",201 Ag Quad Ln ( Slusher Hall),10/27/23 3:00,Inactive
2023-00 018957,10/27/23,Underage Possession of Alcohol,440 Drillfield Dr (Main Eggleston Hall),10/27/23 22:06,Inactive: Referred to Student Conduct
2023-00 018961,10/27/23,Public Intoxication/Underage Possession of Alcohol,185 Kent St (CID Building),10/27/23 22:19,Inactive: Referred to Student Conduct
2023-00 018973,10/27/23,Contributing to the delinquency of a minor,Kent St,10/27/23 23:50,Inactive: Referred to Student Conduct
2023-00 018980,10/28/23,Public Intoxication/Underage Possession of Alcohol,530 Washington St SW (O'Shaughnessy),10/28/2023 31,Inactive: Referred to Student Conduct
,,,,,
2023-00,10/28/23,Public Intoxication/Underage Possession of,130 Otey St NW (Media,10/28/23 1:00,CBA
018986 2023-00,10/28/23,Alcohol Public Intoxication/Underage Possession of,Annex) 155 Otey St Nw (Graduate,10/28/23 1:56,CBA
18989,,Alcohol/Fake ID/Underage Possession of Tobacco,Life Center),,
2023-00 018993,10/28/23,Driving Under the Influence of Alcohol/ Obstruction of Justice/Refuse Blood/Breath,675 Washington St SW (Cassell Coliseum),10/28/23 2:30,CBA
2023-00,10/28/23,Test/Failure to obey Stop Sign Public Intoxication,460 Old Turner St (Randolph,10/28/23 3:38,CBA
018997 2023-00,10/28/23,"Larceny, theft from Building",Hall) 410 Washington St SW (Miles,10/26/23 10:00,Inactive
019031 2023-00,10/28/23,Public Intoxication/Underage Possession of,Hall) 570 Washington St SW (Hoge,10/28/23 21:49,Inactive: Referred to
019039 2023-00,10/28/23,Alcohol Public Intoxication/Underage Possession of,Hall) 570 Washington St SW (Hoge,10/28/23 21:49,Student Conduct CBA
019040 2023-00,10/28/23,Alcohol/Fake ID Public Intoxication/Underage Possession of,Hall) 630 Washington St SW,10/28/23 22:34,Inactive: Referred to
019042 2023-00,10/28/23,Alcohol Public Intoxication/Underage Possession of,(Pritchard Hall) 170 Drillfield Dr (Price Hall),10/28/23 23:23,Student Conduct Inactive: Referred to
019043 2023-00,10/28/23,Alcohol Public Intoxication/Underage Possession of,630 Washington St SW,10/28/23 23:38,Student Conduct Inactive: Referred to
