Case Number	Date/Time Reported	Date/Time Occurred	Location	Incident Type	Disposition
P2024-03330	12/28/24 19:01	12/9/24 18:10	Morrison Tower	Theft	Closed
P2024-03328	12/28/24 14:44	9/1/24 1:00	Harding Hospital	Sexual Imposition	Closed
P2024-03329	12/28/24 14:04	12/28/24 14:04	Woodruff / High St.	Obstructing Official Business	Closed
P2024-03326	12/28/24 13:18	12/28/24 12:10	Harding Hospital	Public Indecency	CSA Victim Declined to Make Report
P2024-03324	12/28/24 1:50	12/28/24 1:50	High St at E. 14th Ave	Criminal Trespass	Closed
P2024-03323	12/27/24 20:30	12/27/24 20:30	Emergency Department - OSU Main	Carrying Concealed Weapons	Open - Pending Investigation
P2024-03321	12/27/24 16:04	12/27/24 16:04	OSU Main Emergency Dept.	Illegal Use or Possession of Drug Paraphernalia	Closed
CSA2024-03334	12/26/24 23:10	12/25/24 16:00	Medical Center - University Hospital East Tower	Theft	CSA Victim Declined to Make Report
P2024-03320	12/26/24 22:28	12/26/24 19:30	OSU East- Tower	Misuse of Credit Card	Closed
P2024-03317	12/26/24 12:59	12/23/24 12:59	DOAN HALL	Theft	Closed
CSA2024-03332	12/26/24 10:47	12/26/24 10:47	Medical Center - Rhodes Hall 	Theft	CSA Victim Declined to Make Report
P2024-03314	12/26/24 8:42	12/20/24 8:42	12th Ave Garage	Criminal Damaging/Endangering	Closed
P2024-03313	12/26/24 7:38	12/26/24 3:00	East Hospital Flag Pole Lot	Criminal Damaging/Endangering	Open - Pending Investigation
P2024-03312	12/25/24 22:17	12/25/24 22:17	Emergency Department - OSU Main	Disorderly Conduct	Closed
P2024-03311	12/24/24 15:20	12/24/24 6:00	Central Sterile Supply	Theft	Closed
P2024-03310	12/24/24 11:25	12/24/24 11:25	Blankenship Hall	Misuse of 9-1-1 System	Closed
P2024-03309	12/23/24 17:22	12/23/24 17:22	OSU Main Hospital 	Public Indecency	Closed
P2024-03307	12/23/24 15:53	12/23/24 15:53	Highland St.	Theft	Closed
P2024-03306	12/23/24 12:47	7/19/24 12:00	Rhodes Hall	Theft	Closed
P2024-03305	12/23/24 3:57	12/21/24 19:30	Ohio Stadium	Assault	Closed
P2024-03303	12/22/24 12:19	12/22/24 11:50	Panera Bread (Lane & Cohen)	Misuse of Credit Card	Closed
P2024-03302	12/22/24 10:40	12/21/24 20:10	Ohio Stadium 	Disorderly Conduct	Closed
P2024-03301	12/22/24 10:18	12/22/24 2:00	Dulles Hall	Telecommunications Harassment	Closed
P2024-03299	12/22/24 6:43	12/21/24 23:00	Ohio Stadium	Disorderly Conduct	Closed
P2024-03298	12/22/24 4:53	12/22/24 4:53	Dodd Dr. and W 10th Ave	Driving Under OVI Suspension	Open - Arrest
P2024-03297	12/22/24 1:52	12/22/24 1:06	Davis Heart and Lung Research Institute	Criminal Damaging/Endangering	Open - Arrest
P2024-03295	12/22/24 0:03	12/22/24 0:03	W College Rd/W 19th Ave	Disorderly Conduct	Closed
P2024-03294	12/21/24 23:45	12/21/24 23:45	Woody Hayes Dr/Fyffe Rd	Disorderly Conduct	Open - Arrest
P2024-03292	12/21/24 22:45	12/21/24 22:45	Ohio Stadium	Criminal Trespass	Open - Arrest
P2024-03291	12/21/24 22:08	12/21/24 21:50	Ohio Stadium	Theft	Closed
P2024-03290	12/21/24 22:07	12/21/24 22:07	Ohio Stadium	Carrying Concealed Weapons	Open - Pending Investigation
P2024-03289	12/21/24 20:50	12/21/24 20:50	Ohio Stadium	Resisting Arrest	Closed - Arrest
P2024-03288	12/21/24 20:09	12/21/24 20:09	French Field House South Lot	Disorderly Conduct	Closed
P2024-03287	12/21/24 20:08	12/21/24 20:08	Ohio Stadium	Criminal Trespass	Open - Arrest
P2024-03284	12/19/24 20:59	12/19/24 20:59	Emergency Department - OSU East	Criminal Trespass	Open - Arrest
P2024-03283	12/19/24 19:37	12/19/24 19:37	Fisher Commons	Menacing by Stalking	Open - Arrest
P2024-03280	12/19/24 14:22	11/30/24 14:00	Ohio Stadium	Theft	Closed
P2024-03278	12/19/24 11:43	11/1/24 0:01	Wexner Medical Center	Theft	Open - Pending Investigation
P2024-03276	12/19/24 1:58	12/18/24 16:56	East Hospital - Physicians Lot	Theft	Closed
P2024-03274	12/18/24 10:11	12/18/24 6:15	Schottenstein Center	Theft	Open - Arrest
P2024-03271	12/18/24 2:33	12/18/24 2:33	Emergency Department - OSU Main	Assault	Open - Arrest
P2024-03261	12/17/24 12:35	12/17/24 9:37	West 11th. Avenue	Criminal Damaging/Endangering	Closed
P2024-03260	12/17/24 11:42	12/17/24 11:35	Emergency Department - OSU Main	Possession of Drugs	Closed
P2024-03259	12/16/24 18:12	12/16/24 18:12	Emergency Department - OSU Main	Illegal Use or Possession of Drug Paraphernalia	Closed
P2024-03258	12/16/24 16:07	12/16/24 16:07	Ohio Union North Garage	Criminal Trespass	Open - Arrest
P2024-03257	12/16/24 14:39	12/16/24 14:30	Harding Hospital	Disorderly Conduct	Closed
P2024-03256	12/16/24 13:23	12/16/24 13:23	Rhodes Hall	Warrant Arrest	Open - Arrest
P2024-03255	12/16/24 10:22	12/13/24 16:30	James Outpatient Care at Carmenton	Theft	Unfounded
P2024-03252	12/15/24 16:48	12/15/24 14:00	Schottenstein Center	Theft	Closed
P2024-03251	12/15/24 16:28	12/15/24 16:28	OSU East Tower	CSA Report: Dating Violence	CSA Victim Declined to Make Report
P2024-03250	12/15/24 12:00	12/15/24 12:00	Emergency Department - OSU East	Criminal Trespass	Open - Arrest
P2024-03247	12/15/24 4:21	12/15/24 4:21	Emergency Department	Assault	Closed
P2024-03245	12/14/24 20:03	12/14/24 19:00	Harding Hospital	Disorderly Conduct	Closed
P2024-03244	12/14/24 11:44	12/12/24 9:01	Wexner Medical Center Garage	Theft	Closed
P2024-03242	12/14/24 8:26	12/14/24 8:00	Harding Hospital	Disorderly Conduct	Open - Arrest
P2024-03241	12/14/24 2:23	12/14/24 2:23	Ohio Union North Garage	Public urination/defecation	Open - Arrest
P2024-03240	12/14/24 1:59	12/14/24 1:59	Ohio Union North Garage	Driving While Under the Influence of Alcohol/Drugs	Open - Arrest
P2024-03239	12/14/24 1:22	12/14/24 1:15	OSU East Emergency Department	Criminal Trespass	Closed
CSA2024-03268	12/13/24 20:57	12/13/24 20:50	Haverfield House 	Theft	Closed
CSA2024-03267	12/13/24 18:05	12/13/24 17:00	Archer House 	Receiving Stolen Property	Closed
CSA2024-03266	12/13/24 14:07	12/13/24 13:00	Smith-Steeb Hall 	Receiving Stolen Property	Closed
P2024-03236	12/13/24 12:49	12/13/24 9:14	OSU Carepoint East	Theft	Closed
CSA2024-03265	12/13/24 11:38	12/13/24 11:30	Lincoln Tower 	Receiving Stolen Property	Closed
P2024-03237	12/13/24 10:50	12/13/24 10:50	Metro High School	Aggravated Menacing	Closed
P2024-03231	12/12/24 18:05	12/12/24 18:05	Harding Hospital	Possession of Drugs	Closed
P2024-03230	12/12/24 12:03	12/12/24 11:30	Don Scott Airport	Telecommunications Harassment	Closed
P2024-03227	12/12/24 0:55	12/12/24 1:09	Arps Hall	Criminal Trespass	Closed
P2024-03226	12/11/24 23:10	12/11/24 21:20	Emergency Department-OSU Main	Criminal Damaging/Endangering	Open - Arrest
P2024-03224	12/11/24 19:17	12/11/24 19:17	Park-Stradley Hall 	Criminal Trespass	Closed
P2024-03223	12/11/24 16:49	12/11/24 16:49	Ohio Union North Parking Garage	Criminal Trespass	Open - Arrest
P2024-03222	12/11/24 16:12	12/11/24 16:12	Doan Hall	Aggravated Menacing	Open - Arrest
P2024-03220	12/11/24 11:37	12/11/24 11:30	Emergency Department - OSU Main	Illegal Use or Possession of Drug Paraphernalia	Closed
P2024-03219	12/11/24 11:09	12/11/24 11:09	BistrOH	Criminal Trespass	Closed
P2024-03218	12/11/24 8:38	12/11/24 8:20	Harding Hospital	Assault	Open - Pending Investigation
P2024-03216	12/11/24 4:56	12/11/24 4:55	Ohio Union North Garage	Criminal Trespass	Closed
P2024-03215	12/10/24 21:29	12/10/24 17:30	Harding Hospital	Aggravated Menacing	CSA Victim Declined to Make Report
P2024-03214	12/10/24 20:33	12/10/24 20:00	Emergency Department - OSU East	Telecommunications Harassment	Closed
P2024-03213	12/10/24 13:32	12/9/24 21:53	Marketplace on Neil	Theft	Closed
P2024-03211	12/10/24 1:24	12/10/24 1:15	Emergency Department - OSU East	Assault	CSA Victim Declined to Make Report
P2024-03210	12/9/24 20:24	12/9/24 20:24	Ohio Union	Disorderly Conduct	Closed
P2024-03208	12/9/24 15:11	12/9/24 15:11	Medical Center Dr	Driving While Under the Influence of Alcohol/Drugs	Open - Arrest
P2024-03206	12/9/24 10:16	12/9/24 10:16	Wexner Center for the Arts	Impersonating a Peace Officer or Private Policeman	Closed
P2024-03204	12/9/24 10:12	12/9/24 10:12	OSU East	Illegal Use or Possession of Drug Paraphernalia	Closed
CSA2024-03205	12/9/24 9:56	12/8/24 0:00	PHI KAPPA PSI Fraternity	Theft	Closed
P2024-03202	12/9/24 5:49	11/28/24 11:43	Rhodes Hall	Theft	Closed
P2024-03201	12/8/24 23:23	12/8/24 23:19	Ohio Union (0161)	Criminal Damaging/Endangering	Open - Arrest
P2024-03198	12/8/24 13:29	12/7/24 3:38	Morrill Tower	Possession of Drugs	Closed
P2024-03197	12/8/24 12:27	12/7/24 9:40	Kennedy Commons	Criminal Trespass	Closed
P2024-03196	12/8/24 11:16	12/7/24 21:30	East Hospital	Gross Sexual Imposition	Closed
P2024-03195	12/8/24 6:18	12/8/24 6:18	Emergency Department - OSU East	Assault	Open - Arrest
P2024-03194	12/8/24 3:53	12/8/24 3:53	Nosker House	Prohibitions	Closed
EXT2024-03200	12/8/24 2:22	12/8/24 2:22	Chittenden Avenue	Felonious Assault	Closed
P2024-03193	12/8/24 1:50	12/8/24 1:50	Pomerene House	Disorderly Conduct	Closed
P2024-03192	12/8/24 1:42	12/8/24 1:42	Ohio South Union Garage	Disorderly Conduct	Open - Arrest
P2024-03191	12/8/24 0:18	12/8/24 0:18	Ohio Union South Garage	Disorderly Conduct	Closed
P2024-03190	12/7/24 22:19	12/7/24 22:19	Emergency Department - OSU East	Disorderly Conduct	Closed
P2024-03189	12/7/24 19:16	12/7/24 19:16	James Cancer Hospital	Criminal Trespass	Closed
P2024-03187	12/7/24 11:19	12/7/24 11:19	Schottenstein Center	Disorderly Conduct	Closed
P2024-03186	12/7/24 6:44	12/7/24 6:44	Lincoln Tower	Disorderly Conduct	Closed
P2024-03185	12/7/24 3:11	12/7/24 2:22	Lincoln Tower	Theft	Closed
P2024-03184	12/7/24 2:59	12/7/24 2:59	Park-Stradkey Hall	Offenses Involving Underage Persons	Closed
P2024-03181	12/6/24 23:41	12/6/24 19:50	Taylor Tower	Theft	Open - Arrest
P2024-03180	12/6/24 20:22	12/4/24 19:00	James Cancer Hospital	Sexual Battery  victim unaware	Open - Pending Investigation
P2024-03178	12/6/24 17:54	12/6/24 17:54	Emergency Department - OSU Main	Criminal Trespass	Open - Arrest
P2024-03179	12/6/24 17:37	12/6/24 17:37	Rhodes Hall 	Disorderly Conduct	Closed
P2024-03177	12/6/24 16:38	12/6/24 16:38	Carmack Lot 6	Resisting Arrest	Open - Arrest
CSA2024-03228	12/5/24 23:54	11/24/24 15:30	Residence on Tenth	Criminal Mischief	Closed
P2024-03175	12/5/24 23:02	12/5/24 10:00	Ohio State University 	Telecommunications Harassment	Closed
P2024-03172	12/5/24 19:08	12/5/24 19:08	Rhodes Hall	Assault	Closed
P2024-03168	12/5/24 12:18	12/5/24 5:00	James Outpatient Care Parking Garage	Theft	Closed
P2024-03169	12/5/24 12:03	11/2/24 0:01	Houston House	Rape	CSA Victim Declined to Make Report
P2024-03163	12/4/24 21:37	12/4/24 19:15	Panera Bread North Parking Lot	Theft	Closed
P2024-03162	12/4/24 19:28	11/12/24 0:00	Iuka Ave. 	CSA Report: Aggravated Assault	Open - Pending Investigation
P2024-03161	12/4/24 17:26	12/4/24 17:26	Wexner Medical Center Garage	Theft	Unfounded
P2024-03160	12/4/24 17:07	12/4/24 15:33	Smith-Steeb Hall (0852)	Theft	Closed
P2024-03159	12/4/24 16:02	12/4/24 16:02	Oxley's By the Numbers	Theft	Closed
P2024-03157	12/4/24 12:11	12/4/24 12:11	Houston Hall	Telecommunications Harassment	Open - Pending Investigation
P2024-03155	12/4/24 9:20	12/3/24 7:00	Harding Hospital	Assault	CSA Victim Declined to Make Report
P2024-03154	12/4/24 1:59	12/4/24 1:59	Emergency Department OSU East	Assault	Closed
P2024-03153	12/3/24 23:18	12/3/24 23:07	Emergency Department - OSU Main	Disorderly Conduct	Open - Arrest
P2024-03152	12/3/24 21:09	12/2/24 23:15	RPAC	Theft	Closed
P2024-03151	12/3/24 17:53	12/3/24 17:15	Thompson Library	Theft	Unfounded
P2024-03149	12/3/24 17:22	12/3/24 17:22	Emergency Department - OSU Main	Possession of Drugs	Closed
P2024-03147	12/3/24 16:33	11/28/24 19:43	Smith-Steeb bike rack (north courtyard)	Theft	Closed
CSA2024-03217	12/3/24 16:24	8/20/24 0:00	UNKNOWN CAMPUS	CSA Report: Rape	Closed
CSA2024-03156	12/3/24 16:15	12/3/24 16:00	Morrill Tower 	CSA Report: Fondling	Closed
CSA2024-03158	12/3/24 13:48	11/15/24 4:30	Rhodes Hall 	CSA Report: Rape	Closed
P2024-03145	12/3/24 13:29	12/3/24 13:29	CBEC Bike Racks	Criminal Trespass	Closed
P2024-03144	12/3/24 9:17	11/9/24 10:42	Ohio Stadium	Theft	Closed
CSA2024-03176	12/2/24 23:25	12/2/24 16:00	Morrill Tower	Criminal Mischief	Closed
P2024-03143	12/2/24 23:01	12/2/24 19:30	Morrill Tower bike rack	Theft	Closed
P2024-03142	12/2/24 22:18	12/2/24 22:18	Doan Hall 	Criminal Trespass	Closed
P2024-03141	12/2/24 20:00	11/26/24 16:00	Park-Stradley Hall bike racks 	Theft	Closed
P2024-03140	12/2/24 17:32	12/2/24 17:32	Thompson Library	Criminal Trespass	Open - Arrest
P2024-03139	12/2/24 14:28	12/2/24 14:15	BistrOH Cafe	Theft	Closed
P2024-03138	12/2/24 12:18	11/30/24 12:00	Ohio Stadium 	Disorderly Conduct	CSA Victim Declined to Make Report
P2024-03137	12/2/24 10:50	11/30/24 16:00	Ohio Stadium	Assault	Open - Pending Investigation
P2024-03136	12/2/24 10:00	12/2/24 10:00	Target on High Street	Theft	Closed
P2024-03135	12/1/24 15:37	12/1/24 15:37	Rhodes Hall 	Illegal Use or Possession of Drug Paraphernalia	Closed - Arrest
P2024-03134	12/1/24 2:50	12/1/24 2:50	Bowen House	Offenses Involving Underage Persons	Closed
P2024-03133	12/1/24 2:42	12/1/24 2:42	COLLEGE RD	Driving While Under the Influence of Alcohol/Drugs	Open - Arrest
P2024-03132	12/1/24 1:22	12/1/24 1:22	Ohio Stadium	Criminal Trespass	Open - Arrest
P2024-03131	12/1/24 0:39	12/1/24 0:39	Morrill Tower	Offenses Involving Underage Persons	Closed
P2024-03130	11/30/24 23:09	11/29/24 17:00	Park-Stradley Hall	Telecommunications Harassment	Closed
P2024-03129	11/30/24 18:55	11/30/24 18:55	Smith-Steeb Hall	Disorderly Conduct	Closed
P2024-03128	11/30/24 18:20	11/30/24 18:20	Park-Stradley Hall	Offenses Involving Underage Persons	Closed
P2024-03127	11/30/24 15:56	11/30/24 15:56	Park Stradley-Hall 	Theft	Closed
P2024-03279	11/30/24 15:53	11/30/24 15:45	RPAC Courts	Assault	Closed
P2024-03126	11/30/24 15:34	11/30/24 15:34	Ohio Stadium	Criminal Trespass	Open - Arrest
P2024-03124	11/30/24 12:09	11/30/24 10:40	BistrOH Cafe	Theft	Closed
P2024-03123	11/30/24 2:44	11/30/24 2:44	Emergency Departmentr - OSU East	Possession of Drugs	Closed
P2024-03122	11/30/24 1:10	11/30/24 1:10	OSU east	Drug Paraphernalia	Closed - Arrest
P2024-03121	11/29/24 23:32	11/29/24 22:45	Emergency Department- OSU Main	Public Indecency	Closed
P2024-03120	11/29/24 17:52	11/29/24 17:52	Emergency Department - OSU East	Illegal Use or Possession of Drug Paraphernalia	Closed
P2024-03119	11/29/24 13:27	11/13/24 0:00	Rhodes Hall	Disorderly Conduct	Closed
P2024-03118	11/29/24 10:20	11/29/24 10:20	Emergency Department - OSU Main	Assault	Reported to Other Agency
P2024-03117	11/29/24 10:08	11/29/24 10:08	Harding Hospital	Disorderly Conduct	Closed
P2024-03115	11/29/24 5:15	11/29/24 5:15	Blackwell Inn	Criminal Trespass	Closed
