Incident Type,Location,Date/Time Occurred,Date/Time Occurred to,Date/Time Reported,Dates are:,Disposition
Accident Hit and Run,"West Campus Parking Garage
201 JOHN KIMBROUGH BL
COLLEGE STATION TX 77840",2/6/25 14:00,2/6/25 15:00,2/7/25,Exact,Active
"Clery- Motor Vehicle Theft/ Theft of Property
>=$100<$750 (Electric Scooter)","Scoates Hall Bike Racks
333 Spence St, College Station,
TX 77843",2/7/25 13:28,2/7/25 13:28,2/7/25,Exact,Inactive
Sexual Assault,"Kyle Field (161 Wellborn Rd,
College Station)",6/1/90 0:00,8/30/90 23:59,2/7/25,Approximate,Active
Accident Hit and Run,"Polo Road Garage
300 POLO RD
COLLEGE STATION TX",2/6/25 11:30,2/7/25 17:10,2/7/25,Approximate,Active
Duty on Striking Unattended Vehicle,"Parking Area 47
188 BIZZELL ST
COLLEGE STATION TX 77840",2/6/25 7:30,2/7/25 17:20,2/7/25,Approximate,Inactive
Accident Hit and Run,"Parking Area 114
270 ADRIANCE LAB RD
COLLEGE STATION TX 77845",2/7/25 7:20,2/7/25 14:00,2/7/25,Approximate,Active
Theft from a Building,"Krueger Residence Hall 3rd
Floor Lounge (722 Lubbock St,
College Station)",2/5/25 19:00,2/5/25 19:00,2/7/25,Approximate,Referred
Criminal Trespass,"The Backyard (303 University
Dr, College Station, TX 77840)",2/2/25 3:00,2/2/25 3:00,2/7/25,Approximate,Referred by IR
Reckless Damage or Destruction,"Ross Street at Parking Area 10B
College Station, TX",2/6/25 13:17,2/6/25 13:17,2/6/25,Approximate,Exceptionally Cleared
Reckless Damage or Destruction,"Ross Street at Parking Area 10 A
- Transportation Services Gate
Arm",2/6/25 15:35,2/6/25 15:35,2/6/25,Approximate,Exceptionally Cleared
Reckless Damage or Destruction,"Parking Area 73 -
Transportation Services Gate
Arm",2/6/25 15:38,2/6/25 15:38,2/6/25,Approximate,Exceptionally Cleared
Reckless Damage or Destruction,"Houston Street @ Ross Street -
Transportation Services Gate
Arm
College Station, TX",2/6/25 16:21,2/6/25 16:21,2/6/25,Approximate,Exceptionally Cleared
Theft of Property $100<$750 (From Building),"Central Campus Parking Garage
7th Level (450 Spence St,
College Station)",2/6/25 13:35,2/6/25 13:35,2/6/25,Exact,Exceptionally Cleared
Theft Under $100 (From Building),"Aston Residence Hall 1st Floor
Laundry Room (655 Mosher Ln,
College Station)",1/31/25 13:35,1/31/25 14:40,2/6/25,Approximate,Inactive
Harassment (Other Than by Threats),"Harrington Education Center
Classroom Building
(544 Ross St, College Station, TX
77843)",1/19/25 21:29,1/19/25 21:29,2/6/25,Exact,Active
Assault Unwanted Contact,On Campus,1/1/24 0:00,12/31/24 23:59,2/6/25,Approximate,Referred by IR
Hazing,"Wesley Foundation at Texas
A&M - Methodist Student
Center (750 Agronomy Rd,
College Station ( 201 Tauber St,
College Station, TX 77840)",2/1/25 0:00,2/1/25 23:59,2/6/25,Approximate,Referred by IR
Reckless Damage or Destruction,"Ross Street at Bizzell Street -
Transportation Services Gate
Arm
College Station, TX",2/4/25 12:04,2/4/25 12:04,2/5/25,Approximate,Exceptionally Cleared
Accident Hit and Run,"Near Zachry Engineering
Education Complex (125 Spence
St, College Station)",1/30/25 17:00,1/30/25 17:00,2/5/25,Approximate,Active
Accident Hit and Run,Parking Area 36 T,2/5/25 12:25,2/5/25 13:55,2/5/25,Approximate,Active
"Clery- Motor Vehicle Theft/ Theft of Property
>=$100<$750 (Electric Scooter)","Zachry South Bike Racks (125
Spence St, College Station)",2/5/25 16:59,2/5/25 16:59,2/5/25,Exact,Inactive
Clery Burglary - Theft of Service <$100,"Student Recreation Center (187
Corrington Dr, College Station)",2/5/25 19:47,2/5/25 19:47,2/5/25,Approximate,Exceptionally Cleared
Minor in Possession of Tobacco Product,"Hensel Park Parking Lot
(502 COLLEGE AV
COLLEGE STATION TX 77840)",2/5/25 21:19,2/5/25 21:19,2/5/25,Approximate,"Cleared by Arrest
(Citation)"
"Clery - Stalking/ Harassment (Other than by
threat)",Aggie One Stop,1/1/22 0:00,12/31/22 23:59,2/5/25,Approximate,Administratively Closed
Accident Hit and Run,Parking Area 22,2/4/25 10:50,2/4/25 12:30,2/4/25,Approximate,Active
"Theft of Property >=$2,500<$30k (All Other)","Galleria Village Building
(1716 Briarcrest Dr., Bryan, TX
77802)",2/1/25 13:00,2/3/25 10:00,2/4/25,Approximate,Active
Theft of Property >=$100<$750 (From Building),"Agriculture and Life Sciences
Building (600 John Kimbrough
Bl, College Station)",1/30/25 14:00,2/1/25 20:00,2/4/25,Approximate,Active
Accident Hit and Run,Parking Area 100 C,2/4/25 11:00,2/4/25 17:40,2/4/25,Approximate,Active
Unlawful Restraint,"Whiteley Hall-Dorm 9 (735
Military Mall, College Station)",1/20/25 23:40,1/21/25 1:00,2/3/25,Approximate,Active
Reckless Damage or Destruction,"Ross Street at Spence Street -
Transportation Services Gate
Arm",2/3/25 11:13,2/3/25 11:13,2/3/25,Approximate,Active
Unlawful Possession of Firearm By Felon,New Main Drive @ Bizzell Street,2/3/25 7:58,2/3/25 7:58,2/3/25,Exact,Exceptionally Cleared
"Clery- Motor Vehicle Theft/ Theft of Property
>=$100<$750 (Electric Scooter/Bicycle)","Zachry Engineering Education
Complex East Side Bike Racks
(125 Spence St, College Station)",2/3/25 12:38,2/3/25 13:30,2/3/25,Approximate,Inactive
"Clery- Motor Vehicle Theft/ Theft of Property
>=$100<$750 (Electric Scooter/Bicycle)","Krueger Residence Hall - Bike
Racks (722 Lubbock St, College
Station)",1/31/25 12:00,2/3/25 16:30,2/3/25,Approximate,Inactive
Theft of Property $100<$750,"Aston Residence Hall (655
Mosher Ln, College Station)",1/1/25 13:40,1/1/25 13:40,2/3/25,Approximate,Active
Harassment,"Krueger Residence Hall (722
Lubbock St, College Station)",2/3/25,2/3/25,2/3/25,Not Provided,Referred to Title IX
Public Intoxication,"Raymond Stotzer Pkwy at
Adriance Lab Road (Median)",2/2/25 4:39,2/2/25 4:39,2/2/25,Exact,Cleared by Arrest
Accident Hit and Run,Parking Area 30,2/2/25 0:30,2/2/25 2:30,2/2/25,Approximate,Active
Theft Under $100 (All Other Theft),"Memorial Student Center (275
Joe Routt Bl, College Station)",2/2/25 14:00,2/2/25 14:00,2/2/25,Approximate,Inactive
Unauthorized Use of a Motor Vehicle,"Golf Course Clubhouse (577
Bizzell St, College Station)",2/2/25 20:51,2/2/25 21:01,2/2/25,Exact,Inactive
"Criminal Mischief <$100 or Substantial
Inconvenience","Harrington Hall-Dorm 11 (767
Military Mall, College Station)",1/29/25 8:00,2/1/25 15:00,2/2/25,Approximate,Exceptionally Cleared
Harassment (by Threats),"Corps Dorms (Specific Dorm Not
Provided)",2/2/25,2/2/25,2/2/25,Not Provided,Exceptionally Cleared
Public Intoxication,Parking Area 38,2/1/25 2:28,2/1/25 2:28,2/1/25,Approximate,Cleared by Arrest
Harassment,"Lechner Residence Hall (232
Houston St, College Station)",1/31/25 22:15,1/31/25 22:15,2/1/25,Approximate,Administratively Closed
Reckless Damage or Destruction,"Lewis Street at Spence Street -
Transportation Services Gate
Arm",1/31/25 9:03,1/31/25 9:03,1/31/25,Approximate,Active
Reckless Damage or Destruction,"Ross Street at Spence Street -
Transportation Services Gate
Arm",1/31/25 12:48,1/31/25 12:48,1/31/25,Approximate,Active
Theft Under $100 (All Other Theft),"Mechanical Engineering Office
Building (202 Spence St, College
Station)",1/31/25 0:30,1/31/25 0:30,1/31/25,Approximate,Active
Burglary of Motor Vehicle,Parking Area 48,1/31/25 1:30,1/31/25 1:30,1/31/25,Exact,Active
Theft of Motor Vehicle,"Parking Area 100 G
(730 OLSEN BL
COLLEGE STATION TX 77843)",1/1/25 9:00,1/10/25 9:00,1/31/25,Approximate,Unfounded
Theft of Property >=$100<$750 (From Building),"Coco Shrimp (Family Restroom)
(1177 University Dr Suite 800,
College Station, TX 77840)",1/10/25 12:00,1/10/25 14:00,1/31/25,Approximate,Active
Theft of Property =$100 <$750 (Bicycle),"Dunn Residence Hall - Bike
Racks (636 Lubbock St, College
Station)",1/27/25 20:00,1/28/25 11:40,1/31/25,Approximate,Active
Theft Under $100 (Of Bicycle),"Mechanical Engineering Office
Building (202 Spence St, College
Station)",1/31/25 15:00,1/31/25 18:00,1/31/25,Approximate,Inactive
Sexual Harassment,"Moxy Hotel (1011 K St NW,
Washington, DC 20001)",1/29/25 18:00,1/29/25 23:59,1/31/25,Approximate,Administratively Closed
Criminal Mischief,"Krueger Residence Hall (722
Lubbock St, College Station)",1/30/25 21:45,1/30/25 21:45,1/30/25,Approximate,Administratively Closed
Criminal Mischief,"Krueger Residence Hall (722
Lubbock St, College Station)",1/30/25 21:45,1/30/25 21:45,1/30/25,Approximate,Administratively Closed
Places Weapons Prohibited,"Hart Residence Hall (460
Throckmorton St, College
Station)",1/23/25 0:00,1/23/25 23:59,1/30/25,Approximate,Referred by SCO
Reckless Damage or Destruction,"University Center Parking
Garage (660 Throckmorton St,
College Station)",1/30/25 15:49,1/30/25 15:49,1/30/25,Approximate,Active
Accident Hit and Run,"Parking Area 72 B
(202 OLSEN BL
COLLEGE STATION TX 77843)",1/30/25 13:38,1/30/25 13:38,1/30/25,Approximate,Cleared by Arrest
Theft of Property >$100<$750 (All Other),"Trigon Bus Stop (Bench)
(Throckmorton St. at Joe Routt
Blvd)",1/28/25 20:40,1/28/25 20:45,1/30/25,Approximate,Active
Accident Hit and Run,"Olsen Blvd at John Kimbrough
Blvd",1/30/25 16:15,1/30/25 16:15,1/30/25,Approximate,Active
Accident Hit and Run,"Parking Area 111
(2153 RESEARCH PW
COLLEGE STATION TX 77843)",1/30/25 9:00,1/30/25 11:24,1/30/25,Approximate,Inactive
"Clery- Motor Vehicle Theft/ Theft of Property
>=$100<$750 (Electric Scooter)","Wehner Building Bike Racks
(North Side Exterior)
210 OLSEN BL
COLLEGE STATION TX 77843",1/30/25 16:41,1/30/25 16:41,1/30/25,Exact,Inactive
Reckless Driving,"Williams Alumni Center (505
George Bush Dr, College
Station)",1/30/25 18:05,1/30/25 18:05,1/30/25,Exact,Inactive
"Unlawful Disclosure or Promotion of Intimate
Visual Material","Haas Hall
(212 HOUSTON ST
COLLEGE STATION TX 77840)",1/25/25 0:00,1/30/25 18:59,1/30/25,Approximate,Exceptionally Cleared
Accident Hit and Run,Park West Parking Garage,1/30/25 2:00,1/30/25 19:30,1/30/25,Approximate,Active
Assault (Offensive Contact),"Rudder Theater
(401 JOE ROUTT BL
COLLEGE STATION TX 77840)",1/30/25 20:34,1/30/25 20:34,1/30/25,Approximate,Active
"Criminal Mischief <$100 or Substantial
Inconvenience","Harrington Hall-Dorm 11 (767
Military Mall, College Station)",1/27/25 21:30,1/27/25 21:30,1/30/25,Approximate,Referred
Assault / Domestic Violence,"Good Bull Ice House (205
University Dr, College Station,
TX 77840)",1/31/23 0:00,1/31/23 23:59,1/30/25,Approximate,Administratively Closed
Criminal Mischief,"Bolton Hall (456 Ross St, College
Station)",1/28/25 8:00,1/28/25 8:00,1/30/25,Approximate,"Referred by Tell
Somebody"
Criminal Mischief,"Krueger Residence Hall (722
Lubbock St, College Station)",1/30/25 21:45,1/30/25 21:45,1/30/25,Approximate,"Referred by Tell
Somebody"
Reckless Damage or Destruction,"Ross Street at Bizzell Street -
Transportation Services Gate
Arm",1/29/25 16:17,1/29/25 16:17,1/29/25,Approximate,Exceptionally Cleared
Clery Stalking,"Charlotte Sharp Children's
Center",1/29/25 6:42,1/29/25 6:42,1/29/25,Exact,Administratively Closed
"Criminal Mischief <$100 or Substantial
Inconvenience",West Campus Parking Garage,1/29/25 7:32,1/29/25 7:32,1/29/25,Exact,Inactive
Theft of Property >=$30k<$150k (All other),"GERG Main Office Building (833
Graham Rd, College Station)",11/1/24 0:00,11/30/24 0:00,1/29/25,Approximate,Active
Theft of Property $100<$750 (All Other Theft),"Student Rec Center - Women's
Locker Room
(797 OLSEN BL
COLLEGE STATION TX 77843)",1/29/25 12:15,1/29/25 13:00,1/29/25,Approximate,Inactive
Theft >=$100<$750 (All Other),"Juanita's Tex Mex Cantina
(180 CENTURY CT Ste 140
COLLEGE STATION TX",12/24/24 0:00,1/29/25 15:15,1/29/25,Approximate,Active
Driving While License Invalid,"Sunoco Gas Station Parking Lot
(609 UNIVERSITY DR/NAGLE ST
COLLEGE STATION TX 77843",1/29/25 23:11,1/29/25 23:11,1/29/25,Exact,Cleared by Arrest
Clery - Aggravated Assault,"FIJI Barn
(4820 Koppe Bridge Rd, College
Station, TX 77845)",1/22/25 0:00,1/22/25 23:59,1/29/25,Approximate,Active
Reckless Damage or Destruction,"Ross Street at Spence Street -
Transportation Services Gate
Arm",1/28/25 14:11,1/28/25 14:11,1/28/25,Approximate,Exceptionally Cleared
Theft Under $100 (From Building),"Student Recreation Center (187
Corrington Dr, College Station)",1/28/25 12:10,1/28/25 13:20,1/28/25,Approximate,Inactive
Theft Under $100 (All Other Theft),"Sbisa Dining Hall (233 Houston
St, College Station)",4/21/24 19:00,4/21/24 19:30,1/28/25,Approximate,Inactive
Accident Hit and Run,Parking Area 100 E,1/28/25 9:20,1/28/25 15:52,1/28/25,Approximate,Active
Criminal Trespass,"Texas Water Resource Institute
(1001 HOLLEMAN DR E
COLLEGE STATION TX)",1/28/25 15:47,1/28/25 15:47,1/28/25,Approximate,Inactive
Accident Hit and Run,Parking Area 50,1/28/25 17:38,1/28/25 17:38,1/28/25,Exact,Inactive
Theft Under $100 (From Building),"Brookshire Brothers Grocery
Store",1/28/25 19:55,1/28/25 19:55,1/28/25,Approximate,Cleared by Arrest
Reckless Damage or Destruction,Moses Hall,1/25/25 15:20,1/25/25 15:20,1/28/25,Approximate,Referred
Sexual Assault,"Baumhaus/First Down Rooftop
(335 University Dr, College
Station, TX 77840)",1/16/25 23:00,1/16/25 23:00,1/28/25,Approximate,Administratively Closed
Reckless Damage or Destruction,"Ross Street at Bizzell Street
Transportation Services Gate
Arm",1/27/25 11:14,1/27/25 11:14,1/27/25,Approximate,Exceptionally Cleared
Accident Hit and Run,Parking Area 40 B,1/27/25 13:02,1/27/25 13:02,1/27/25,Exact,Active
Theft >=$100<$750 (All Other),"North Spence Street near
Haynes Engineering Building",1/27/25 15:20,1/27/25 15:20,1/27/25,Exact,Cleared by Arrest
Accident Hit and Run,Parking Area 74,1/27/25 15:11,1/27/25 15:11,1/27/25,Exact,Active
Harassment (Other Than by Threats),On Campus,1/23/25 0:00,1/23/25 23:59,1/27/25,Approximate,Administratively Closed
Disorderly Conduct (Fighting),Parking Area 30C,1/26/25 12:44,1/26/25 12:44,1/26/25,Approximate,Exceptionally Cleared
Clery- Motor Vehicle Theft,Parking Area 40,1/26/25 7:48,1/26/25 7:48,1/26/25,Approximate,Exceptionally Cleared
Driving while Intoxicated,"Wellborn Road (North of
George Bush Drive)",1/26/25 2:41,1/26/25 2:41,1/26/25,Exact,Cleared by Arrest
Criminal Mischief =$100 <$750,Parking Area 30 C,1/26/25 0:30,1/26/25 14:00,1/26/25,Approximate,Inactive
"Clery- Motor Vehicle Theft/ Theft of Property
>=$100<$750 (Electric Scooter)","Memorial Student Center (275
Joe Routt Bl, College Station)",1/25/25 8:10,1/26/25 18:00,1/26/25,Approximate,Inactive
Criminal Trespass of a Habitation,"Harrington Hall-Dorm 11 (767
Military Mall, College Station)",1/24/25 14:00,1/26/25 19:00,1/26/25,Approximate,Active
Criminal Mischief =$100 <$750,Parking Area 30C,1/26/25 22:50,1/26/25 22:50,1/26/25,Exact,Inactive
Reckless Damage or Destruction,"Southwest Corner of Hensel
Drive at Floriculture Road",1/25/25 0:00,1/25/25 10:25,1/25/25,Approximate,Exceptionally Cleared
Disorderly Conduct (Exposure),"Zachry Engineering Education
Complex - West Side Exterior
(125 Spence St, College Station)",1/25/25 14:44,1/25/25 14:44,1/25/25,Approximate,"Cleared by Arrest
(Citation)"
Driving While Intoxicated,"Harvey Mitchell Parkway at
Raymond Stotzer",1/25/25 1:20,1/25/25 1:20,1/25/25,Exact,Cleared by Arrest
Assault Causes Bodily Injury,Parking Area 30 C,1/25/25 2:08,1/25/25 2:08,1/25/25,Exact,Active
Driving While Intoxicated,"Parking Lot North of Taco Bell
on University Drive",1/25/25 2:54,1/25/25 2:54,1/25/25,Exact,Cleared by Arrest
Accident Hit and Run,Century Square Parking Garage,1/25/25 10:30,1/25/25 18:00,1/25/25,Exact,Active
"Clery - Stalking/ Harassment (Other than by
threat)","Aggie One Stop (750 Agronomy
Rd, College Station)",1/1/25 0:00,1/25/25 23:59,1/25/25,Approximate,"Referred by Tell
Somebody"
Sexual Assault,"100 Park (170 Century Square
Dr, College Station)",1/19/25 4:00,1/19/25 5:00,1/24/25,Approximate,Referred
Public Intoxication,"Albritton Bell Tower (200 Old
Main Dr, College Station)",1/24/25 1:21,1/24/25 1:21,1/24/25,Approximate,Active
Driving while Intoxicated BAC >=0.15,"North Bizzell Street at Polo
Road",1/24/25 2:28,1/24/25 2:28,1/24/25,Exact,Cleared by Arrest
Accident Hit and Run,University Drive at Boyett Street,1/24/25 17:12,1/24/25 17:12,1/24/25,Exact,Active
Allegation of Disorderly Conduct (Exposure),"Research Park Maintenance
Building (1810 Research Pw,
College Station)",1/23/25 8:14,1/23/25 8:14,1/23/25,Exact,Administratively Closed
"Theft of Property =$750 <$2,500 (Bicycle)","Gene Stallings Blvd Garage (500
Gene Stallings Bl, College
Station)",1/23/25 10:28,1/23/25 10:28,1/23/25,Exact,Inactive
Harassment (Other than by threat),"Various Locations On and Off
Campus, including Student Rec
Center",1/23/25 14:50,1/23/25 14:50,1/23/25,Exact,Warrant Being Sought
Accident Hit and Run,PA 100 C,1/15/25 7:30,1/15/25 12:00,1/23/25,Exact,Inactive
Damaged Property,Parking Area 74,1/22/25 8:15,1/22/25 12:40,1/22/25,Approximate,Administratively Closed
Harassment (Other than by threat) / Clery Stalking,"Jack E. Brown Chemical
Engineering Building (100
Spence St, College Station)",1/15/25 8:00,1/24/25 23:59,1/22/25,Approximate,Active
Resist Arrest Search or Transport,"Barbara Bush Drive at George
Bush Drive",1/22/25 15:26,1/22/25 15:26,1/22/25,Exact,Cleared by Arrest
"Clery- Motor Vehicle Theft/ Theft of Property
>=$100<$750 (Electric Scooter/Bicycle)","Veterinary Medicine Building 1
(660 Raymond Stotzer Pw,
College Station)",1/22/25 9:00,1/22/25 15:00,1/22/25,Exact,Inactive
Criminal Trespass,"Leonard Hall-Dorm 7 (695
Military Mall, College Station)",1/22/25,1/22/25,1/22/25,Not Provided,Referred by IR
Assault (Offensive Contact),"Northgate Taco Truck
(unspecified location)",1/17/25 1:30,1/17/25 1:30,1/22/25,Approximate,Administratively Closed
Assault (Offensive Contact),"Northgate Taco Truck
(unspecified location)",1/17/25 1:30,1/17/25 1:30,1/22/25,Approximate,Administratively Closed
Criminal Trespass,Kyle Field,1/21/25 1:08,1/21/25 1:08,1/21/25,Exact,Cleared by Arrest
Accident Hit and Run,Mosher Lane,1/21/25 14:45,1/21/25 14:45,1/21/25,Exact,Exceptionally Cleared
"Clery- Motor Vehicle Theft/ Theft of Property
>=$100<$750 (Electric Scooter)","West Campus Parking Garage
(201 John Kimbrough Bl, College
Station)",1/17/25 11:00,1/21/25 22:00,1/21/25,Exact,Inactive
Minor in Possession of Alcohol,"Mosher Residence Hall (725
Mosher Ln, College Station)",1/19/25 6:15,1/19/25 6:45,1/21/25,Approximate,Referred
"Driving While License Invalid w/previous conv./No
Insurance/ ALR",University Drive at Nagle Street,1/20/25 7:35,1/20/25 7:35,1/20/25,Exact,Cleared by Arrest
