Ca Number,Incident Type,Date/Time Occurred,Date/Time Reported,Location,Disposition
UM 24-271573,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Injury Report,09/21/2024 1530,9/21/24,University Ave  / Huron Blvd,Closed
UM 24-271880,Impound Abandoned Vehicle,09/21/2024 2023,9/21/24,University Ave  / 12th Ave,Closed
UM 24-271983,Theft from Fail to Stop / No Valid DL / No Insurance on Motor Vehicle / Damage to Motor Vehicle,09/21/2024 1524,9/21/24,501 Washington Ave ,
UM 24-272015,Disorderly Conduct,09/21/2024 2244,9/21/24,315 14th Ave ,Arrest
UM 24-272061,Auto Theft / Theft from Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,09/21/2024 2028,9/21/24,501 Washington Ave ,Inactive
UM 24-272080,Health Welfare Hold,09/21/2024 2329,9/21/24,412 22nd Ave S,Closed
UM 24-250057,Trespass,09/20/2024 1137,9/20/24,390 29th Ave ,Closed
UM 24-269941,Bike Theft,09/19/2024 0730,9/20/24,229 19th Ave S,Inactive
UM 24-269992,Damage to Property,09/19/2024 0800,9/20/24,72 Pleasant St ,Inactive
UM 24-269997,Theft from Building,09/20/2024 0048,9/20/24,417 Delaware St ,
UM 24-270044,Bike Theft,09/19/2024 2100,9/20/24,412 22nd Ave S,
UM 24-270259,Trespass / Violation of Conditional Relea,09/20/2024 1404,9/20/24,1994 Buford Ave,Arrest
UM 24-270508,Miscellaneous,09/20/2024 1729,9/20/24,701 15th Ave ,Closed
UM 24-270540,Flee Police in Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,09/20/2024 1758,9/20/24,10th Ave  / 7th ST ,Closed
UM 24-270562,No Insurance on Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,09/20/2024 1810,9/20/24,University Ave  / 11th Ave,Closed
UM 24-270708,Crisis Intervention,09/20/2024 2024,9/20/24,930 University Ave ,Closed
UM 24-270739,Hit / Run Property Damage,09/20/2024 2035,9/20/24,Washington Ave  / Walnut St,Inactive
UM 24-270904,Driving After Revocation,09/20/2024 2308,9/20/24,18th Ave  / University Ave,Closed
UM 24-268293,Theft,09/19/2024 0800,9/19/24,192 Pillsbury Dr ,Inactive
UM 24-268831,Bike Theft / Trespass,09/19/2024 0937,9/19/24,701 Fulton St ,Arrest
UM 24-268902,Bike Theft,09/19/2024 0700,9/19/24,615Fulton St ,Inactive
UM 24-269035,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,09/18/2024 0820,9/19/24,385 E River Rd NE,Inactive
UM 24-269288,Other Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Theft,09/19/2024 1530,9/19/24,1925 4th St S,
UM 24-269489,Miscellaneous,09/19/2024 2057,9/19/24,600 15th Ave ,Closed
MP 24-713168,Bike Theft,9/15/24 10:25,9/19/24,614 Delaware St ,Reported
UM 24-267798,Crisis Intervention,09/18/2024 1000,9/18/24,Walnut St  / Washington Ave,Closed
UM 24-268103,Theft from Building,09/17/2024 1300,9/18/24,308 Harvard St ,
UM 24-268334,Theft,09/18/2024 1750,9/18/24,117 Pleasant St ,Inactive
UM 24-268426,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,09/18/2024 1800,9/18/24,1625 4th St ,Inactive
UM 24-268463,Driving After Cancellation,09/18/2024 2107,9/18/24,4th St  / 25th Ave ,Closed
UM 24-267585,Health Welfare Hold,09/18/2024 0125,9/18/24,Cedar Ave S to Washington Ave / 3rd St S,Closed
UM 24-266729,Bike Theft,09/17/2024 0815,9/17/24,257 19th Ave S,Closed
UM 24-266764,Impound Abandoned Vehicle,09/17/2024 1049,9/17/24,Pleasant St  / Washington Ave,Closed
UM 24-266836,Crisis Intervention,09/17/2024 1000,9/17/24,505 Washington Ave ,Closed
UM 24-266844,Forgery of Check,09/12/2024 0000,9/17/24,231 Pillsbury Dr ,Inactive
UM 24-266980,Theft by Swindle,09/17/2024 1150,9/17/24,417 Walnut St ,Inactive
UM 24-266147,Bike Theft,09/13/2024 2300,9/16/24,615 Fulton St ,Closed
UM 24-266150,Damage to Property,09/14/2024 1115,9/16/24,1219 University Ave ,Closed
UM 24-266223,Property Damage Accident Report,09/16/2024 1900,9/16/24,425 East River Pkwy,Closed
UM 24-266237,Miscellaneous,09/16/2024 1920,9/16/24,500 Harvard St ,Closed
UM 24-266325,Property Damage Accident Report,09/16/2024 2050,9/16/24,14th Ave  / 4th St ,Closed
UM 24-266360,Trespass,09/16/2024 2147,9/16/24,615 Washington Ave ,Closed
UM 24-265749,Warrant,09/16/2024 1208,9/16/24,14th Ave  / University Ave,Closed
UM 24-265849,Bike Theft,09/15/2024 2030,9/16/24,214 22nd Ave S,Inactive
UM 24-265875,Traffic Law Enforcement,09/16/2024 1415,9/16/24,Hyland Pointe Ct / Hyland Ave,Closed
UM 24-265996,Miscellaneous,09/16/2024 1430,9/16/24,1625 University Ave ,Inactive
UM 24-264787,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Injury Report,09/15/2024 1500,9/15/24,1926 University Ave ,Closed
UM 24-265168,Damage to Property,09/14/2024 1800,9/15/24,417 Walnut St ,Inactive
MP 24-712926,Theft,9/10/24 8:15,9/16/24,Riverside Ave & 23rd Ave S,Reported
MP 24-713025,Bike Theft,9/11/24 11:50,9/16/24,1101 University Ave ,Reported
MP 24-261329,Auto Theft,9/12/24 13:15,9/16/24,322 13th Ave ,Reported
MP 24-263196,Assault,9/14/24 2:30,9/16/24,1308 4th St ,Reported
UM 24-264639,Theft,09/15/2024 1134,9/15/24,225 19th Ave S,
UM 24-264763,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,09/14/2024 1134,9/15/24,2115 5th St S,
UM 24-264878,Health Welfare Hold,09/15/2024 1700,9/15/24,1 Washington Ave ,Closed
UM 24-265231,Uncured Business,09/15/2024 2253,9/15/24,1815 4th St ,Closed
UM 24-259199,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Injury Report,09/07/2024 1030,9/14/24,6th St  / 21st Ave ,Inactive
UM 24-263073,Health Welfare Hold,09/14/2024 0100,9/14/24,615 Washington Ave ,Closed
UM 24-263530,Warrant,09/14/2024 1254,9/14/24,323 16th Ave ,Arrest
UM 24-263881,Disorderly Conduct,09/14/2024 1905,9/14/24,14th Ave  / 4th St ,Arrest
UM 24-264003,No Proof of Insurance,09/14/2024 2100,9/14/24,14th Ave  / 6th St ,Closed
UM 24-262074,Consuming in Public,09/13/2024 0707,9/13/24,1815 4th St ,Closed
UM 24-262096,Burglary of Business,09/13/2024 0000,9/13/24,2017 Buford Ave,Inactive
UM 24-262149,Bike Theft,09/12/2024 1900,9/13/24,412 22nd Ave S,
UM 24-262338,Other Vehicle Theft / Posssion of Burglary Tools,09/13/2024 1115,9/13/24,200 Union St ,
UM 24-262385,Bike Theft,09/12/2024 0800,9/13/24,1041 29th Ave S,Inactive
UM 24-262387,Theft from Building,09/12/2024 2200,9/13/24,1070 27th Ave ,Inactive
UM 24-262398,Theft,09/13/2024 1200,9/13/24,89 Church St ,Inactive
UM 24-262605,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,09/13/2024 1045,9/13/24,385 East River Pkwy,Inactive
UM 24-262888,No Valid Driver's Licen,09/13/2024 2117,9/13/24,5th St  / 13th Ave ,Closed
UM 24-262917,Hit/Run with Injury,09/13/2024 2145,9/13/24,18th Ave  / University Ave,
UM 24-263058,No Valid Driver's Licen,09/13/2024 2358,9/13/24,University Ave  / 17th Ave,Closed
TC24-067,Stalking,9/12/24,9/13/24,Sanford Hall,Reported
TC24-068,Liquor Law Violation x2,9/6/24,9/13/24,Comstock Hall,Reported
TC24-069,Theft,4/1/24,9/13/24,Minneapolis Campus,Reported
UM 24-261730,Assault with a Dangerous Weapon,09/12/2024 2051,9/13/24,4th St  / 17th Ave ,
UM 24-261266,Burglary of Business,09/06/2024 1730,9/12/24,300 Washington Ave ,Inactive
UM 24-261221,Bike Theft,09/12/2024 1429,9/12/24,2001 Bloomington Ave S,Inactive
UM 24-261315,Unlawful Smoking,09/12/2024 1444,9/12/24,551 Washington Ave ,Closed
UM 24-261461,Health Welfare Hold,09/12/2024 1700,9/12/24,407 15th Ave ,Inactive
UM 24-261570,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Injury Report,09/12/2024 1832,9/12/24,1926 University Ave ,Inactive
UM 24-261769,Driving After Revocation,09/12/2024 2128,9/12/24,2001 University Ave ,Closed
UM 24-260758,Driving After Revocation,09/11/2024 2330,9/12/24,University Ave  / 14th Ave,Closed
UM 24-261298,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Damage Report / No Insurance,09/12/2024 1433,9/12/24,1022 University Ave ,Closed
UM 24-260513,Trespass,09/11/2024 1910,9/11/24,2501 University Ave ,Closed
UM 24-259881,Theft,09/10/2024 1700,9/11/24,220 Delaware St ,
UM 24-259911,Impound Abandoned Vehicle,09/11/2024 0940,9/11/24,Delaware St  / East River Pkwy,Closed
UM 24-259973,Theft from Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,09/08/2024 1800,9/11/24,1101 University Ave ,
UM 24-260108,Warrant,09/11/2024 1324,9/11/24,390 29th Ave ,Closed
UM 24-260111,Theft,09/10/2024 1230,9/11/24,309 19th Ave S,Inactive
UM 24-260019,Miscellaneous,09/09/2024 1322,9/11/24,1521 University Ave ,
UM 24-260279,Indecent Exposure,09/10/2024 1050,9/11/24,116 Church St ,
UM 24-260286,Health Welfare Hold,09/11/2024 1601,9/11/24,615 Washington Ave ,Closed
UM 24-260325,Hit/Run Property Damage,09/11/2024 1340,9/11/24,2004 Upper Buford Cir,
UM 24-260448,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,09/11/2024 1340,9/11/24,385 E River Pkwy,Inactive
UM 24-260548,Non-Vehicular Accident,09/11/2024 1944,9/11/24,615 Fulton St ,Closed
UM 24-260607,Bike Theft,09/11/2024 1916,9/11/24,321 19th Ave S,
UM 24-260731,Bike Theft,09/10/2024 2145,9/11/24,614 Delaware St ,Inactive
UM 24-260747,Driving After Revocation,09/11/2024 2315,9/11/24,4th St  / 14th Ave ,Closed
UM 24-259035,Non-Vehicular Accident,09/10/2024 1330,9/10/24,909 Fulton St ,Closed
UM 24-259439,No Proof of Insurance,09/10/2024 1951,9/10/24,University Ave  / 27th Ave,Closed
MP 24-256330,Assault,9/7/24 10:20,9/11/24,2312 6th St S,Reported
MP 24-712554,Hit and Run-Property Damage,9/5/24 17:17,9/11/24,4th St  / 13th Ave ,Reported
MP 24-712472,Bike Theft,9/4/24 0:00,9/11/24,1000 University Ave ,Reported
MP 24-251561,Assault,9/3/24 17:40,9/11/24,2312 6th St S,Reported
UM 24-259006,Impound Abandoned Vehicle,09/10/2024 1305,9/10/24,225 Pleasant St ,Closed
UM 24-258851,Impound Abandoned Vehicle,09/10/2024 1010,9/10/24,Buford Ave / Eckles Ave,Closed
UM 24-258897,Damage to Property Report,09/10/2024 0920,9/10/24,1920 2nd St S,Inactive
UM 24-259282,Recovered Vehicle,09/10/2024 1722,9/10/24,2838 Delaware St ,
UM 24-259304,Bike Theft,09/10/2024 0940,9/10/24,1300 2nd St S,
UM 24-259403,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Damage Report,09/10/2024 1907,9/10/24,University Ave  / 15th Ave,Closed
UM 24-259448,Theft from Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,09/09/2024 0800,9/10/24,315 11th Ave ,Inactive
UM 24-259389,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Damage Report,09/10/2024 1855,9/10/24,29th Ave  / University Ave,Closed
TC24-061,Liquor Law Violation x8,8/26/24,9/10/24,17th Avenue Residence Hall,Reported
TC24-062,Liquor Law Violation,8/29/24,9/10/24,Territorial Hall,Reported
TC24-063,Liquor Law Violation x6,8/31/24,9/10/24,Pioneer Hall,Reported
TC24-064,Liquor Law Violation x23,9/1/24,9/10/24,Bailey Hall,Reported
TC24-065,Liquor Law Violation x8,9/1/24,9/10/24,Territoral Hall,Reported
TC24-066,Stalking,9/2/24,9/10/24,Radius Apartments,Reported
UM 24-257855,Damage to Property Report,09/04/2024 0730,9/9/24,401 Oak St ,Inactive
UM 24-257891,Theft from Building,09/03/2024 1700,9/9/24,200 Union St ,
UM 24-257920,Crisis Intervention,09/09/2024 1256,9/9/24,222 Pleasant St ,Closed
UM 24-258106,Damage to Property Report,09/06/2024 1520,9/9/24,614 Delaware St ,
UM 24-258144,Assault,09/09/2024 1600,9/9/24,222 Pleasant St ,
UM 24-258323,Miscellaneous,09/09/2024 1907,9/9/24,10th Ave  / 4th St ,
UM 24-258245,No Proof of Insurance,09/09/2024 1757,9/9/24,15th Ave  / Como Ave ,Closed
UM 24-258286,Robbery of Person / Credit Card/ATM Fraud,09/09/2024 1833,9/9/24,Church St  / University Ave,
UM 24-258338,Miscellaneous,09/09/2024 1926,9/9/24,Quincy St NE / Broadway St,Closed
UM 24-258358,Assault / Open Bottle / Driving After Suspension,09/09/2024 1946,9/9/24,10th Ave  / 5th St ,Closed
UM 24-258362,Theft,09/06/2024 1324,9/9/24,2508 Delaware St ,Jurisdiction Transfer
UM 24-258370,Bike Theft,09/09/2024 1000,9/9/24,100 Union St ,Inactive
UM 24-257524,Crisis Intervention / Health Welfare Hold,09/09/2024 0036,9/9/24,1 Washington Ave ,Closed
UM 24-255866,Theft from Building / Damage to Property,09/07/2024 0600,9/8/24,1122 University Ave ,Inactive
UM 24-256547,Flee Officer on Foot,09/08/2024 0135,9/8/24,19th Ave S / 3rd St S,
UM 24-256627,Theft from Building,09/07/2024 1800,9/8/24,614 Delaware St ,
UM 24-256672,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,09/08/2024 0656,9/8/24,501 Washington Ave ,Inactive
UM 24-256757,Terroristic Threats,09/08/2024 0930,9/8/24,2601 University Ave ,
UM 24-257038,Driving After Suspension / No Proof of Insurance,09/08/2024 1601,9/8/24,14th Ave  / 4th St ,Closed
UM 24-257089,Bike Theft,09/07/2024 0930,9/8/24,2221 University Ave ,Inactive
UM 24-257125,No Valid Driver's Licen,09/08/2024 1734,9/8/24,1926 University Ave ,Closed
UM 24-257185,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Damage Report,09/08/2024 1824,9/8/24,11th St  / University Ave ,Closed
UM 24-257291,Open Bottle in Fail to Stop / No Valid DL / No Insurance on Motor Vehicle / Driving After Suspension,09/08/2024 1957,9/8/24,University Ave  / 30th St ,Closed
MP 24-255842,Hit and Run-Property Damage,9/7/24 12:15,9/7/24,Oak St  / Washington Ave,Reported
UM 24-255429,Damage to Property,09/07/2024 0111,9/7/24,1829 University Ave ,
UM 24-255768,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,09/06/2024 2200,9/7/24,1001 5th St ,
UM 24-255827,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,09/07/2024 1100,9/7/24,307 16th Ave ,Inactive
UM 24-255837,Burglary of Dwelling,09/07/2024 0000,9/7/24,417 Walnut St ,
UM 24-255933,Bike Theft,09/05/2024 2315,9/7/24,206 Church St ,Inactive
UM 24-255963,Domestic Assault / Strangulation,09/07/2024 1619,9/7/24,1022 University Ave ,
UM 24-255998,Non-Vehicular Accident,09/07/2024 1650,9/7/24,123 Harvard St ,Closed
UM 24-256121,No Valid Driver's Licen,09/07/2024 1859,9/7/24,8th St  / 4th Ave ,Closed
UM 24-256420,Health Welfare Hold / Non-Vehiclar Accident,09/07/2024 2338,9/7/24,615 Washington Ave ,Closed
UM 24-254111,Fal Name or Info / Warrant,09/06/2024 0034,9/6/24,2nd St  / 8th Ave ,Arrest
UM 24-254324,Theft from Building,08/15/2024 0000,9/6/24,420 Delaware St ,Inactive
UM 24-254381,Traffic Law Enforcement,09/06/2024 0950,9/6/24,300 Block 18th Ave ,Closed
UM 24-254392,Harassment,12/06/2023 0700,9/6/24,89 Church St ,
UM 24-254533,Flee Police In Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,09/06/2024 1222,9/6/24,Church St  / Pillsbury Dr ,Closed
UM 24-254718,Extortion / Blackmail,09/06/2024 1200,9/6/24,505 Washington Ave ,Inactive
UM 24-254777,Assist Other Agency / U of Force,09/06/2024 1555,9/6/24,Washington Ave  / Walnut St,Closed
UM 24-254815,Auto Theft,09/06/2024 1120,9/6/24,1002 Esx St ,Inactive
TC24-060,Stalking,8/29/24,9/6/24,Walter Library (Electronic),Reported
UM 24-254096,Driving After Suspension,09/06/2024 0010,9/6/24,15th Ave  / University Ave,Closed
UM 24-253379,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,09/03/2024 0900,9/5/24,2301 6th St ,Inactive
UM 24-253429,Package Theft,08/22/2024 0904,9/5/24,2231 6th St ,
UM 24-253639,Domestic Assault,12/23/2023 2100,9/5/24,1003 5th St ,
UM 24-253661,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Injury Report,09/05/2024 1640,9/5/24,1926 University Ave ,Closed
UM 24-253896,Hit / Run Unattended Vehicle,09/05/2024 1330,9/5/24,5th St S / 21st Ave S,Inactive
UM 24-253964,Impound Abandoned Vehicle,09/05/2024 2104,9/5/24,Church St  / Pillsbury Dr ,Closed
UM 24-253971,Trespass,09/05/2024 2119,9/5/24,123 Harvard St ,Closed
UM 24-252538,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Damage Report,08/31/2024 1420,9/4/24,1336 Gortner Ave,
UM 24-252567,Other Vehicle Theft,09/04/2024 1519,9/4/24,321 19th Ave S,
UM 24-253555,Driving After Revocation,09/04/2024 1454,9/4/24,Washington Ave  / Ontario St,Closed
UM 24-242729,Theft,09/04/2024 1200,9/4/24,159 Pillsbury Dr ,Inactive
UM 24-253066,Flee Police in Fail to Stop / No Valid DL / No Insurance on Motor Vehicle / Fal Info-Fake Name,09/05/2024 0030,9/5/24,Malcom Ave  / University Ave,
UM 24-252096,Warrant,09/04/2024 0733,9/4/24,1 Washington Ave ,Arrest
UM 24-252141,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,08/30/2024 0800,9/4/24,1625 4th St ,Inactive
UM 24-252274,No Valid Driver's Licen / Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Injury Report,09/04/2024 1132,9/4/24,University Ave  / 17th Ave,Closed
UM 24-252415,Bike Theft,08/31/2024 0000,9/4/24,1000 27th Ave ,Inactive
UM 24-252481,Bike Theft,09/03/2024 1400,9/4/24,210 Delaware St ,
UM 24-252490,Damage to Property,09/02/2024 1900,9/4/24,1010 27th Ave ,Closed
UM 24-252521,Trespass / Obstruct Legal Process,09/04/2024 1511,9/4/24,1954 Buford Ave,Arrest
UM 24-252534,Miscellaneous,09/04/2024 1520,9/4/24,117 Pleasant St ,Closed
UM 24-252908,Trespass,09/04/2024 2104,9/4/24,1984 Buford Ave,Arrest
UM 24-252929,Impound Abandoned Vehicle / Recover Property,09/04/2024 2131,9/4/24,385 East River Pkwy,
UM 24-253020,Bike Theft,09/04/2024 2000,9/4/24,1101 University Ave ,Inactive
UM 24-240373,Driving After Revocation,08/24/2024 2147,9/3/24,1400 4th St ,Closed
UM 24-250973,Trespass / Crisis Intervention,09/03/2024 0650,9/3/24,1984 Buford Ave,Closed
UM 24-250985,Dead on Arrival,09/02/2024 2230,9/3/24,1122 University Ave ,Active
UM 24-251006,Burglary of Business,09/01/2024 1800,9/3/24,200 Oak St ,
UM 24-251008,Warrant,09/03/2024 0810,9/3/24,551 Washington Ave ,Closed
UM 24-251469,Theft from Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,08/29/2024 1900,9/3/24,1625 4th St ,Inactive
UM 24-251520,Damage to Property Report,09/03/2024 0720,9/3/24,1625 4th St ,Inactive
UM 24-251844,Warrant,09/03/2024 2221,9/3/24,Transitway / 29th Ave ,Arrest
UM 24-251883,Non-Vehicular Accident,09/03/2024 2257,9/3/24,1617 University Ave ,Closed
MP 24-712108,Theft,8/26/24 2:25,9/3/24,2312 6th St S,Reported
MP 24-246986,Automobile Theft,8/29/24 15:00,9/3/24,1016 4th St ,Reported
UM 24-250892,Damage to Property,09/03/2024 0203,9/3/24,505 Washington Ave ,
UM 24-249817,Trespass,09/02/2024 0016,9/2/24,315 16th Ave ,Closed
UM 24-249938,Assault,09/02/2024 0408,9/2/24,500 Harvard St ,
UM 24-250366,Recovered Vehicle,09/02/2024 1530,9/2/24,2043 Commonwealth Ave,Closed
UM 24-250410,No Proof of Insurance,09/02/2024 1640,9/2/24,Franklin Ave E / 26th Ave S,Closed
UM 24-250598,Assault,09/02/2024 1925,9/2/24,1395 Gortner Ave,
UM 24-250779,Assault with a Dangerous Weapon,09/02/2024 2245,9/2/24,Gortner Ave / Folwell Ave,Inactive
UM 24-248601,Driving After Revocation,08/31/2024 2315,9/1/24,4th St  / 15th Ave ,Closed
UM 24-248684,Parking Violation,09/01/2024 0017,9/1/24,2218 University Ave ,Closed
UM 24-248692,Driving After Suspension,09/01/2024 0023,9/1/24,University Ave  / 18th Ave,Closed
UM 24-249177,Trespass,09/01/2024 1250,9/1/24,1235 4th St ,Closed
UM 24-249282,Trespass,09/01/2024 1447,9/1/24,33 Washington Ave ,Closed
UM 24-249347,Miscellaneous,08/15/2024 0000,9/1/24,1014 6th St ,Closed
UM 24-249358,Open Bottle in Fail to Stop / No Valid DL / No Insurance on Motor Vehicle / Driving After Suspension,09/01/2024 1618,9/1/24,6th St  / 15th Ave ,Closed
UM 24-249591,Consumption-Liquor by Minor,09/01/2024 1951,9/1/24,1395 Gortner Ave,Closed
UM 24-249604,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Injury Report,09/01/2024 1615,9/1/24,17th Ave  / 5th St ,Closed
UM 24-246454,Theft from Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,08/28/2024 1630,8/31/24,1041 5th St ,Inactive
UM 24-247340,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,08/30/2024 2209,8/31/24,117 Pleasant St ,
UM 24-247555,DWI,08/31/2024 0107,8/31/24,1750 University Ave ,
UM 24-247588,Reckless Driving,08/31/2024 0130,8/31/24,4th St  / 14th Ave ,Closed
UM 24-247614,Property Damage Accident Report,08/31/2024 0213,8/31/24,4th St  / 10th Ave ,Closed
UM 24-247781,Warrant,08/31/2024 0824,8/31/24,1810 Riverside Ave,Arrest
UM 24-247839,Property Damage Accident Report,08/31/2024 0400,8/31/24,1011 4th St ,Closed
UM 24-247934,Property Damage Accident Report,08/31/2024 1107,8/31/24,Buford Ave / Eckles Ave,Closed
UM 24-248395,DWI Refusal,08/31/2024 1947,8/31/24,Huron Blvd  / Delaware St,
UM 24-248485,Flee Police in Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,08/31/2024 2123,8/31/24,Huron Blvd  / Fulton St ,
UM 24-248538,Driving After Revocation,08/31/2024 2216,8/31/24,1400 Block 4th St ,Closed
UM 24-248578,Driving After Suspension,08/31/2024 2254,8/31/24,1400 Block 4th St ,Closed
UM 24-248650,Flee Police in Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,08/31/2024 2345,8/31/24,1400 Block 4th St ,
UM 24-247308,No Valid Driver's Licen,08/30/2024 2145,8/30/24,4th St  / 14th Ave ,Closed
UM 24-244464,Property Damage Accident Report,08/28/2024 1146,8/30/24,1890 Buford Ave,Closed
UM 24-246050,Property Damage Accident Report,08/29/2024 2000,8/30/24,1625 4th St ,
UM 24-246490,Miscellaneous,08/30/2024 0945,8/30/24,505 Washington Ave ,Closed
UM 24-246534,Extortion / Blackmail,08/28/2024 0000,8/30/24,505 Washington Ave ,Closed
UM 24-246614,Miscellaneous,08/16/2024 0000,8/30/24,420 Delaware St ,
UM 24-246783,Warrant,08/30/2024 1456,8/30/24,390 29th Ave ,Closed
UM 24-246920,Credit Card/ATM Fraud / Disorderly Conduct,08/30/2024 1645,8/30/24,615 Washington Ave ,
UM 24-247059,Theft,08/30/2024 1827,8/30/24,300 Washington Ave ,Inactive
UM 24-247410,Flee Police in Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,08/30/2024 2255,8/30/24,Riverside Ave / 20th Ave S,Closed
UM 24-246200,Warrant,08/29/2024 2318,8/30/24,19th Ave S / 3rd St S,Arrest
UM 24-245388,Recover Property,08/29/2024 0757,8/29/24,615 Washington Ave ,Closed
UM 24-245411,Warrant,08/29/2024 0822,8/29/24,University Ave  / 29th Ave,Arrest
UM 24-245867,Bike Theft,08/28/2024 0100,8/29/24,412 22nd Ave S,
UM 24-245947,Narcotics / Trespass / Obstruct Legal Process / U of Force,08/29/2024 1752,8/29/24,1 Washington Ave ,
UM 24-246185,Hit and Run with Injury,08/29/2024 2250,8/29/24,Erie St  / Fulton St,Inactive
TC24-058,Stalking,Spring - Summer 2024,8/29/24,Tate Hall,Reported
TC24-059,Liquor Law Violation,8/28/24,8/29/24,Territorial Hall,Reported
UM 24-244656,Bike Theft,08/15/2024 1100,8/28/24,1122 University Ave ,Inactive
UM 24-244335,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,08/27/2024 0845,8/28/24,1920 2nd St S,Inactive
UM 24-244345,Narcotics Violation / Warrant,08/28/2024 0842,8/28/24,21st Ave S / 5th St S,
UM 24-244452,Theft from Building,06/17/2024 0645,8/28/24,598 15th Ave ,Inactive
UM 24-244830,Posssion of Burglary Tools,08/28/2024 1748,8/28/24,300 Washington Ave ,
UM 24-245065,Bike Theft,08/27/2024 1730,8/28/24,300 Washington Ave ,
UM 24-245131,No Proof of Insurance,08/28/2024 2235,8/28/24,University Ave W / Snelling Ave N,Closed
MP 24-243367,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Theft,8/24/24 11:53,8/27/24,19th Ave S & Riverside Ave S,Reported
UM 24-244013,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,08/27/2024 1520,8/27/24,1101 University Ave ,
UM 24-243281,Trespass,08/27/2024 1015,8/27/24,615 Washington Ave ,Closed
UM 24-243664,Bike Theft / Posssion of Burglary Tools,08/27/2024 1556,8/27/24,2633 4th St ,
UM 24-243716,Non-Vehicular Accident,08/27/2024 1650,8/27/24,123 Harvard St ,Closed
UM 24-243778,Damage to Property,08/27/2024 1743,8/27/24,2001 Bloomington Ave S,
UM 24-243960,Miscellaneous,08/27/2024 2101,8/27/24,6th Ave S / Main St ,Closed
MP 24-711757,Theft from Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,8/21/24 6:30,8/27/24,Washington Ave  & Walnut St,Reported
MP 24-238955,Hit and Run with Injury,8/21/24 17:00,8/27/24,1000 Washington Ave ,Reported
MP 24-242266,Assault w/dangeous weapon,8/23/24 22:20,8/27/24,Washington Ave  & Huron Blvd,Reported
MP 24-241382,Theft from Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,8/24/24 18:00,8/27/24,15th Ave  & 8th St ,Reported
TC24-056,Rape,5/4/24,8/27/24,Fraternity Hou,Reported
TC24-057,Stalking,24-Aug,8/27/24,Minneapolis Campus (Electronic),Reported
UM 24-242206,Hit and Run Property Damage,08/26/2024 0959,8/26/24,4th St  / 10th Ave ,
UM 24-242175,Bike Theft,08/25/2024 0830,8/26/24,1122 University Ave,Inactive
UM 24-242472,Driving After Revocation / No Insurance on,08/26/2024 1424,8/26/24,University Ave  / 27th Ave,Closed
,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,,,,
UM 24-242689,Other Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Theft,08/26/2024 1755,8/26/24,701 15th Ave ,
UM 24-241057,Indecent Exposure,08/25/2024 0420,8/25/24,Washington Ave  / Harvard St,Closed
UM 24-241286,Bike Theft,08/25/2024 0000,8/25/24,701 Fulton St ,Inactive
